2026-06-13 16:12:08.641+0000 INFO  CREATE USER neo4j PASSWORD ****** CHANGE NOT REQUIRED
2026-06-13 16:12:08.796+0000 INFO  CREATE ROLE admin
2026-06-13 16:12:08.797+0000 INFO  GRANT TRANSACTION MANAGEMENT ON DATABASE * TO admin
2026-06-13 16:12:08.798+0000 INFO  GRANT START ON DATABASE * TO admin
2026-06-13 16:12:08.798+0000 INFO  GRANT STOP ON DATABASE * TO admin
2026-06-13 16:12:08.798+0000 INFO  GRANT ALL ON DBMS TO admin
2026-06-13 16:12:08.798+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO admin
2026-06-13 16:12:08.798+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT WRITE ON GRAPH * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT MATCH {*} ON GRAPH * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT ACCESS ON DATABASE * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO admin
2026-06-13 16:12:08.799+0000 INFO  GRANT LOAD ON ALL DATA TO admin
2026-06-13 16:12:08.799+0000 INFO  CREATE ROLE architect
2026-06-13 16:12:08.799+0000 INFO  GRANT CONSTRAINT MANAGEMENT ON DATABASE * TO architect
2026-06-13 16:12:08.799+0000 INFO  GRANT INDEX MANAGEMENT ON DATABASE * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT WRITE ON GRAPH * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT MATCH {*} ON GRAPH * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT ACCESS ON DATABASE * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO architect
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO architect
2026-06-13 16:12:08.800+0000 INFO  CREATE ROLE publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT NAME MANAGEMENT ON DATABASE * TO publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT WRITE ON GRAPH * TO publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT MATCH {*} ON GRAPH * TO publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT ACCESS ON DATABASE * TO publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO publisher
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO publisher
2026-06-13 16:12:08.800+0000 INFO  CREATE ROLE editor
2026-06-13 16:12:08.800+0000 INFO  GRANT WRITE ON GRAPH * TO editor
2026-06-13 16:12:08.800+0000 INFO  GRANT MATCH {*} ON GRAPH * TO editor
2026-06-13 16:12:08.800+0000 INFO  GRANT ACCESS ON DATABASE * TO editor
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO editor
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO editor
2026-06-13 16:12:08.800+0000 INFO  CREATE ROLE reader
2026-06-13 16:12:08.800+0000 INFO  GRANT MATCH {*} ON GRAPH * TO reader
2026-06-13 16:12:08.800+0000 INFO  GRANT ACCESS ON DATABASE * TO reader
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW INDEX ON DATABASE * TO reader
2026-06-13 16:12:08.800+0000 INFO  GRANT SHOW CONSTRAINTS ON DATABASE * TO reader
2026-06-13 16:12:08.800+0000 INFO  CREATE ROLE PUBLIC
2026-06-13 16:12:08.802+0000 INFO  GRANT ACCESS ON HOME DATABASE TO PUBLIC
2026-06-13 16:12:08.802+0000 INFO  GRANT EXECUTE PROCEDURE * ON DBMS TO PUBLIC
2026-06-13 16:12:08.802+0000 INFO  GRANT EXECUTE FUNCTION * ON DBMS TO PUBLIC
2026-06-13 16:12:08.802+0000 INFO  GRANT LOAD ON ALL DATA TO PUBLIC
2026-06-13 16:12:08.802+0000 INFO  GRANT ROLE admin TO neo4j
2026-06-13 16:50:22.890+0000 INFO  [neo4j]: logged in
2026-06-13 16:50:22.981+0000 INFO  [neo4j]: logged in
2026-06-13 16:52:11.175+0000 INFO  [neo4j]: logged in
2026-06-13 16:52:11.904+0000 INFO  [neo4j]: CREATE DATABASE teste
2026-06-13 16:52:30.580+0000 INFO  [neo4j]: logged in
2026-06-13 17:20:34.832+0000 INFO  [neo4j]: logged in
2026-06-13 17:20:34.860+0000 INFO  [neo4j]: logged in
2026-06-13 17:20:39.661+0000 INFO  [neo4j]: logged in
2026-06-13 17:20:39.692+0000 INFO  [neo4j]: logged in
2026-06-13 17:23:33.397+0000 INFO  [neo4j]: logged in
2026-06-13 17:34:08.327+0000 INFO  [neo4j]: logged in
2026-06-13 17:34:08.327+0000 INFO  [neo4j]: logged in
2026-06-13 17:38:04.550+0000 INFO  [neo4j]: logged in
2026-06-13 17:42:39.068+0000 INFO  [neo4j]: logged in
2026-06-13 17:42:39.180+0000 INFO  [neo4j]: logged in
2026-06-13 17:42:58.414+0000 INFO  [neo4j]: logged in
2026-06-13 17:42:58.444+0000 INFO  [neo4j]: logged in
2026-06-13 17:43:38.980+0000 INFO  [neo4j]: logged in
2026-06-13 17:48:19.219+0000 INFO  [neo4j]: logged in
