t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,1,0.04795865150861228,0.0,0.0,0.0,events/second
1781367180,1,0.019639243630746327,0.0,0.0,0.0,events/second
1781367210,1,0.012353894260518595,0.0,0.0,0.0,events/second
1781367240,1,0.009012151798031708,0.0,0.0,0.0,events/second
1781367270,1,0.007093559096009541,0.0,0.0,0.0,events/second
1781367300,1,0.005847999538686404,0.0,0.0,0.0,events/second
1781367330,1,0.004974658502578164,0.0,0.0,0.0,events/second
1781367360,1,0.004328333802643747,0.0,0.0,0.0,events/second
1781367390,1,0.0038307071325549597,0.0,0.0,0.0,events/second
1781367420,1,0.0034355286245352284,0.0,0.0,0.0,events/second
1781367450,1,0.0031143259145918925,0.0,0.0,0.0,events/second
1781367480,1,0.0028478669184589596,0.0,0.0,0.0,events/second
1781367510,1,0.0026235760868407736,0.0,0.0,0.0,events/second
1781367540,1,0.0024321037873090584,0.0,0.0,0.0,events/second
1781367570,1,0.002266604878292371,0.0,0.0,0.0,events/second
1781367600,1,0.0021222108770597246,0.0,0.0,0.0,events/second
1781367630,1,0.0019951389552642523,0.0,0.0,0.0,events/second
1781367660,1,0.0018823811306532918,0.0,0.0,0.0,events/second
1781367690,1,0.0017817217501648638,0.0,0.0,0.0,events/second
1781367720,1,0.0016912745810287338,0.0,0.0,0.0,events/second
1781367750,1,0.0016095726117086782,0.0,0.0,0.0,events/second
1781367780,1,0.0015353982990937791,0.0,0.0,0.0,events/second
1781367810,1,0.0014677440874239667,0.0,0.0,0.0,events/second
1781367840,1,0.0014058254483587716,0.0,0.0,0.0,events/second
1781367870,1,0.001348910483613008,0.0,0.0,0.0,events/second
1781367900,1,0.0012964192976783282,0.0,0.0,0.0,events/second
1781367930,1,0.0012478746777190971,0.0,0.0,0.0,events/second
1781367960,1,0.0012028335235919267,0.0,0.0,0.0,events/second
1781367990,1,0.0011609146306084896,0.0,0.0,0.0,events/second
1781368020,1,0.0011218140580872228,0.0,0.0,0.0,events/second
1781368050,1,0.0010852678509791656,0.0,0.0,0.0,events/second
1781368080,1,0.0010510345496508085,0.0,0.0,0.0,events/second
1781368110,1,0.0010188935640505351,0.0,0.0,0.0,events/second
1781368140,1,9.886508892861955E-4,0.0,0.0,0.0,events/second
1781368170,1,9.601609902085907E-4,0.0,0.0,0.0,events/second
1781368200,1,9.332668527161452E-4,0.0,0.0,0.0,events/second
1781368230,1,9.07833127750285E-4,0.0,0.0,0.0,events/second
1781368260,1,8.837498220859161E-4,0.0,0.0,0.0,events/second
