t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,1277952,61287.75620449258,0.0,0.0,0.0,events/second
1781367180,1277952,25098.024083448432,0.0,0.0,0.0,events/second
1781367210,1277952,15787.715767020853,0.0,0.0,0.0,events/second
1781367240,1277952,11517.110793638469,0.0,0.0,0.0,events/second
1781367270,1277952,9065.230458152582,0.0,0.0,0.0,events/second
1781367300,1277952,7473.464244872872,0.0,0.0,0.0,events/second
1781367330,1277952,6357.377113506764,0.0,0.0,0.0,events/second
1781367360,1277952,5531.4069768950385,0.0,0.0,0.0,events/second
1781367390,1277952,4895.458114305468,0.0,0.0,0.0,events/second
1781367420,1277952,4390.44345817837,0.0,0.0,0.0,events/second
1781367450,1277952,3979.9613131050132,0.0,0.0,0.0,events/second
1781367480,1277952,3639.439041099514,0.0,0.0,0.0,events/second
1781367510,1277952,3352.805699791098,0.0,0.0,0.0,events/second
1781367540,1277952,3108.1133951756237,0.0,0.0,0.0,events/second
1781367570,1277952,2896.6131815391664,0.0,0.0,0.0,events/second
1781367600,1277952,2712.084799696879,0.0,0.0,0.0,events/second
1781367630,1277952,2549.691522095109,0.0,0.0,0.0,events/second
1781367660,1277952,2405.59347104849,0.0,0.0,0.0,events/second
1781367690,1277952,2276.955703297355,0.0,0.0,0.0,events/second
1781367720,1277952,2161.368439245607,0.0,0.0,0.0,events/second
1781367750,1277952,2056.9571805777855,0.0,0.0,0.0,events/second
1781367780,1277952,1962.1659127935793,0.0,0.0,0.0,events/second
1781367810,1277952,1875.7070302344532,0.0,0.0,0.0,events/second
1781367840,1277952,1796.5779555878808,0.0,0.0,0.0,events/second
1781367870,1277952,1723.843305649969,0.0,0.0,0.0,events/second
1781367900,1277952,1656.762053138983,0.0,0.0,0.0,events/second
1781367930,1277952,1594.724349685796,0.0,0.0,0.0,events/second
1781367960,1277952,1537.163884142714,0.0,0.0,0.0,events/second
1781367990,1277952,1483.5934769724136,0.0,0.0,0.0,events/second
1781368020,1277952,1433.6248266600871,0.0,0.0,0.0,events/second
1781368050,2179072,2364.877265225835,0.0,0.0,0.0,events/second
1781368080,2179072,2290.2779270140413,0.0,0.0,0.0,events/second
1781368110,2179072,2220.2428972110747,0.0,0.0,0.0,events/second
1781368140,2179072,2154.341850591379,0.0,0.0,0.0,events/second
1781368170,2179072,2092.260325211334,0.0,0.0,0.0,events/second
1781368200,2179072,2033.656018970853,0.0,0.0,0.0,events/second
1781368230,2179072,1978.2340638162827,0.0,0.0,0.0,events/second
1781368260,2179072,1925.7548056295159,0.0,0.0,0.0,events/second
1781368290,2179072,1875.9898696354194,0.0,0.0,0.0,events/second
1781368320,2179072,1828.7323850428058,0.0,0.0,0.0,events/second
1781368350,2179072,1783.8060175252697,0.0,0.0,0.0,events/second
1781368380,2179072,1741.0294233013765,0.0,0.0,0.0,events/second
1781368410,2179072,1700.2548515491953,0.0,0.0,0.0,events/second
1781368440,2179072,1661.3409569992223,0.0,0.0,0.0,events/second
1781368470,2179072,1624.1805461208835,0.0,0.0,0.0,events/second
1781368500,2179072,1588.639804288061,0.0,0.0,0.0,events/second
1781368530,2179072,1554.628884620491,0.0,0.0,0.0,events/second
1781368560,2179072,1522.045348023358,0.0,0.0,0.0,events/second
1781368590,2179072,1490.7900883518591,0.0,0.0,0.0,events/second
1781368621,2179072,1460.6833902352091,0.0,0.0,0.0,events/second
1781368651,2179072,1431.8759486336194,0.0,0.0,0.0,events/second
1781368681,2179072,1404.180345876483,0.0,0.0,0.0,events/second
1781368711,2179072,1377.5378408670779,0.0,0.0,0.0,events/second
1781368741,2179072,1351.8847630426724,0.0,0.0,0.0,events/second
1781368771,2179072,1327.1710230167862,0.0,0.0,0.0,events/second
1781368801,2179072,1303.3453072365728,0.0,0.0,0.0,events/second
1781368831,2179072,1280.3638122485418,0.0,0.0,0.0,events/second
1781368861,2179072,1258.171247671171,0.0,0.0,0.0,events/second
1781368891,2179072,1236.7383393222428,0.0,0.0,0.0,events/second
1781368921,2179072,1216.0234401411192,0.0,0.0,0.0,events/second
1781368951,2179072,1195.9953908589525,0.0,0.0,0.0,events/second
1781368981,2179072,1176.6085732470576,0.0,0.0,0.0,events/second
1781369011,2179072,1157.846061635507,0.0,0.0,0.0,events/second
1781369041,2179072,1139.6683283546529,0.0,0.0,0.0,events/second
1781369071,2179072,1122.0568033055993,0.0,0.0,0.0,events/second
1781369101,2179072,1104.9805322377222,0.0,0.0,0.0,events/second
1781369131,2179072,1088.41257444471,0.0,0.0,0.0,events/second
1781369161,2179072,1072.3359248396553,0.0,0.0,0.0,events/second
1781369191,2179072,1056.7295923068577,0.0,0.0,0.0,events/second
1781369221,2179072,1041.5715482820112,0.0,0.0,0.0,events/second
1781369251,2179072,1026.8369543539297,0.0,0.0,0.0,events/second
1781369281,2179072,1012.5201225516147,0.0,0.0,0.0,events/second
1781369311,2179072,998.5982698845038,0.0,0.0,0.0,events/second
1781369341,2179072,985.0507928043977,0.0,0.0,0.0,events/second
1781369371,2179072,971.8660015423753,0.0,0.0,0.0,events/second
1781369401,2179072,959.0266635364742,0.0,0.0,0.0,events/second
1781369431,2179072,946.5215443012003,0.0,0.0,0.0,events/second
1781369461,2179072,934.3420078201833,0.0,0.0,0.0,events/second
1781369491,2179072,922.4703007558419,0.0,0.0,0.0,events/second
1781369521,2179072,910.895596883884,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,0,0.0,0.0,0.0,0.0,events/second
1781371890,0,0.0,0.0,0.0,0.0,events/second
1781371920,0,0.0,0.0,0.0,0.0,events/second
1781371950,0,0.0,0.0,0.0,0.0,events/second
1781371980,0,0.0,0.0,0.0,0.0,events/second
1781372010,0,0.0,0.0,0.0,0.0,events/second
1781372040,0,0.0,0.0,0.0,0.0,events/second
1781372070,0,0.0,0.0,0.0,0.0,events/second
1781372100,0,0.0,0.0,0.0,0.0,events/second
1781372130,0,0.0,0.0,0.0,0.0,events/second
1781372160,0,0.0,0.0,0.0,0.0,events/second
1781372190,0,0.0,0.0,0.0,0.0,events/second
1781372220,0,0.0,0.0,0.0,0.0,events/second
1781372250,0,0.0,0.0,0.0,0.0,events/second
1781372280,0,0.0,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
1781373810,0,0.0,0.0,0.0,0.0,events/second
1781373840,0,0.0,0.0,0.0,0.0,events/second
1781373870,0,0.0,0.0,0.0,0.0,events/second
1781373900,0,0.0,0.0,0.0,0.0,events/second
1781373930,0,0.0,0.0,0.0,0.0,events/second
1781373960,0,0.0,0.0,0.0,0.0,events/second
1781373990,0,0.0,0.0,0.0,0.0,events/second
1781374020,0,0.0,0.0,0.0,0.0,events/second
1781374050,0,0.0,0.0,0.0,0.0,events/second
1781374080,0,0.0,0.0,0.0,0.0,events/second
1781374110,0,0.0,0.0,0.0,0.0,events/second
1781374200,0,0.0,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,0,0.0,0.0,0.0,0.0,events/second
1781379270,0,0.0,0.0,0.0,0.0,events/second
1781379300,0,0.0,0.0,0.0,0.0,events/second
1781379330,0,0.0,0.0,0.0,0.0,events/second
1781379360,0,0.0,0.0,0.0,0.0,events/second
1781381160,0,0.0,0.0,0.0,0.0,events/second
1781381191,0,0.0,0.0,0.0,0.0,events/second
1781381221,0,0.0,0.0,0.0,0.0,events/second
1781381251,0,0.0,0.0,0.0,0.0,events/second
1781381281,0,0.0,0.0,0.0,0.0,events/second
1781381311,0,0.0,0.0,0.0,0.0,events/second
1781381341,0,0.0,0.0,0.0,0.0,events/second
1781381371,0,0.0,0.0,0.0,0.0,events/second
1781381401,0,0.0,0.0,0.0,0.0,events/second
1781381431,0,0.0,0.0,0.0,0.0,events/second
1781381461,0,0.0,0.0,0.0,0.0,events/second
1781381491,0,0.0,0.0,0.0,0.0,events/second
1781381521,0,0.0,0.0,0.0,0.0,events/second
1781381551,0,0.0,0.0,0.0,0.0,events/second
1781381581,0,0.0,0.0,0.0,0.0,events/second
1781381611,0,0.0,0.0,0.0,0.0,events/second
1781381641,0,0.0,0.0,0.0,0.0,events/second
1781381671,0,0.0,0.0,0.0,0.0,events/second
1781381701,0,0.0,0.0,0.0,0.0,events/second
1781381731,0,0.0,0.0,0.0,0.0,events/second
1781381761,0,0.0,0.0,0.0,0.0,events/second
1781381791,0,0.0,0.0,0.0,0.0,events/second
1781381821,0,0.0,0.0,0.0,0.0,events/second
1781381851,0,0.0,0.0,0.0,0.0,events/second
1781381882,0,0.0,0.0,0.0,0.0,events/second
1781381912,0,0.0,0.0,0.0,0.0,events/second
1781381942,0,0.0,0.0,0.0,0.0,events/second
1781381972,0,0.0,0.0,0.0,0.0,events/second
1781382002,0,0.0,0.0,0.0,0.0,events/second
1781382032,0,0.0,0.0,0.0,0.0,events/second
1781382062,0,0.0,0.0,0.0,0.0,events/second
1781382092,0,0.0,0.0,0.0,0.0,events/second
1781382122,0,0.0,0.0,0.0,0.0,events/second
1781382152,0,0.0,0.0,0.0,0.0,events/second
1781382182,0,0.0,0.0,0.0,0.0,events/second
1781382510,0,0.0,0.0,0.0,0.0,events/second
1781382541,0,0.0,0.0,0.0,0.0,events/second
1781382571,0,0.0,0.0,0.0,0.0,events/second
1781382601,0,0.0,0.0,0.0,0.0,events/second
1781382631,0,0.0,0.0,0.0,0.0,events/second
1781382661,0,0.0,0.0,0.0,0.0,events/second
1781382691,0,0.0,0.0,0.0,0.0,events/second
1781382721,0,0.0,0.0,0.0,0.0,events/second
1781382751,0,0.0,0.0,0.0,0.0,events/second
1781382781,0,0.0,0.0,0.0,0.0,events/second
