t,value
1781367150,1
1781367180,1
1781367210,1
1781367240,1
1781367270,1
1781367300,1
1781367330,1
1781367360,1
1781367390,1
1781367420,1
1781367450,1
1781367480,1
1781367510,1
1781367540,1
1781367570,1
1781367600,1
1781367630,1
1781367660,1
1781367690,1
1781367720,1
1781367750,1
1781367780,1
1781367810,1
1781367840,1
1781367870,1
1781367900,1
1781367930,1
1781367960,1
1781367990,1
1781368020,1
1781368050,1
1781368080,1
1781368110,1
1781368140,1
1781368170,1
1781368200,1
1781368230,1
1781368260,1
1781368290,1
1781368320,1
1781368350,1
1781368380,1
1781368410,1
1781368440,1
1781368470,1
1781368500,1
1781368530,1
1781368560,1
1781368590,1
1781368621,1
1781368651,1
1781368681,1
1781368711,1
1781368741,1
1781368771,1
1781368801,1
1781368831,1
1781368861,1
1781368891,1
1781368921,1
1781368951,1
1781368981,1
1781369011,1
1781369041,1
1781369071,1
1781369101,1
1781369131,1
1781369161,1
1781369191,1
1781369221,1
1781369251,1
1781369281,1
1781369311,1
1781369341,1
1781369371,1
1781369401,1
1781369431,1
1781369461,1
1781369491,1
1781369521,1
1781371260,0
1781371290,0
1781371320,0
1781371350,0
1781371380,0
1781371410,0
1781371440,0
1781371470,0
1781371500,0
1781371530,0
1781371560,0
1781371590,0
1781371620,0
1781371650,0
1781371680,0
1781371710,0
1781371740,0
1781371770,0
1781371800,0
1781371830,0
1781371860,0
1781371890,0
1781371920,0
1781371950,0
1781371980,0
1781372010,0
1781372040,0
1781372070,0
1781372100,0
1781372130,0
1781372160,0
1781372190,0
1781372220,0
1781372250,0
1781372280,0
1781372580,0
1781372611,0
1781372641,0
1781372671,0
1781372701,0
1781372731,0
1781372761,0
1781372791,0
1781372821,0
1781372851,0
1781372881,0
1781373780,0
1781373810,0
1781373840,0
1781373870,0
1781373900,0
1781373930,0
1781373960,0
1781373990,0
1781374020,0
1781374050,0
1781374080,0
1781374110,0
1781374200,0
1781379210,0
1781379240,0
1781379270,0
1781379300,0
1781379330,0
1781379360,0
1781381160,0
1781381191,0
1781381221,0
1781381251,0
1781381281,0
1781381311,0
1781381341,0
1781381371,0
1781381401,0
1781381431,0
1781381461,0
1781381491,0
1781381521,0
1781381551,0
1781381581,0
1781381611,0
1781381641,0
1781381671,0
1781381701,0
1781381731,0
1781381761,0
1781381791,0
1781381821,0
1781381851,0
1781381882,0
1781381912,0
1781381942,0
1781381972,0
1781382002,0
1781382032,0
1781382062,0
1781382092,0
1781382122,0
1781382152,0
1781382182,0
1781382510,0
1781382541,0
1781382571,0
1781382601,0
1781382631,0
1781382661,0
1781382691,0
1781382721,0
1781382751,0
1781382781,0
1781382811,0
1781382841,0
1781382871,0
1781382901,0
1781382931,0
1781382961,0
1781382991,0
1781383021,0
1781383051,0
1781383081,0
1781383111,0
1781383141,0
1781383171,0
1781383201,0
1781383231,0
1781383261,0
1781383291,0
1781383321,0
1781383351,0
1781383381,0
1781383411,0
1781383441,0
1781383471,0
1781383501,0
1781398740,0
1781398772,0
1781398802,0
1781398832,0
1781398862,0
1781398892,0
1781398922,0
1781398952,0
1781398982,0
1781399012,0
1781399042,0
1781399072,0
1781399102,0
1781399132,0
1781399162,0
1781399192,0
1781399222,0
1781399252,0
1781399282,0
1781399312,0
1781399342,0
1781399372,0
1781399670,0
1781399702,0
1781399732,0
1781399762,0
1781399792,0
1781399822,0
1781399852,0
1781399882,0
1781399912,0
1781399942,0
1781399972,0
1781400002,0
1781400032,0
1781400062,0
1781400092,0
1781400122,0
1781400152,0
1781400182,0
1781400212,0
1781400242,0
1781400272,0
1781400302,0
1781400332,0
1781400362,0
1781400392,0
1781400422,0
1781400452,0
1781400482,0
1781400512,0
1781400542,0
1781400572,0
1781400602,0
1781400632,0
1781400662,0
1781400693,0
1781400723,0
1781400753,0
1781400783,0
1781400813,0
1781400843,0
1781400873,0
1781400903,0
1781400933,0
1781400963,0
1781400993,0
1781401023,0
1781401053,0
1781401083,0
1781401113,0
1781401143,0
1781401173,0
1781401203,0
1781401233,0
1781401263,0
1781401293,0
1781401323,0
1781401353,0
1781401383,0
1781401413,0
1781401443,0
1781401473,0
1781401503,0
1781401533,0
1781401563,0
1781401593,0
1781401623,0
1781401653,0
1781401683,0
1781401713,0
1781401743,0
1781401773,0
1781401803,0
1781401833,0
1781401863,0
1781401893,0
1781401923,0
1781401953,0
1781401983,0
1781402013,0
1781402043,0
1781402073,0
1781402103,0
1781402133,0
1781402163,0
1781402193,0
1781402223,0
1781402253,0
1781402283,0
1781402313,0
1781402343,0
1781402373,0
1781402403,0
1781402433,0
1781402463,0
1781402493,0
1781402523,0
1781402700,0
1781402732,0
1781402762,0
1781402792,0
1781402822,0
1781402852,0
1781402882,0
1781402913,0
1781402943,0
1781402973,0
1781403003,0
1781403033,0
1781403063,0
1781403093,0
1781403123,0
1781403153,0
1781403183,0
1781403213,0
1781403243,0
1781403273,0
1781403303,0
1781403333,0
1781403363,0
1781403393,0
1781403423,0
1781403453,0
1781403483,0
1781403513,0
1781403543,0
1781403573,0
1781403603,0
1781403633,0
1781403663,0
1781403693,0
1781403723,0
1781403753,0
1781403783,0
1781444820,0
1781444851,0
1781444881,0
1781444911,0
1781444941,0
1781444971,0
1781445001,0
1781445031,0
1781445061,0
1781445091,0
1781445121,0
1781445152,0
