t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,62,2.9733062891624003,0.0,0.0,0.0,events/second
1781367180,62,1.2176230519987712,0.0,0.0,0.0,events/second
1781367210,62,0.765940942647422,0.0,0.0,0.0,events/second
1781367240,62,0.5587528978502407,0.0,0.0,0.0,events/second
1781367270,62,0.4397998138218147,0.0,0.0,0.0,events/second
1781367300,62,0.3625753900011334,0.0,0.0,0.0,events/second
1781367330,62,0.30842749981832995,0.0,0.0,0.0,events/second
1781367360,62,0.2683564116521755,0.0,0.0,0.0,events/second
1781367390,62,0.23750355317286492,0.0,0.0,0.0,events/second
1781367420,62,0.21300276850107872,0.0,0.0,0.0,events/second
1781367450,62,0.19308819732379995,0.0,0.0,0.0,events/second
1781367480,62,0.17656773290381467,0.0,0.0,0.0,events/second
1781367510,62,0.16266169557693036,0.0,0.0,0.0,events/second
1781367540,62,0.150790438223825,0.0,0.0,0.0,events/second
1781367570,62,0.14052947270391175,0.0,0.0,0.0,events/second
1781367600,62,0.1315770782032129,0.0,0.0,0.0,events/second
1781367630,62,0.12369853921328518,0.0,0.0,0.0,events/second
1781367660,62,0.11670761415113996,0.0,0.0,0.0,events/second
1781367690,62,0.11046675152158307,0.0,0.0,0.0,events/second
1781367720,62,0.10485902228579658,0.0,0.0,0.0,events/second
1781367750,62,0.09979350165287575,0.0,0.0,0.0,events/second
1781367780,62,0.09519469536232023,0.0,0.0,0.0,events/second
1781367810,62,0.09100013359392033,0.0,0.0,0.0,events/second
1781367840,62,0.08716117946469813,0.0,0.0,0.0,events/second
1781367870,62,0.08363245014194426,0.0,0.0,0.0,events/second
1781367900,62,0.08037799673740603,0.0,0.0,0.0,events/second
1781367930,62,0.07736823184330072,0.0,0.0,0.0,events/second
1781367960,62,0.07457567987999308,0.0,0.0,0.0,events/second
1781367990,62,0.07197670429015036,0.0,0.0,0.0,events/second
1781368020,62,0.0695524713595305,0.0,0.0,0.0,events/second
1781368050,62,0.06728660562153402,0.0,0.0,0.0,events/second
1781368080,62,0.06516407123261453,0.0,0.0,0.0,events/second
1781368110,62,0.06317140209108303,0.0,0.0,0.0,events/second
1781368140,62,0.061296353966150706,0.0,0.0,0.0,events/second
1781368170,62,0.05952998164442945,0.0,0.0,0.0,events/second
1781368200,62,0.057862541050516754,0.0,0.0,0.0,events/second
1781368230,62,0.05628565241312727,0.0,0.0,0.0,events/second
1781368260,62,0.0547924881558229,0.0,0.0,0.0,events/second
1781368290,62,0.05337655350184007,0.0,0.0,0.0,events/second
1781368320,62,0.05203196110375253,0.0,0.0,0.0,events/second
1781368350,62,0.05075369484057869,0.0,0.0,0.0,events/second
1781368380,62,0.04953659546422967,0.0,0.0,0.0,events/second
1781368410,62,0.048376458124050954,0.0,0.0,0.0,events/second
1781368440,62,0.047269261117061145,0.0,0.0,0.0,events/second
1781368470,62,0.0462119562049458,0.0,0.0,0.0,events/second
1781368500,62,0.04520073266016294,0.0,0.0,0.0,events/second
1781368530,62,0.044233038878483406,0.0,0.0,0.0,events/second
1781368560,62,0.04330595711352367,0.0,0.0,0.0,events/second
1781368590,62,0.04241666701565777,0.0,0.0,0.0,events/second
1781368621,62,0.04156005768091716,0.0,0.0,0.0,events/second
1781368651,62,0.04074041465314766,0.0,0.0,0.0,events/second
1781368681,62,0.03995240633766738,0.0,0.0,0.0,events/second
1781368711,62,0.03919436092270126,0.0,0.0,0.0,events/second
1781368741,62,0.03846446737563045,0.0,0.0,0.0,events/second
1781368771,62,0.037761300389107556,0.0,0.0,0.0,events/second
1781368801,62,0.037083399868778094,0.0,0.0,0.0,events/second
1781368831,62,0.036429520180738285,0.0,0.0,0.0,events/second
1781368861,62,0.035798086285498444,0.0,0.0,0.0,events/second
1781368891,62,0.03518826708103075,0.0,0.0,0.0,events/second
1781368921,62,0.03459887700673749,0.0,0.0,0.0,events/second
1781368951,62,0.03402903005774708,0.0,0.0,0.0,events/second
1781368981,62,0.033477426579439105,0.0,0.0,0.0,events/second
1781369011,62,0.03294358396394994,0.0,0.0,0.0,events/second
1781369041,62,0.03242638512024458,0.0,0.0,0.0,events/second
1781369071,62,0.03192529415422402,0.0,0.0,0.0,events/second
1781369101,62,0.031439432283899775,0.0,0.0,0.0,events/second
1781369131,62,0.03096803227628659,0.0,0.0,0.0,events/second
1781369161,62,0.030510611989604,0.0,0.0,0.0,events/second
1781369191,62,0.030066573248394613,0.0,0.0,0.0,events/second
1781369221,62,0.02963528965696013,0.0,0.0,0.0,events/second
1781369251,62,0.029216054011945995,0.0,0.0,0.0,events/second
1781369281,62,0.028808704858928096,0.0,0.0,0.0,events/second
1781369311,62,0.02841259367128669,0.0,0.0,0.0,events/second
1781369341,62,0.028027134439468134,0.0,0.0,0.0,events/second
1781369371,62,0.02765199436475029,0.0,0.0,0.0,events/second
1781369401,62,0.027286683573970245,0.0,0.0,0.0,events/second
1781369431,62,0.026930881749386838,0.0,0.0,0.0,events/second
1781369461,62,0.026584343897390127,0.0,0.0,0.0,events/second
1781369491,62,0.026246564650705538,0.0,0.0,0.0,events/second
1781369521,62,0.02591723568311881,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,0,0.0,0.0,0.0,0.0,events/second
1781371890,0,0.0,0.0,0.0,0.0,events/second
1781371920,0,0.0,0.0,0.0,0.0,events/second
1781371950,0,0.0,0.0,0.0,0.0,events/second
1781371980,0,0.0,0.0,0.0,0.0,events/second
1781372010,0,0.0,0.0,0.0,0.0,events/second
1781372040,0,0.0,0.0,0.0,0.0,events/second
1781372070,0,0.0,0.0,0.0,0.0,events/second
1781372100,0,0.0,0.0,0.0,0.0,events/second
1781372130,0,0.0,0.0,0.0,0.0,events/second
1781372160,0,0.0,0.0,0.0,0.0,events/second
1781372190,0,0.0,0.0,0.0,0.0,events/second
1781372220,0,0.0,0.0,0.0,0.0,events/second
1781372250,0,0.0,0.0,0.0,0.0,events/second
1781372280,0,0.0,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
