t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,0,0.0,0.0,0.0,0.0,events/second
1781367780,0,0.0,0.0,0.0,0.0,events/second
1781367810,0,0.0,0.0,0.0,0.0,events/second
1781367840,0,0.0,0.0,0.0,0.0,events/second
1781367870,0,0.0,0.0,0.0,0.0,events/second
1781367900,0,0.0,0.0,0.0,0.0,events/second
1781367930,0,0.0,0.0,0.0,0.0,events/second
1781367960,0,0.0,0.0,0.0,0.0,events/second
1781367990,0,0.0,0.0,0.0,0.0,events/second
1781368020,0,0.0,0.0,0.0,0.0,events/second
1781368050,0,0.0,0.0,0.0,0.0,events/second
1781368080,0,0.0,0.0,0.0,0.0,events/second
1781368110,0,0.0,0.0,0.0,0.0,events/second
1781368140,0,0.0,0.0,0.0,0.0,events/second
1781368170,0,0.0,0.0,0.0,0.0,events/second
1781368200,0,0.0,0.0,0.0,0.0,events/second
1781368230,0,0.0,0.0,0.0,0.0,events/second
1781368260,0,0.0,0.0,0.0,0.0,events/second
1781368290,0,0.0,0.0,0.0,0.0,events/second
1781368320,0,0.0,0.0,0.0,0.0,events/second
1781368350,0,0.0,0.0,0.0,0.0,events/second
1781368380,0,0.0,0.0,0.0,0.0,events/second
1781368410,0,0.0,0.0,0.0,0.0,events/second
1781368440,0,0.0,0.0,0.0,0.0,events/second
1781368470,0,0.0,0.0,0.0,0.0,events/second
1781368500,0,0.0,0.0,0.0,0.0,events/second
1781368530,0,0.0,0.0,0.0,0.0,events/second
1781368560,0,0.0,0.0,0.0,0.0,events/second
1781368590,0,0.0,0.0,0.0,0.0,events/second
1781368621,0,0.0,0.0,0.0,0.0,events/second
1781368651,0,0.0,0.0,0.0,0.0,events/second
1781368681,0,0.0,0.0,0.0,0.0,events/second
1781368711,0,0.0,0.0,0.0,0.0,events/second
1781368741,0,0.0,0.0,0.0,0.0,events/second
1781368771,0,0.0,0.0,0.0,0.0,events/second
1781368801,0,0.0,0.0,0.0,0.0,events/second
1781368831,0,0.0,0.0,0.0,0.0,events/second
1781368861,0,0.0,0.0,0.0,0.0,events/second
1781368891,0,0.0,0.0,0.0,0.0,events/second
1781368921,0,0.0,0.0,0.0,0.0,events/second
1781368951,0,0.0,0.0,0.0,0.0,events/second
1781368981,0,0.0,0.0,0.0,0.0,events/second
1781369011,0,0.0,0.0,0.0,0.0,events/second
1781369041,0,0.0,0.0,0.0,0.0,events/second
1781369071,0,0.0,0.0,0.0,0.0,events/second
1781369101,0,0.0,0.0,0.0,0.0,events/second
1781369131,0,0.0,0.0,0.0,0.0,events/second
1781369161,0,0.0,0.0,0.0,0.0,events/second
1781369191,0,0.0,0.0,0.0,0.0,events/second
1781369221,0,0.0,0.0,0.0,0.0,events/second
1781369251,0,0.0,0.0,0.0,0.0,events/second
1781369281,0,0.0,0.0,0.0,0.0,events/second
1781369311,0,0.0,0.0,0.0,0.0,events/second
1781369341,0,0.0,0.0,0.0,0.0,events/second
1781369371,0,0.0,0.0,0.0,0.0,events/second
1781369401,0,0.0,0.0,0.0,0.0,events/second
1781369431,1,4.343686145941797E-4,0.0,0.0,0.0,events/second
1781369461,1,4.2877932931635734E-4,0.0,0.0,0.0,events/second
1781369491,1,4.2333130471081234E-4,0.0,0.0,0.0,events/second
1781369521,1,4.180195569524225E-4,0.0,0.0,0.0,events/second
1781371260,15,0.5679639394696748,0.0,0.0,0.0,events/second
1781371290,15,0.2652857963234519,0.0,0.0,0.0,events/second
1781371320,15,0.17328135568845035,0.0,0.0,0.0,events/second
1781371350,15,0.1286521439340734,0.0,0.0,0.0,events/second
1781371380,15,0.10231804128224374,0.0,0.0,0.0,events/second
1781371410,15,0.08492842778196326,0.0,0.0,0.0,events/second
1781371440,22,0.10646891952912971,0.0,0.0,0.0,events/second
1781371470,22,0.09295774187026407,0.0,0.0,0.0,events/second
1781371500,22,0.08248243806611368,0.0,0.0,0.0,events/second
1781371530,23,0.07750738782981631,0.0,0.0,0.0,events/second
1781371560,23,0.07038879361243708,0.0,0.0,0.0,events/second
1781371590,23,0.06446662385501709,0.0,0.0,0.0,events/second
1781371620,23,0.05946406362145588,0.0,0.0,0.0,events/second
1781371650,23,0.05518228400583864,0.0,0.0,0.0,events/second
1781371680,23,0.05147444317082448,0.0,0.0,0.0,events/second
1781371710,23,0.04823534658783502,0.0,0.0,0.0,events/second
1781371740,26,0.05129775197589244,0.0,0.0,0.0,events/second
1781371770,26,0.04842876402053254,0.0,0.0,0.0,events/second
1781371800,26,0.0458640053021542,0.0,0.0,0.0,events/second
1781371830,26,0.04355712133638051,0.0,0.0,0.0,events/second
1781371860,26,0.04147155620050964,0.0,0.0,0.0,events/second
1781371890,26,0.03957599158162157,0.0,0.0,0.0,events/second
1781371920,26,0.03784673035832072,0.0,0.0,0.0,events/second
1781371950,29,0.04044677776834821,0.0,0.0,0.0,events/second
1781371980,29,0.03882138517704677,0.0,0.0,0.0,events/second
1781372010,29,0.037321698703700563,0.0,0.0,0.0,events/second
1781372040,29,0.035933968962866984,0.0,0.0,0.0,events/second
1781372070,32,0.03822967131902337,0.0,0.0,0.0,events/second
1781372100,32,0.036905812351411486,0.0,0.0,0.0,events/second
1781372130,32,0.03567072573872376,0.0,0.0,0.0,events/second
1781372160,32,0.03451577046315855,0.0,0.0,0.0,events/second
1781372190,32,0.03343329462849273,0.0,0.0,0.0,events/second
1781372220,34,0.03444244464047031,0.0,0.0,0.0,events/second
1781372250,35,0.03440927854202433,0.0,0.0,0.0,events/second
1781372280,35,0.03342317896057142,0.0,0.0,0.0,events/second
1781372580,6,0.24831846289944406,0.0,0.0,0.0,events/second
1781372611,6,0.10968308708094011,0.0,0.0,0.0,events/second
1781372641,14,0.16522099203418378,0.0,0.0,0.0,events/second
1781372671,14,0.12200774353169151,0.0,0.0,0.0,events/second
1781372701,14,0.09671503441033535,0.0,0.0,0.0,events/second
1781372731,15,0.0858243293751557,0.0,0.0,0.0,events/second
1781372761,16,0.07812340773966676,0.0,0.0,0.0,events/second
1781372791,19,0.08090789174264498,0.0,0.0,0.0,events/second
1781372821,19,0.07174038293896508,0.0,0.0,0.0,events/second
1781372851,21,0.07121728606749313,0.0,0.0,0.0,events/second
1781372881,21,0.06463585672033967,0.0,0.0,0.0,events/second
1781373780,5,0.264454555787987,0.0,0.0,0.0,events/second
1781373810,5,0.1019865476194558,0.0,0.0,0.0,events/second
1781373840,6,0.07590909385516885,0.0,0.0,0.0,events/second
1781373870,6,0.05501339301511398,0.0,0.0,0.0,events/second
1781373900,13,0.09347131885787596,0.0,0.0,0.0,events/second
