t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,0,0.0,0.0,0.0,0.0,events/second
1781367780,0,0.0,0.0,0.0,0.0,events/second
1781367810,0,0.0,0.0,0.0,0.0,events/second
1781367840,0,0.0,0.0,0.0,0.0,events/second
1781367870,0,0.0,0.0,0.0,0.0,events/second
1781367900,0,0.0,0.0,0.0,0.0,events/second
1781367930,0,0.0,0.0,0.0,0.0,events/second
1781367960,0,0.0,0.0,0.0,0.0,events/second
1781367990,0,0.0,0.0,0.0,0.0,events/second
1781368020,0,0.0,0.0,0.0,0.0,events/second
1781368050,0,0.0,0.0,0.0,0.0,events/second
1781368080,0,0.0,0.0,0.0,0.0,events/second
1781368110,0,0.0,0.0,0.0,0.0,events/second
1781368140,0,0.0,0.0,0.0,0.0,events/second
1781368170,0,0.0,0.0,0.0,0.0,events/second
1781368200,0,0.0,0.0,0.0,0.0,events/second
1781368230,0,0.0,0.0,0.0,0.0,events/second
1781368260,0,0.0,0.0,0.0,0.0,events/second
1781368290,0,0.0,0.0,0.0,0.0,events/second
1781368320,0,0.0,0.0,0.0,0.0,events/second
1781368350,0,0.0,0.0,0.0,0.0,events/second
1781368380,0,0.0,0.0,0.0,0.0,events/second
1781368410,0,0.0,0.0,0.0,0.0,events/second
1781368440,0,0.0,0.0,0.0,0.0,events/second
1781368470,0,0.0,0.0,0.0,0.0,events/second
1781368500,0,0.0,0.0,0.0,0.0,events/second
1781368530,0,0.0,0.0,0.0,0.0,events/second
1781368560,0,0.0,0.0,0.0,0.0,events/second
1781368590,0,0.0,0.0,0.0,0.0,events/second
1781368621,0,0.0,0.0,0.0,0.0,events/second
1781368651,0,0.0,0.0,0.0,0.0,events/second
1781368681,0,0.0,0.0,0.0,0.0,events/second
1781368711,0,0.0,0.0,0.0,0.0,events/second
1781368741,0,0.0,0.0,0.0,0.0,events/second
1781368771,0,0.0,0.0,0.0,0.0,events/second
1781368801,0,0.0,0.0,0.0,0.0,events/second
1781368831,0,0.0,0.0,0.0,0.0,events/second
1781368861,0,0.0,0.0,0.0,0.0,events/second
1781368891,0,0.0,0.0,0.0,0.0,events/second
1781368921,0,0.0,0.0,0.0,0.0,events/second
1781368951,0,0.0,0.0,0.0,0.0,events/second
1781368981,0,0.0,0.0,0.0,0.0,events/second
1781369011,0,0.0,0.0,0.0,0.0,events/second
1781369041,0,0.0,0.0,0.0,0.0,events/second
1781369071,0,0.0,0.0,0.0,0.0,events/second
1781369101,0,0.0,0.0,0.0,0.0,events/second
1781369131,0,0.0,0.0,0.0,0.0,events/second
1781369161,0,0.0,0.0,0.0,0.0,events/second
1781369191,0,0.0,0.0,0.0,0.0,events/second
1781369221,0,0.0,0.0,0.0,0.0,events/second
1781369251,0,0.0,0.0,0.0,0.0,events/second
1781369281,0,0.0,0.0,0.0,0.0,events/second
1781369311,0,0.0,0.0,0.0,0.0,events/second
1781369341,0,0.0,0.0,0.0,0.0,events/second
1781369371,0,0.0,0.0,0.0,0.0,events/second
1781369401,0,0.0,0.0,0.0,0.0,events/second
1781369431,1,4.3436839059803723E-4,0.0,0.0,0.0,events/second
1781369461,1,4.287791728586065E-4,0.0,0.0,0.0,events/second
1781369491,1,4.2333118234667383E-4,0.0,0.0,0.0,events/second
1781369521,1,4.180194348264276E-4,0.0,0.0,0.0,events/second
1781371260,46,1.740511156948944,0.0,0.0,0.0,events/second
1781371290,46,0.8135287554144914,0.0,0.0,0.0,events/second
1781371320,46,0.5313830472686222,0.0,0.0,0.0,events/second
1781371350,46,0.39453019055443694,0.0,0.0,0.0,events/second
1781371380,46,0.3137737273561012,0.0,0.0,0.0,events/second
1781371410,46,0.26044588308006345,0.0,0.0,0.0,events/second
1781371440,64,0.3097253387104401,0.0,0.0,0.0,events/second
1781371470,64,0.27041629255593697,0.0,0.0,0.0,events/second
1781371500,68,0.2549439936166703,0.0,0.0,0.0,events/second
1781371530,86,0.28980941082753364,0.0,0.0,0.0,events/second
1781371560,86,0.2631922451905762,0.0,0.0,0.0,events/second
1781371590,86,0.24104853910317195,0.0,0.0,0.0,events/second
1781371620,86,0.2223433968455678,0.0,0.0,0.0,events/second
1781371650,86,0.20633304695657978,0.0,0.0,0.0,events/second
1781371680,90,0.20142135395474414,0.0,0.0,0.0,events/second
1781371710,108,0.22649604877579993,0.0,0.0,0.0,events/second
1781371740,144,0.2841092613452252,0.0,0.0,0.0,events/second
1781371770,145,0.2700831145022151,0.0,0.0,0.0,events/second
1781371800,145,0.2557794030404414,0.0,0.0,0.0,events/second
1781371830,145,0.24291442031123703,0.0,0.0,0.0,events/second
1781371860,145,0.23128328263735637,0.0,0.0,0.0,events/second
1781371890,145,0.22071190792118878,0.0,0.0,0.0,events/second
1781371920,146,0.21252368840160338,0.0,0.0,0.0,events/second
1781371950,149,0.20781251066695342,0.0,0.0,0.0,events/second
1781371980,152,0.2034773767496539,0.0,0.0,0.0,events/second
1781372010,152,0.1956169012537321,0.0,0.0,0.0,events/second
1781372040,153,0.18958246688828156,0.0,0.0,0.0,events/second
1781372070,261,0.31181034387719087,0.0,0.0,0.0,events/second
1781372100,261,0.3010126821928606,0.0,0.0,0.0,events/second
1781372130,265,0.2953978733776048,0.0,0.0,0.0,events/second
1781372160,275,0.2966196323890643,0.0,0.0,0.0,events/second
1781372190,279,0.2914962878090884,0.0,0.0,0.0,events/second
1781372220,313,0.3170727969055235,0.0,0.0,0.0,events/second
1781372250,329,0.3234469582445246,0.0,0.0,0.0,events/second
1781372280,365,0.34855575788980686,0.0,0.0,0.0,events/second
1781372580,6,0.24775674129885655,0.0,0.0,0.0,events/second
1781372611,6,0.10968031194309136,0.0,0.0,0.0,events/second
1781372641,42,0.49565213124386004,0.0,0.0,0.0,events/second
1781372671,42,0.36601894574194843,0.0,0.0,0.0,events/second
1781372701,42,0.2901421800649933,0.0,0.0,0.0,events/second
1781372731,43,0.2460276775976438,0.0,0.0,0.0,events/second
1781372761,46,0.2246005054733981,0.0,0.0,0.0,events/second
1781372791,50,0.21291287031716766,0.0,0.0,0.0,events/second
1781372821,69,0.26052944338880474,0.0,0.0,0.0,events/second
1781372851,101,0.34251902435443204,0.0,0.0,0.0,events/second
1781372881,101,0.3108663492427816,0.0,0.0,0.0,events/second
1781373780,5,0.26430651800277855,0.0,0.0,0.0,events/second
1781373810,5,0.10198501220917654,0.0,0.0,0.0,events/second
1781373840,6,0.0759084023986038,0.0,0.0,0.0,events/second
1781373870,6,0.05501284255554965,0.0,0.0,0.0,events/second
1781373900,24,0.17256151257637686,0.0,0.0,0.0,events/second
