t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,0
1781369461,0
1781369491,0
1781369521,0
1781371260,2
1781371290,2
1781371320,2
1781371350,2
1781371380,2
1781371410,2
1781371440,2
1781371470,2
1781371500,2
1781371530,2
1781371560,2
1781371590,2
1781371620,2
1781371650,2
1781371680,2
1781371710,2
1781371740,2
1781371770,2
1781371800,2
1781371830,2
1781371860,2
1781371890,2
1781371920,2
1781371950,2
1781371980,2
1781372010,2
1781372040,2
1781372070,2
1781372100,2
1781372130,2
1781372160,2
1781372190,2
1781372220,2
1781372250,2
1781372280,2
1781372580,2
1781372611,2
1781372641,2
1781372671,2
1781372701,2
1781372731,2
1781372761,2
1781372791,2
1781372821,2
1781372851,2
1781372881,2
1781373780,2
1781373810,2
1781373840,2
1781373870,2
1781373900,2
1781373930,2
1781373960,2
1781373990,2
1781374020,2
1781374050,2
1781374080,2
1781374110,2
1781374200,2
1781379210,2
1781379240,2
1781379270,2
1781379300,2
1781379330,2
1781379360,2
1781381160,2
1781381191,2
1781381221,2
1781381251,2
1781381281,2
1781381311,2
1781381341,2
1781381371,2
1781381401,2
1781381431,2
1781381461,2
1781381491,2
1781381521,2
1781381551,2
1781381581,2
1781381611,2
1781381641,2
1781381671,2
1781381701,2
1781381731,2
1781381761,2
1781381791,2
1781381821,2
1781381851,2
1781381882,2
1781381912,2
1781381942,2
1781381972,2
1781382002,2
1781382032,2
1781382062,2
1781382092,2
1781382122,2
1781382152,2
1781382182,2
1781382510,2
1781382541,2
1781382571,2
1781382601,2
1781382631,2
1781382661,2
1781382691,2
1781382721,2
1781382751,2
1781382781,2
1781382811,2
1781382841,2
1781382871,2
1781382901,2
1781382931,2
1781382961,2
1781382991,2
1781383021,2
1781383051,2
1781383081,2
1781383111,2
1781383141,2
1781383171,2
1781383201,2
1781383231,2
1781383261,2
1781383291,2
1781383321,2
1781383351,2
1781383381,2
1781383411,2
1781383441,2
1781383471,2
1781383501,2
1781398740,2
1781398772,2
1781398802,2
1781398832,2
1781398862,2
1781398892,2
1781398922,2
1781398952,2
1781398982,2
1781399012,2
1781399042,2
1781399072,2
1781399102,2
1781399132,2
1781399162,2
1781399192,2
1781399222,2
1781399252,2
1781399282,2
1781399312,2
1781399342,2
1781399372,2
1781399670,2
1781399702,2
1781399732,2
1781399762,2
1781399792,2
1781399822,2
1781399852,2
1781399882,2
1781399912,2
1781399942,2
1781399972,2
1781400002,2
1781400032,2
1781400062,2
1781400092,2
1781400122,2
1781400152,2
1781400182,2
1781400212,2
1781400242,2
1781400272,2
1781400302,2
1781400332,2
1781400362,2
1781400392,2
1781400422,2
1781400452,2
1781400482,2
1781400512,2
1781400542,2
1781400572,2
1781400602,2
1781400632,2
1781400662,2
1781400693,2
1781400723,2
1781400753,2
1781400783,2
1781400813,2
1781400843,2
1781400873,2
1781400903,2
1781400933,2
1781400963,2
1781400993,2
1781401023,2
1781401053,2
1781401083,2
1781401113,2
1781401143,2
1781401173,2
1781401203,2
1781401233,2
1781401263,2
1781401293,2
1781401323,2
1781401353,2
1781401383,2
1781401413,2
1781401443,2
1781401473,2
1781401503,2
1781401533,2
1781401563,2
1781401593,2
1781401623,2
1781401653,2
1781401683,2
1781401713,2
1781401743,2
1781401773,2
1781401803,2
1781401833,2
1781401863,2
1781401893,2
1781401923,2
1781401953,2
1781401983,2
1781402013,2
1781402043,2
1781402073,2
1781402103,2
1781402133,2
1781402163,2
1781402193,2
1781402223,2
1781402253,2
1781402283,2
1781402313,2
1781402343,2
1781402373,2
1781402403,2
1781402433,2
1781402463,2
1781402493,2
1781402523,2
1781402700,2
1781402732,2
1781402762,2
1781402792,2
1781402822,2
1781402852,2
1781402882,2
1781402913,2
1781402943,2
1781402973,2
1781403003,2
1781403033,2
1781403063,2
1781403093,2
1781403123,2
1781403153,2
1781403183,2
1781403213,2
1781403243,2
1781403273,2
1781403303,2
1781403333,2
1781403363,2
1781403393,2
1781403423,2
1781403453,2
1781403483,2
1781403513,2
1781403543,2
1781403573,2
1781403603,2
1781403633,2
1781403663,2
1781403693,2
1781403723,2
1781403753,2
1781403783,2
1781444820,2
1781444851,2
1781444881,2
1781444911,2
1781444941,2
1781444971,2
1781445001,2
1781445031,2
1781445061,2
1781445091,2
1781445121,2
1781445152,2
