t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,0
1781369461,0
1781369491,0
1781369521,0
1781371260,11
1781371290,11
1781371320,11
1781371350,11
1781371380,11
1781371410,11
1781371440,11
1781371470,11
1781371500,11
1781371530,11
1781371560,11
1781371590,11
1781371620,11
1781371650,11
1781371680,11
1781371710,11
1781371740,11
1781371770,12
1781371800,12
1781371830,12
1781371860,12
1781371890,12
1781371920,13
1781371950,13
1781371980,16
1781372010,16
1781372040,17
1781372070,17
1781372100,17
1781372130,18
1781372160,18
1781372190,18
1781372220,18
1781372250,18
1781372280,18
1781372580,18
1781372611,18
1781372641,18
1781372671,18
1781372701,18
1781372731,19
1781372761,22
1781372791,23
1781372821,23
1781372851,23
1781372881,23
1781373780,23
1781373810,23
1781373840,23
1781373870,23
1781373900,23
1781373930,24
1781373960,27
1781373990,29
1781374020,29
1781374050,29
1781374080,29
1781374110,29
1781374200,29
1781379210,29
1781379240,29
1781379270,29
1781379300,29
1781379330,29
1781379360,29
1781381160,29
1781381191,29
1781381221,29
1781381251,29
1781381281,29
1781381311,29
1781381341,29
1781381371,29
1781381401,29
1781381431,29
1781381461,29
1781381491,29
1781381521,29
1781381551,29
1781381581,29
1781381611,29
1781381641,29
1781381671,29
1781381701,29
1781381731,29
1781381761,29
1781381791,29
1781381821,29
1781381851,29
1781381882,29
1781381912,29
1781381942,29
1781381972,29
1781382002,29
1781382032,29
1781382062,29
1781382092,29
1781382122,29
1781382152,29
1781382182,29
1781382510,29
1781382541,29
1781382571,29
1781382601,29
1781382631,29
1781382661,29
1781382691,29
1781382721,29
1781382751,29
1781382781,29
1781382811,29
1781382841,29
1781382871,29
1781382901,29
1781382931,29
1781382961,29
1781382991,29
1781383021,29
1781383051,29
1781383081,29
1781383111,29
1781383141,29
1781383171,29
1781383201,29
1781383231,29
1781383261,29
1781383291,29
1781383321,29
1781383351,29
1781383381,29
1781383411,29
1781383441,29
1781383471,24
1781383501,24
1781398740,24
1781398772,24
1781398802,24
1781398832,24
1781398862,24
1781398892,24
1781398922,24
1781398952,24
1781398982,24
1781399012,24
1781399042,24
1781399072,24
1781399102,24
1781399132,24
1781399162,24
1781399192,24
1781399222,24
1781399252,24
1781399282,24
1781399312,24
1781399342,24
1781399372,24
1781399670,24
1781399702,24
1781399732,24
1781399762,24
1781399792,24
1781399822,24
1781399852,24
1781399882,24
1781399912,24
1781399942,24
1781399972,24
1781400002,24
1781400032,24
1781400062,24
1781400092,24
1781400122,24
1781400152,24
1781400182,24
1781400212,24
1781400242,24
1781400272,24
1781400302,24
1781400332,24
1781400362,24
1781400392,24
1781400422,24
1781400452,24
1781400482,24
1781400512,24
1781400542,24
1781400572,24
1781400602,24
1781400632,24
1781400662,24
1781400693,24
1781400723,24
1781400753,24
1781400783,24
1781400813,24
1781400843,24
1781400873,24
1781400903,24
1781400933,24
1781400963,24
1781400993,24
1781401023,24
1781401053,24
1781401083,24
1781401113,24
1781401143,24
1781401173,24
1781401203,24
1781401233,24
1781401263,24
1781401293,24
1781401323,24
1781401353,24
1781401383,24
1781401413,24
1781401443,24
1781401473,24
1781401503,24
1781401533,24
1781401563,24
1781401593,24
1781401623,24
1781401653,24
1781401683,24
1781401713,24
1781401743,24
1781401773,24
1781401803,24
1781401833,24
1781401863,24
1781401893,24
1781401923,24
1781401953,24
1781401983,24
1781402013,24
1781402043,24
1781402073,24
1781402103,24
1781402133,24
1781402163,24
1781402193,24
1781402223,24
1781402253,24
1781402283,24
1781402313,24
1781402343,24
1781402373,24
1781402403,24
1781402433,24
1781402463,24
1781402493,24
1781402523,24
1781402700,24
1781402732,24
1781402762,24
1781402792,24
1781402822,24
1781402852,24
1781402882,24
1781402913,24
1781402943,24
1781402973,24
1781403003,24
1781403033,15
1781403063,15
1781403093,15
1781403123,11
1781403153,11
1781403183,11
1781403213,11
1781403243,11
1781403273,11
1781403303,11
1781403333,11
1781403363,11
1781403393,11
1781403423,11
1781403453,11
1781403483,11
1781403513,11
1781403543,11
1781403573,11
1781403603,11
1781403633,11
1781403663,11
1781403693,11
1781403723,11
1781403753,11
1781403783,11
1781444820,11
1781444851,11
1781444881,11
1781444911,11
1781444941,11
1781444971,11
1781445001,11
1781445031,11
1781445061,11
1781445091,11
1781445121,11
1781445152,11
