t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,0
1781369461,0
1781369491,0
1781369521,0
1781371260,19
1781371290,19
1781371320,19
1781371350,19
1781371380,19
1781371410,19
1781371440,19
1781371470,19
1781371500,19
1781371530,19
1781371560,19
1781371590,19
1781371620,19
1781371650,19
1781371680,19
1781371710,19
1781371740,19
1781371770,19
1781371800,19
1781371830,19
1781371860,19
1781371890,19
1781371920,19
1781371950,19
1781371980,19
1781372010,19
1781372040,19
1781372070,19
1781372100,19
1781372130,19
1781372160,19
1781372190,19
1781372220,19
1781372250,19
1781372280,19
1781372580,19
1781372611,19
1781372641,19
1781372671,19
1781372701,19
1781372731,19
1781372761,19
1781372791,19
1781372821,19
1781372851,19
1781372881,19
1781373780,19
1781373810,19
1781373840,19
1781373870,19
1781373900,19
1781373930,19
1781373960,19
1781373990,21
1781374020,25
1781374050,25
1781374080,25
1781374110,25
1781374200,25
1781379210,25
1781379240,25
1781379270,25
1781379300,25
1781379330,25
1781379360,25
1781381160,25
1781381191,25
1781381221,25
1781381251,25
1781381281,25
1781381311,25
1781381341,25
1781381371,25
1781381401,25
1781381431,25
1781381461,25
1781381491,25
1781381521,25
1781381551,25
1781381581,25
1781381611,25
1781381641,25
1781381671,25
1781381701,25
1781381731,25
1781381761,25
1781381791,25
1781381821,25
1781381851,25
1781381882,25
1781381912,25
1781381942,25
1781381972,25
1781382002,25
1781382032,25
1781382062,25
1781382092,25
1781382122,25
1781382152,25
1781382182,25
1781382510,25
1781382541,25
1781382571,25
1781382601,25
1781382631,25
1781382661,25
1781382691,25
1781382721,25
1781382751,25
1781382781,25
1781382811,25
1781382841,25
1781382871,25
1781382901,25
1781382931,25
1781382961,25
1781382991,25
1781383021,25
1781383051,25
1781383081,25
1781383111,25
1781383141,25
1781383171,25
1781383201,25
1781383231,25
1781383261,25
1781383291,25
1781383321,25
1781383351,25
1781383381,25
1781383411,25
1781383441,25
1781383471,19
1781383501,19
1781398740,19
1781398772,19
1781398802,19
1781398832,19
1781398862,19
1781398892,19
1781398922,19
1781398952,19
1781398982,19
1781399012,19
1781399042,19
1781399072,19
1781399102,19
1781399132,19
1781399162,19
1781399192,19
1781399222,19
1781399252,19
1781399282,19
1781399312,19
1781399342,19
1781399372,19
1781399670,19
1781399702,19
1781399732,19
1781399762,19
1781399792,19
1781399822,19
1781399852,19
1781399882,19
1781399912,19
1781399942,19
1781399972,19
1781400002,19
1781400032,19
1781400062,19
1781400092,19
1781400122,19
1781400152,19
1781400182,19
1781400212,19
1781400242,19
1781400272,19
1781400302,19
1781400332,19
1781400362,19
1781400392,19
1781400422,19
1781400452,19
1781400482,19
1781400512,19
1781400542,19
1781400572,19
1781400602,19
1781400632,19
1781400662,19
1781400693,19
1781400723,19
1781400753,19
1781400783,19
1781400813,19
1781400843,19
1781400873,19
1781400903,19
1781400933,19
1781400963,19
1781400993,19
1781401023,19
1781401053,19
1781401083,19
1781401113,19
1781401143,19
1781401173,19
1781401203,19
1781401233,19
1781401263,19
1781401293,19
1781401323,19
1781401353,19
1781401383,19
1781401413,19
1781401443,19
1781401473,19
1781401503,19
1781401533,19
1781401563,19
1781401593,19
1781401623,19
1781401653,19
1781401683,19
1781401713,19
1781401743,19
1781401773,19
1781401803,19
1781401833,19
1781401863,19
1781401893,19
1781401923,19
1781401953,19
1781401983,19
1781402013,19
1781402043,19
1781402073,19
1781402103,19
1781402133,19
1781402163,19
1781402193,19
1781402223,19
1781402253,19
1781402283,19
1781402313,19
1781402343,19
1781402373,19
1781402403,19
1781402433,19
1781402463,19
1781402493,19
1781402523,19
1781402700,19
1781402732,19
1781402762,19
1781402792,19
1781402822,19
1781402852,19
1781402882,19
1781402913,19
1781402943,19
1781402973,19
1781403003,19
1781403033,19
1781403063,19
1781403093,19
1781403123,19
1781403153,19
1781403183,19
1781403213,19
1781403243,19
1781403273,19
1781403303,19
1781403333,19
1781403363,19
1781403393,19
1781403423,19
1781403453,19
1781403483,19
1781403513,19
1781403543,19
1781403573,19
1781403603,19
1781403633,19
1781403663,19
1781403693,19
1781403723,19
1781403753,19
1781403783,19
1781444820,19
1781444851,19
1781444881,19
1781444911,19
1781444941,19
1781444971,19
1781445001,19
1781445031,19
1781445061,19
1781445091,19
1781445121,19
1781445152,19
