t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,0
1781369461,0
1781369491,0
1781369521,0
1781371260,0
1781371290,0
1781371320,0
1781371350,0
1781371380,0
1781371410,0
1781371440,0
1781371470,0
1781371500,0
1781371530,0
1781371560,0
1781371590,0
1781371620,0
1781371650,0
1781371680,0
1781371710,0
1781371740,0
1781371770,0
1781371800,0
1781371830,0
1781371860,0
1781371890,0
1781371920,0
1781371950,0
1781371980,0
1781372010,0
1781372040,0
1781372070,0
1781372100,0
1781372130,0
1781372160,0
1781372190,0
1781372220,0
1781372250,0
1781372280,0
1781372580,0
1781372611,0
1781372641,0
1781372671,0
1781372701,0
1781372731,0
1781372761,0
1781372791,0
1781372821,0
1781372851,0
1781372881,0
1781373780,0
1781373810,0
1781373840,0
1781373870,0
1781373900,0
1781373930,0
1781373960,0
1781373990,0
1781374020,0
1781374050,0
1781374080,0
1781374110,0
1781374200,0
1781379210,0
1781379240,0
1781379270,0
1781379300,0
1781379330,0
1781379360,0
1781381160,0
1781381191,0
1781381221,0
1781381251,0
1781381281,0
1781381311,0
1781381341,0
1781381371,0
1781381401,0
1781381431,0
1781381461,0
1781381491,0
1781381521,0
1781381551,0
1781381581,0
1781381611,0
1781381641,0
1781381671,0
1781381701,0
1781381731,0
1781381761,0
1781381791,0
1781381821,0
1781381851,0
1781381882,0
1781381912,0
1781381942,0
1781381972,0
1781382002,0
1781382032,0
1781382062,0
1781382092,0
1781382122,0
1781382152,0
1781382182,0
1781382510,0
1781382541,0
1781382571,0
1781382601,0
1781382631,0
1781382661,0
1781382691,0
1781382721,0
1781382751,0
1781382781,0
1781382811,0
1781382841,0
1781382871,0
1781382901,0
1781382931,0
1781382961,0
1781382991,0
1781383021,0
1781383051,0
1781383081,0
1781383111,0
1781383141,0
1781383171,0
1781383201,0
1781383231,0
1781383261,0
1781383291,0
1781383321,0
1781383351,0
1781383381,0
1781383411,0
1781383441,0
1781383471,640
1781383501,640
1781398740,640
1781398772,640
1781398802,640
1781398832,640
1781398862,640
1781398892,640
1781398922,640
1781398952,640
1781398982,640
1781399012,640
1781399042,640
1781399072,640
1781399102,640
1781399132,640
1781399162,640
1781399192,640
1781399222,640
1781399252,640
1781399282,640
1781399312,640
1781399342,640
1781399372,640
1781399670,640
1781399702,640
1781399732,640
1781399762,640
1781399792,640
1781399822,640
1781399852,640
1781399882,640
1781399912,640
1781399942,640
1781399972,640
1781400002,640
1781400032,640
1781400062,640
1781400092,640
1781400122,640
1781400152,640
1781400182,640
1781400212,640
1781400242,640
1781400272,640
1781400302,640
1781400332,640
1781400362,640
1781400392,640
1781400422,640
1781400452,640
1781400482,640
1781400512,640
1781400542,640
1781400572,640
1781400602,640
1781400632,640
1781400662,640
1781400693,640
1781400723,640
1781400753,640
1781400783,640
1781400813,640
1781400843,640
1781400873,640
1781400903,640
1781400933,640
1781400963,640
1781400993,640
1781401023,640
1781401053,640
1781401083,640
1781401113,640
1781401143,640
1781401173,640
1781401203,640
1781401233,640
1781401263,640
1781401293,640
1781401323,640
1781401353,640
1781401383,640
1781401413,640
1781401443,640
1781401473,640
1781401503,640
1781401533,640
1781401563,640
1781401593,640
1781401623,640
1781401653,640
1781401683,640
1781401713,640
1781401743,640
1781401773,640
1781401803,640
1781401833,640
1781401863,640
1781401893,640
1781401923,640
1781401953,640
1781401983,640
1781402013,640
1781402043,640
1781402073,640
1781402103,640
1781402133,640
1781402163,640
1781402193,640
1781402223,640
1781402253,640
1781402283,640
1781402313,640
1781402343,640
1781402373,640
1781402403,640
1781402433,640
1781402463,640
1781402493,640
1781402523,640
1781402700,640
1781402732,640
1781402762,640
1781402792,640
1781402822,640
1781402852,640
1781402882,640
1781402913,640
1781402943,640
1781402973,640
1781403003,640
1781403033,3264
1781403063,3264
1781403093,3264
1781403123,3776
1781403153,3776
1781403183,3776
1781403213,3776
1781403243,3776
1781403273,3776
1781403303,3776
1781403333,3776
1781403363,3776
1781403393,3776
1781403423,3776
1781403453,3776
1781403483,3776
1781403513,3776
1781403543,3776
1781403573,3776
1781403603,3776
1781403633,3776
1781403663,3776
1781403693,3776
1781403723,3776
1781403753,3776
1781403783,3776
1781444820,3776
1781444851,3776
1781444881,3776
1781444911,3776
1781444941,3776
1781444971,3776
1781445001,3776
1781445031,3776
1781445061,3776
1781445091,3776
1781445121,3776
1781445152,3776
