t,value
1781367150,41960
1781367180,41960
1781367210,41960
1781367240,41960
1781367270,41960
1781367300,41960
1781367330,41960
1781367360,41960
1781367390,41960
1781367420,41960
1781367450,41960
1781367480,41960
1781367510,41960
1781367540,41960
1781367570,41960
1781367600,41960
1781367630,41960
1781367660,41960
1781367690,41960
1781367720,41960
1781367750,910879
1781367780,910879
1781367810,910879
1781367840,910879
1781367870,910879
1781367900,910879
1781367930,910879
1781367960,910879
1781367990,910879
1781368020,910879
1781368050,910879
1781368080,910879
1781368110,910879
1781368140,910879
1781368170,910879
1781368200,910879
1781368230,910879
1781368260,910879
1781368290,910879
1781368320,910879
1781368350,910879
1781368380,910879
1781368410,910879
1781368440,910879
1781368470,910879
1781368500,910879
1781368530,910879
1781368560,910879
1781368590,910879
1781368621,910879
1781368651,910879
1781368681,910879
1781368711,910879
1781368741,910879
1781368771,910879
1781368801,910879
1781368831,910879
1781368861,910879
1781368891,910879
1781368921,910879
1781368951,910879
1781368981,910879
1781369011,910879
1781369041,910879
1781369071,910879
1781369101,910879
1781369131,910879
1781369161,910879
1781369191,910879
1781369221,910879
1781369251,910879
1781369281,910879
1781369311,910879
1781369341,910879
1781369371,910879
1781369401,910879
1781369431,910879
1781369461,910879
1781369491,910879
1781369521,910879
1781371260,919071
1781371290,919071
1781371320,919071
1781371350,919071
1781371380,919071
1781371410,919071
1781371440,919071
1781371470,919071
1781371500,919071
1781371530,919071
1781371560,919071
1781371590,919071
1781371620,919071
1781371650,919071
1781371680,919071
1781371710,919071
1781371740,919071
1781371770,919071
1781371800,919071
1781371830,919071
1781371860,919071
1781371890,919071
1781371920,919071
1781371950,919071
1781371980,919071
1781372010,919071
1781372040,919071
1781372070,919071
1781372100,919071
1781372130,919071
1781372160,919071
1781372190,919071
1781372220,919071
1781372250,919071
1781372280,919071
1781372580,992799
1781372611,992799
1781372641,992799
1781372671,992799
1781372701,992799
1781372731,992799
1781372761,992799
1781372791,992799
1781372821,992799
1781372851,992799
1781372881,992799
1781373780,992799
1781373810,992799
1781373840,992799
1781373870,992799
1781373900,992799
1781373930,992799
1781373960,992799
1781373990,992799
1781374020,992799
1781374050,992799
1781374080,992799
1781374110,992799
1781374200,992799
1781379210,992799
1781379240,992799
1781379270,992799
1781379300,992799
1781379330,992799
1781379360,992799
1781381160,992799
1781381191,992799
1781381221,992799
1781381251,992799
1781381281,992799
1781381311,992799
1781381341,992799
1781381371,992799
1781381401,992799
1781381431,992799
1781381461,992799
1781381491,992799
1781381521,992799
1781381551,992799
1781381581,992799
1781381611,992799
1781381641,992799
1781381671,992799
1781381701,992799
1781381731,992799
1781381761,992799
1781381791,992799
1781381821,992799
1781381851,992799
1781381882,992799
1781381912,992799
1781381942,992799
1781381972,992799
1781382002,992799
1781382032,992799
1781382062,992799
1781382092,992799
1781382122,992799
1781382152,992799
1781382182,992799
1781382510,992799
1781382541,992799
1781382571,992799
1781382601,992799
1781382631,992799
1781382661,992799
1781382691,992799
1781382721,992799
1781382751,992799
1781382781,992799
1781382811,992799
1781382841,992799
1781382871,992799
1781382901,992799
1781382931,992799
1781382961,992799
1781382991,992799
1781383021,992799
1781383051,992799
1781383081,992799
1781383111,992799
1781383141,992799
1781383171,992799
1781383201,992799
1781383231,992799
1781383261,992799
1781383291,992799
1781383321,992799
1781383351,992799
1781383381,992799
1781383411,992799
1781383441,992799
1781383471,992799
1781383501,992799
1781398740,1000991
1781398772,1000991
1781398802,1000991
1781398832,1000991
1781398862,1000991
1781398892,1000991
1781398922,1000991
1781398952,1000991
1781398982,1000991
1781399012,1000991
1781399042,1000991
1781399072,1000991
1781399102,1000991
1781399132,1000991
1781399162,1000991
1781399192,1000991
1781399222,1000991
1781399252,1000991
1781399282,1000991
1781399312,1000991
1781399342,1000991
1781399372,1000991
1781399670,1000991
1781399702,1000991
1781399732,1000991
1781399762,1000991
1781399792,1000991
1781399822,1000991
1781399852,1000991
1781399882,1000991
1781399912,1000991
1781399942,1000991
1781399972,1000991
1781400002,1000991
1781400032,1000991
1781400062,1000991
1781400092,1000991
1781400122,1000991
1781400152,1000991
1781400182,1000991
1781400212,1000991
1781400242,1000991
1781400272,1000991
1781400302,1000991
1781400332,1000991
1781400362,1000991
1781400392,1000991
1781400422,1000991
1781400452,1000991
1781400482,1000991
1781400512,1000991
1781400542,1000991
1781400572,1000991
1781400602,1000991
1781400632,1000991
1781400662,1000991
1781400693,1000991
1781400723,1000991
1781400753,1000991
1781400783,1000991
1781400813,1000991
1781400843,1000991
1781400873,1000991
1781400903,1000991
1781400933,1000991
1781400963,1000991
1781400993,1000991
1781401023,1000991
1781401053,1000991
1781401083,1000991
1781401113,1000991
1781401143,1000991
1781401173,1000991
1781401203,1000991
1781401233,1000991
1781401263,1000991
1781401293,1000991
1781401323,1000991
1781401353,1000991
1781401383,1000991
1781401413,1000991
1781401443,1000991
1781401473,1000991
1781401503,1000991
