t,value
1781367150,41960
1781367180,41960
1781367210,41960
1781367240,41960
1781367270,41960
1781367300,41960
1781367330,41960
1781367360,41960
1781367390,41960
1781367420,41960
1781367450,41960
1781367480,41960
1781367510,41960
1781367540,41960
1781367570,41960
1781367600,41960
1781367630,41960
1781367660,41960
1781367690,41960
1781367720,41960
1781367750,912531
1781367780,912531
1781367810,912531
1781367840,912531
1781367870,912531
1781367900,912531
1781367930,912531
1781367960,912531
1781367990,912531
1781368020,912531
1781368050,912531
1781368080,912531
1781368110,912531
1781368140,912531
1781368170,912531
1781368200,912531
1781368230,912531
1781368260,912531
1781368290,912531
1781368320,912531
1781368350,912531
1781368380,912531
1781368410,912531
1781368440,912531
1781368470,912531
1781368500,912531
1781368530,912531
1781368560,912531
1781368590,912531
1781368621,912531
1781368651,912531
1781368681,912531
1781368711,912531
1781368741,912531
1781368771,912531
1781368801,912531
1781368831,912531
1781368861,912531
1781368891,912531
1781368921,912531
1781368951,912531
1781368981,912531
1781369011,912531
1781369041,912531
1781369071,912531
1781369101,912531
1781369131,912531
1781369161,912531
1781369191,912531
1781369221,912531
1781369251,912531
1781369281,912531
1781369311,912531
1781369341,912531
1781369371,912531
1781369401,912531
1781369431,912531
1781369461,912531
1781369491,912531
1781369521,912531
1781371260,920955
1781371290,920955
1781371320,920955
1781371350,920955
1781371380,920955
1781371410,920955
1781371440,920955
1781371470,920955
1781371500,920955
1781371530,920955
1781371560,920955
1781371590,920955
1781371620,920955
1781371650,920955
1781371680,920955
1781371710,920955
1781371740,920955
1781371770,920955
1781371800,920955
1781371830,920955
1781371860,923599
1781371890,923599
1781371920,923599
1781371950,923599
1781371980,923599
1781372010,923599
1781372040,923599
1781372070,923599
1781372100,923599
1781372130,923599
1781372160,923599
1781372190,923599
1781372220,923599
1781372250,923599
1781372280,923599
1781372580,999721
1781372611,999721
1781372641,999721
1781372671,999721
1781372701,999721
1781372731,999721
1781372761,999721
1781372791,999721
1781372821,999721
1781372851,999721
1781372881,999721
1781373780,1000587
1781373810,1000587
1781373840,1000587
1781373870,1000587
1781373900,1000587
1781373930,1000587
1781373960,1000587
1781373990,1000587
1781374020,1000587
1781374050,1000587
1781374080,1000587
1781374110,1000587
1781374200,1002406
1781379210,1002638
1781379240,1002638
1781379270,1002638
1781379300,1002638
1781379330,1002638
1781379360,1002638
1781381160,1002870
1781381191,1002870
1781381221,1002870
1781381251,1002870
1781381281,1002870
1781381311,1002870
1781381341,1002870
1781381371,1002870
1781381401,1002870
1781381431,1002870
1781381461,1002870
1781381491,1002870
1781381521,1002870
1781381551,1002870
1781381581,1002870
1781381611,1002870
1781381641,1002870
1781381671,1002870
1781381701,1002870
1781381731,1002870
1781381761,1002870
1781381791,1002870
1781381821,1002870
1781381851,1002870
1781381882,1002870
1781381912,1002870
1781381942,1002870
1781381972,1002870
1781382002,1002870
1781382032,1002870
1781382062,1002870
1781382092,1002870
1781382122,1002870
1781382152,1002870
1781382182,1002870
1781382510,1003102
1781382541,1003102
1781382571,1003102
1781382601,1003102
1781382631,1003102
1781382661,1003102
1781382691,1003102
1781382721,1003102
1781382751,1003102
1781382781,1003102
1781382811,1003102
1781382841,1003102
1781382871,1003102
1781382901,1003102
1781382931,1003102
1781382961,1003102
1781382991,1003102
1781383021,1003102
1781383051,1003102
1781383081,1003102
1781383111,1003102
1781383141,1003102
1781383171,1003102
1781383201,1003102
1781383231,1003102
1781383261,1003102
1781383291,1003102
1781383321,1003102
1781383351,1003102
1781383381,1003102
1781383411,1003102
1781383441,1003102
1781383471,1003102
1781383501,1003102
1781398740,1011787
1781398772,1011787
1781398802,1011787
1781398832,1011787
1781398862,1011787
1781398892,1011787
1781398922,1011787
1781398952,1011787
1781398982,1011787
1781399012,1011787
1781399042,1011787
1781399072,1011787
1781399102,1011787
1781399132,1011787
1781399162,1011787
1781399192,1011787
1781399222,1011787
1781399252,1011787
1781399282,1011787
1781399312,1011787
1781399342,1011787
1781399372,1011787
1781399670,1012019
1781399702,1012019
1781399732,1012019
1781399762,1012019
1781399792,1012019
1781399822,1012019
1781399852,1012019
1781399882,1012019
1781399912,1012019
1781399942,1012019
1781399972,1012019
1781400002,1012019
1781400032,1012019
1781400062,1012019
1781400092,1012019
1781400122,1012019
1781400152,1012019
1781400182,1012019
1781400212,1012019
1781400242,1012019
1781400272,1012019
1781400302,1012019
1781400332,1012019
1781400362,1012019
1781400392,1012019
1781400422,1012019
1781400452,1012019
1781400482,1012019
1781400512,1012019
1781400542,1012019
1781400572,1012019
1781400602,1012019
1781400632,1012019
1781400662,1012019
1781400693,1012019
1781400723,1012019
1781400753,1012019
1781400783,1012019
1781400813,1012019
1781400843,1012019
1781400873,1012019
1781400903,1012019
1781400933,1012019
1781400963,1012019
1781400993,1012019
1781401023,1012019
1781401053,1012019
1781401083,1012019
1781401113,1012019
1781401143,1012019
1781401173,1012019
1781401203,1012019
