t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,1,0.04794270884647014,0.0,0.0,0.0,events/second
1781367180,1,0.019640230956389178,0.0,0.0,0.0,events/second
1781367210,1,0.012354867998805022,0.0,0.0,0.0,events/second
1781367240,1,0.009012653856140558,0.0,0.0,0.0,events/second
1781367270,1,0.007093770234026367,0.0,0.0,0.0,events/second
1781367300,1,0.005848119480805076,0.0,0.0,0.0,events/second
1781367330,1,0.004974780717287484,0.0,0.0,0.0,events/second
1781367360,1,0.004328457787193941,0.0,0.0,0.0,events/second
1781367390,1,0.003830793256591039,0.0,0.0,0.0,events/second
1781367420,1,0.0034356057390515825,0.0,0.0,0.0,events/second
1781367450,1,0.0031143298941073054,0.0,0.0,0.0,events/second
1781367480,1,0.002847921385340145,0.0,0.0,0.0,events/second
1781367510,1,0.0026236237115420686,0.0,0.0,0.0,events/second
1781367540,1,0.002432145320503894,0.0,0.0,0.0,events/second
1781367570,1,0.002266640149817769,0.0,0.0,0.0,events/second
1781367600,1,0.002122243397544752,0.0,0.0,0.0,events/second
1781367630,1,0.00199516079773894,0.0,0.0,0.0,events/second
1781367660,1,0.0018824056216044023,0.0,0.0,0.0,events/second
1781367690,1,0.001781744513122761,0.0,0.0,0.0,events/second
1781367720,1,0.0016912944121957305,0.0,0.0,0.0,events/second
1781367750,1,0.0016095907410221557,0.0,0.0,0.0,events/second
1781367780,1,0.0015354152264638178,0.0,0.0,0.0,events/second
1781367810,1,0.001467759207989006,0.0,0.0,0.0,events/second
1781367840,1,0.0014058396400439487,0.0,0.0,0.0,events/second
1781367870,1,0.0013489232346605982,0.0,0.0,0.0,events/second
1781367900,1,0.001296431093967707,0.0,0.0,0.0,events/second
1781367930,1,0.0012478859612286407,0.0,0.0,0.0,events/second
1781367960,1,0.0012028435300920186,0.0,0.0,0.0,events/second
1781367990,1,0.0011609228699701792,0.0,0.0,0.0,events/second
1781368020,1,0.0011218230797305866,0.0,0.0,0.0,events/second
1781368050,1,0.0010852751917066346,0.0,0.0,0.0,events/second
1781368080,1,0.0010510413964625357,0.0,0.0,0.0,events/second
1781368110,1,0.0010189011022782074,0.0,0.0,0.0,events/second
1781368140,1,9.88657627543059E-4,0.0,0.0,0.0,events/second
1781368170,1,9.601675235464572E-4,0.0,0.0,0.0,events/second
1781368200,1,9.332728864306248E-4,0.0,0.0,0.0,events/second
1781368230,1,9.078385306522117E-4,0.0,0.0,0.0,events/second
1781368260,1,8.837550976309722E-4,0.0,0.0,0.0,events/second
1781368290,1,8.609175054977712E-4,0.0,0.0,0.0,events/second
1781368320,1,8.392298296041979E-4,0.0,0.0,0.0,events/second
1781368350,1,8.186126592262804E-4,0.0,0.0,0.0,events/second
1781368380,1,7.989819481956009E-4,0.0,0.0,0.0,events/second
1781368410,1,7.802698264460658E-4,0.0,0.0,0.0,events/second
1781368440,1,7.624115165378751E-4,0.0,0.0,0.0,events/second
1781368470,1,7.453581483394285E-4,0.0,0.0,0.0,events/second
1781368500,1,7.29047680381949E-4,0.0,0.0,0.0,events/second
1781368530,1,7.134394539105891E-4,0.0,0.0,0.0,events/second
1781368560,1,6.984863376453381E-4,0.0,0.0,0.0,events/second
1781368590,1,6.841258357500984E-4,0.0,0.0,0.0,events/second
1781368621,1,6.703266021424218E-4,0.0,0.0,0.0,events/second
1781368651,1,6.57106514795034E-4,0.0,0.0,0.0,events/second
1781368681,1,6.443961868813214E-4,0.0,0.0,0.0,events/second
1781368711,1,6.321696003149052E-4,0.0,0.0,0.0,events/second
1781368741,1,6.203970239936923E-4,0.0,0.0,0.0,events/second
1781368771,1,6.090555051727788E-4,0.0,0.0,0.0,events/second
1781368801,1,5.98121688746145E-4,0.0,0.0,0.0,events/second
1781368831,1,5.875753221883552E-4,0.0,0.0,0.0,events/second
1781368861,1,5.773902544149609E-4,0.0,0.0,0.0,events/second
1781368891,1,5.675548121643169E-4,0.0,0.0,0.0,events/second
1781368921,1,5.580484054649032E-4,0.0,0.0,0.0,events/second
1781368951,1,5.48857406639659E-4,0.0,0.0,0.0,events/second
1781368981,1,5.399604402000793E-4,0.0,0.0,0.0,events/second
1781369011,1,5.313499341884875E-4,0.0,0.0,0.0,events/second
1781369041,1,5.230079274285915E-4,0.0,0.0,0.0,events/second
1781369071,1,5.149259470235234E-4,0.0,0.0,0.0,events/second
1781369101,1,5.070894858270557E-4,0.0,0.0,0.0,events/second
1781369131,1,4.994859127903411E-4,0.0,0.0,0.0,events/second
1781369161,1,4.921083435724914E-4,0.0,0.0,0.0,events/second
1781369191,1,4.849462066230975E-4,0.0,0.0,0.0,events/second
1781369221,1,4.7799010815101453E-4,0.0,0.0,0.0,events/second
1781369251,1,4.712281299867056E-4,0.0,0.0,0.0,events/second
1781369281,1,4.646580669556366E-4,0.0,0.0,0.0,events/second
1781369311,1,4.5826905097882535E-4,0.0,0.0,0.0,events/second
1781369341,1,4.5205202438661294E-4,0.0,0.0,0.0,events/second
1781369371,1,4.46001265043251E-4,0.0,0.0,0.0,events/second
1781369401,1,4.4010917278426796E-4,0.0,0.0,0.0,events/second
1781369431,2,8.687404683161367E-4,0.0,0.0,0.0,events/second
1781369461,2,8.575620055926766E-4,0.0,0.0,0.0,events/second
1781369491,2,8.466659683566137E-4,0.0,0.0,0.0,events/second
1781369521,2,8.360423793953642E-4,0.0,0.0,0.0,events/second
1781371260,15,0.5675357024319204,0.0,0.0,0.0,events/second
1781371290,15,0.2653163348176326,0.0,0.0,0.0,events/second
1781371320,15,0.17329208960035608,0.0,0.0,0.0,events/second
1781371350,15,0.1286595794617375,0.0,0.0,0.0,events/second
1781371380,15,0.10232293820824587,0.0,0.0,0.0,events/second
1781371410,15,0.08493169426525375,0.0,0.0,0.0,events/second
1781371440,19,0.0919522852293837,0.0,0.0,0.0,events/second
1781371470,19,0.08028242902187668,0.0,0.0,0.0,events/second
1781371500,20,0.07498562791711808,0.0,0.0,0.0,events/second
1781371530,24,0.08087914520093152,0.0,0.0,0.0,events/second
1781371560,24,0.07345073439396967,0.0,0.0,0.0,events/second
1781371590,24,0.06727081034206235,0.0,0.0,0.0,events/second
1781371620,24,0.06205055182341711,0.0,0.0,0.0,events/second
1781371650,24,0.05758233335317396,0.0,0.0,0.0,events/second
1781371680,25,0.0559513410809873,0.0,0.0,0.0,events/second
1781371710,29,0.06081937066252305,0.0,0.0,0.0,events/second
1781371740,37,0.07300132300850132,0.0,0.0,0.0,events/second
1781371770,38,0.07078142505503718,0.0,0.0,0.0,events/second
1781371800,38,0.06703271652600623,0.0,0.0,0.0,events/second
1781371830,38,0.06366116051125957,0.0,0.0,0.0,events/second
1781371860,38,0.06061289597164168,0.0,0.0,0.0,events/second
1781371890,38,0.05784240864321041,0.0,0.0,0.0,events/second
1781371920,39,0.056770663507396124,0.0,0.0,0.0,events/second
1781371950,42,0.05857865256179446,0.0,0.0,0.0,events/second
1781371980,45,0.06024063450769568,0.0,0.0,0.0,events/second
1781372010,45,0.057913462850091336,0.0,0.0,0.0,events/second
1781372040,46,0.05699919450373956,0.0,0.0,0.0,events/second
1781372070,70,0.08362798806702011,0.0,0.0,0.0,events/second
1781372100,70,0.08073208601097905,0.0,0.0,0.0,events/second
1781372130,74,0.0824891633782634,0.0,0.0,0.0,events/second
1781372160,84,0.09060456885511198,0.0,0.0,0.0,events/second
1781372190,88,0.0919422222379072,0.0,0.0,0.0,events/second
1781372220,122,0.12358842832059717,0.0,0.0,0.0,events/second
1781372250,135,0.1327224050244774,0.0,0.0,0.0,events/second
1781372280,143,0.13655847172311783,0.0,0.0,0.0,events/second
1781372580,2,0.08260340968041584,0.0,0.0,0.0,events/second
1781372611,2,0.036583409332774895,0.0,0.0,0.0,events/second
1781372641,10,0.11806035465158168,0.0,0.0,0.0,events/second
1781372671,10,0.08717380456951258,0.0,0.0,0.0,events/second
1781372701,10,0.06909808902559923,0.0,0.0,0.0,events/second
1781372731,11,0.06294981026563795,0.0,0.0,0.0,events/second
1781372761,14,0.06836829232176835,0.0,0.0,0.0,events/second
1781372791,18,0.07666000909268626,0.0,0.0,0.0,events/second
1781372821,37,0.1397225690872763,0.0,0.0,0.0,events/second
1781372851,69,0.23402559866829475,0.0,0.0,0.0,events/second
1781372881,69,0.2123968377439026,0.0,0.0,0.0,events/second
1781373780,1,0.052898747691974744,0.0,0.0,0.0,events/second
1781373810,1,0.020404677022131397,0.0,0.0,0.0,events/second
1781373840,2,0.02530864128478892,0.0,0.0,0.0,events/second
1781373870,2,0.018340726841023912,0.0,0.0,0.0,events/second
1781373900,6,0.043145982434627674,0.0,0.0,0.0,events/second
1781373930,7,0.041401480499080864,0.0,0.0,0.0,events/second
1781373960,10,0.050225228180029696,0.0,0.0,0.0,events/second
1781373990,18,0.07855613869450263,0.0,0.0,0.0,events/second
1781374020,32,0.12347895168933747,0.0,0.0,0.0,events/second
1781374050,46,0.1590715630809097,0.0,0.0,0.0,events/second
1781374080,48,0.15037573868909643,0.0,0.0,0.0,events/second
1781374110,48,0.13745117631129042,0.0,0.0,0.0,events/second
1781374200,6,0.2279632226932829,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,6,0.17894434699284428,0.0,0.0,0.0,events/second
1781379270,6,0.09440082673474963,0.0,0.0,0.0,events/second
1781379300,7,0.07479860949897846,0.0,0.0,0.0,events/second
1781379330,7,0.05663412743166373,0.0,0.0,0.0,events/second
