t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,1,0.04794149181985112,0.0,0.0,0.0,events/second
1781367180,1,0.019640224591703153,0.0,0.0,0.0,events/second
1781367210,1,0.012354889094070926,0.0,0.0,0.0,events/second
1781367240,1,0.009012664293941593,0.0,0.0,0.0,events/second
1781367270,1,0.007093777082799491,0.0,0.0,0.0,events/second
1781367300,1,0.005848116146258084,0.0,0.0,0.0,events/second
1781367330,1,0.004974783565834926,0.0,0.0,0.0,events/second
1781367360,1,0.004328458729592151,0.0,0.0,0.0,events/second
1781367390,1,0.003830795324296411,0.0,0.0,0.0,events/second
1781367420,1,0.003435607535527992,0.0,0.0,0.0,events/second
1781367450,1,0.0031143291288523943,0.0,0.0,0.0,events/second
1781367480,1,0.0028479224924451486,0.0,0.0,0.0,events/second
1781367510,1,0.00262362487759078,0.0,0.0,0.0,events/second
1781367540,1,0.0024321463728417094,0.0,0.0,0.0,events/second
1781367570,1,0.002266641020651062,0.0,0.0,0.0,events/second
1781367600,1,0.0021222442168075777,0.0,0.0,0.0,events/second
1781367630,1,0.0019951612141167543,0.0,0.0,0.0,events/second
1781367660,1,0.0018824062197391083,0.0,0.0,0.0,events/second
1781367690,1,0.0017817450861406835,0.0,0.0,0.0,events/second
1781367720,1,0.001691294886748963,0.0,0.0,0.0,events/second
1781367750,1,0.0016095911811961979,0.0,0.0,0.0,events/second
1781367780,1,0.0015354156555289229,0.0,0.0,0.0,events/second
1781367810,1,0.0014677595755155939,0.0,0.0,0.0,events/second
1781367840,1,0.0014058399712861686,0.0,0.0,0.0,events/second
1781367870,1,0.0013489235447194689,0.0,0.0,0.0,events/second
1781367900,1,0.0012964313832220205,0.0,0.0,0.0,events/second
1781367930,1,0.0012478862460441288,0.0,0.0,0.0,events/second
1781367960,1,0.0012028437725812042,0.0,0.0,0.0,events/second
1781367990,1,0.0011609230241518742,0.0,0.0,0.0,events/second
1781368020,1,0.0011218233060065988,0.0,0.0,0.0,events/second
1781368050,1,0.0010852753291585077,0.0,0.0,0.0,events/second
1781368080,1,0.0010510415992832948,0.0,0.0,0.0,events/second
1781368110,1,0.001018901292988135,0.0,0.0,0.0,events/second
1781368140,1,9.886577876483966E-4,0.0,0.0,0.0,events/second
1781368170,1,9.601676859890835E-4,0.0,0.0,0.0,events/second
1781368200,1,9.332730351971548E-4,0.0,0.0,0.0,events/second
1781368230,1,9.078386507339128E-4,0.0,0.0,0.0,events/second
1781368260,1,8.837552300925051E-4,0.0,0.0,0.0,events/second
1781368290,1,8.609176409111869E-4,0.0,0.0,0.0,events/second
1781368320,1,8.392299270098268E-4,0.0,0.0,0.0,events/second
1781368350,1,8.186127712714775E-4,0.0,0.0,0.0,events/second
1781368380,1,7.989820645070241E-4,0.0,0.0,0.0,events/second
1781368410,1,7.802699363382721E-4,0.0,0.0,0.0,events/second
1781368440,1,7.624116109944763E-4,0.0,0.0,0.0,events/second
1781368470,1,7.453582498400295E-4,0.0,0.0,0.0,events/second
1781368500,1,7.29047763510204E-4,0.0,0.0,0.0,events/second
1781368530,1,7.134395279694935E-4,0.0,0.0,0.0,events/second
1781368560,1,6.984864175606095E-4,0.0,0.0,0.0,events/second
1781368590,1,6.841259084348794E-4,0.0,0.0,0.0,events/second
1781368621,1,6.703266773166363E-4,0.0,0.0,0.0,events/second
1781368651,1,6.571065892786402E-4,0.0,0.0,0.0,events/second
1781368681,1,6.443961847635646E-4,0.0,0.0,0.0,events/second
1781368711,1,6.321696515485527E-4,0.0,0.0,0.0,events/second
1781368741,1,6.203970730289967E-4,0.0,0.0,0.0,events/second
1781368771,1,6.090555525058249E-4,0.0,0.0,0.0,events/second
1781368801,1,5.981217506368244E-4,0.0,0.0,0.0,events/second
1781368831,1,5.875753810180681E-4,0.0,0.0,0.0,events/second
1781368861,1,5.773902806852671E-4,0.0,0.0,0.0,events/second
1781368891,1,5.675548689860197E-4,0.0,0.0,0.0,events/second
1781368921,1,5.580484602744806E-4,0.0,0.0,0.0,events/second
1781368951,1,5.488574510129706E-4,0.0,0.0,0.0,events/second
1781368981,1,5.399604911059847E-4,0.0,0.0,0.0,events/second
1781369011,1,5.313499731221771E-4,0.0,0.0,0.0,events/second
1781369041,1,5.230079621951837E-4,0.0,0.0,0.0,events/second
1781369071,1,5.149259913829099E-4,0.0,0.0,0.0,events/second
1781369101,1,5.070895317265047E-4,0.0,0.0,0.0,events/second
1781369131,1,4.994859196262624E-4,0.0,0.0,0.0,events/second
1781369161,1,4.921083856617491E-4,0.0,0.0,0.0,events/second
1781369191,1,4.8494624817813905E-4,0.0,0.0,0.0,events/second
1781369221,1,4.779901450725036E-4,0.0,0.0,0.0,events/second
1781369251,1,4.712281555675524E-4,0.0,0.0,0.0,events/second
1781369281,1,4.646581056461956E-4,0.0,0.0,0.0,events/second
1781369311,1,4.582690837404693E-4,0.0,0.0,0.0,events/second
1781369341,1,4.52052061966771E-4,0.0,0.0,0.0,events/second
1781369371,1,4.460012966312932E-4,0.0,0.0,0.0,events/second
1781369401,1,4.4010920675856366E-4,0.0,0.0,0.0,events/second
1781369431,1,4.3437025966726794E-4,0.0,0.0,0.0,events/second
1781369461,1,4.287810333895043E-4,0.0,0.0,0.0,events/second
1781369491,1,4.233330171172573E-4,0.0,0.0,0.0,events/second
1781369521,1,4.1802122148320247E-4,0.0,0.0,0.0,events/second
1781371260,13,0.49180858377128067,0.0,0.0,0.0,events/second
1781371290,13,0.2299408763814094,0.0,0.0,0.0,events/second
1781371320,13,0.15018651009955586,0.0,0.0,0.0,events/second
1781371350,13,0.11150499411612591,0.0,0.0,0.0,events/second
1781371380,13,0.08867990821231123,0.0,0.0,0.0,events/second
1781371410,13,0.07360748165830654,0.0,0.0,0.0,events/second
1781371440,13,0.06291473106391142,0.0,0.0,0.0,events/second
1781371470,13,0.054930083154228905,0.0,0.0,0.0,events/second
1781371500,13,0.04874053643996374,0.0,0.0,0.0,events/second
1781371530,13,0.04380954275642892,0.0,0.0,0.0,events/second
1781371560,13,0.03978581952871619,0.0,0.0,0.0,events/second
1781371590,13,0.03643836050442652,0.0,0.0,0.0,events/second
1781371620,13,0.03361071867329351,0.0,0.0,0.0,events/second
1781371650,13,0.031190428852602373,0.0,0.0,0.0,events/second
1781371680,13,0.02909468629899527,0.0,0.0,0.0,events/second
1781371710,13,0.027263858324361852,0.0,0.0,0.0,events/second
1781371740,13,0.02564911346417047,0.0,0.0,0.0,events/second
1781371770,14,0.0260773693453494,0.0,0.0,0.0,events/second
1781371800,14,0.024696261173344218,0.0,0.0,0.0,events/second
1781371830,14,0.023454113684781563,0.0,0.0,0.0,events/second
1781371860,14,0.022331066993912227,0.0,0.0,0.0,events/second
1781371890,14,0.02131036158835356,0.0,0.0,0.0,events/second
1781371920,15,0.021834871758958097,0.0,0.0,0.0,events/second
1781371950,15,0.020920948428959453,0.0,0.0,0.0,events/second
1781371980,18,0.024096255009497292,0.0,0.0,0.0,events/second
1781372010,18,0.02316538543518583,0.0,0.0,0.0,events/second
1781372040,19,0.023543146600272125,0.0,0.0,0.0,events/second
1781372070,19,0.0226990256633189,0.0,0.0,0.0,events/second
1781372100,19,0.02191299522426083,0.0,0.0,0.0,events/second
1781372130,20,0.02229436844581901,0.0,0.0,0.0,events/second
1781372160,20,0.021572517273630163,0.0,0.0,0.0,events/second
1781372190,20,0.020895960416043302,0.0,0.0,0.0,events/second
1781372220,20,0.020260398711331506,0.0,0.0,0.0,events/second
1781372250,20,0.019662579312776585,0.0,0.0,0.0,events/second
1781372280,20,0.019099087784145652,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,1,0.005722711959639691,0.0,0.0,0.0,events/second
1781372761,4,0.01953380408303582,0.0,0.0,0.0,events/second
1781372791,5,0.021294453128090557,0.0,0.0,0.0,events/second
1781372821,5,0.0188814328183451,0.0,0.0,0.0,events/second
1781372851,5,0.016958378268061288,0.0,0.0,0.0,events/second
1781372881,5,0.015391078633669628,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
1781373810,0,0.0,0.0,0.0,0.0,events/second
1781373840,0,0.0,0.0,0.0,0.0,events/second
1781373870,0,0.0,0.0,0.0,0.0,events/second
1781373900,0,0.0,0.0,0.0,0.0,events/second
1781373930,1,0.005914499456455134,0.0,0.0,0.0,events/second
1781373960,4,0.02009009108029629,0.0,0.0,0.0,events/second
1781373990,8,0.034913837697975174,0.0,0.0,0.0,events/second
1781374020,12,0.04630461676430774,0.0,0.0,0.0,events/second
1781374050,12,0.04149693028861554,0.0,0.0,0.0,events/second
1781374080,12,0.03759394438874109,0.0,0.0,0.0,events/second
1781374110,12,0.03436280102487352,0.0,0.0,0.0,events/second
1781374200,0,0.0,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,0,0.0,0.0,0.0,0.0,events/second
1781379270,0,0.0,0.0,0.0,0.0,events/second
1781379300,0,0.0,0.0,0.0,0.0,events/second
1781379330,0,0.0,0.0,0.0,0.0,events/second
1781379360,0,0.0,0.0,0.0,0.0,events/second
1781381160,0,0.0,0.0,0.0,0.0,events/second
1781381191,0,0.0,0.0,0.0,0.0,events/second
1781381221,0,0.0,0.0,0.0,0.0,events/second
1781381251,0,0.0,0.0,0.0,0.0,events/second
1781381281,0,0.0,0.0,0.0,0.0,events/second
1781381311,0,0.0,0.0,0.0,0.0,events/second
1781381341,0,0.0,0.0,0.0,0.0,events/second
1781381371,0,0.0,0.0,0.0,0.0,events/second
1781381401,0,0.0,0.0,0.0,0.0,events/second
1781381431,0,0.0,0.0,0.0,0.0,events/second
1781381461,0,0.0,0.0,0.0,0.0,events/second
1781381491,0,0.0,0.0,0.0,0.0,events/second
1781381521,0,0.0,0.0,0.0,0.0,events/second
1781381551,0,0.0,0.0,0.0,0.0,events/second
1781381581,0,0.0,0.0,0.0,0.0,events/second
1781381611,0,0.0,0.0,0.0,0.0,events/second
1781381641,0,0.0,0.0,0.0,0.0,events/second
1781381671,0,0.0,0.0,0.0,0.0,events/second
1781381701,0,0.0,0.0,0.0,0.0,events/second
1781381731,0,0.0,0.0,0.0,0.0,events/second
1781381761,0,0.0,0.0,0.0,0.0,events/second
1781381791,0,0.0,0.0,0.0,0.0,events/second
1781381821,0,0.0,0.0,0.0,0.0,events/second
1781381851,0,0.0,0.0,0.0,0.0,events/second
1781381882,0,0.0,0.0,0.0,0.0,events/second
1781381912,0,0.0,0.0,0.0,0.0,events/second
1781381942,0,0.0,0.0,0.0,0.0,events/second
1781381972,0,0.0,0.0,0.0,0.0,events/second
1781382002,0,0.0,0.0,0.0,0.0,events/second
1781382032,0,0.0,0.0,0.0,0.0,events/second
1781382062,0,0.0,0.0,0.0,0.0,events/second
1781382092,0,0.0,0.0,0.0,0.0,events/second
1781382122,0,0.0,0.0,0.0,0.0,events/second
1781382152,0,0.0,0.0,0.0,0.0,events/second
1781382182,0,0.0,0.0,0.0,0.0,events/second
1781382510,0,0.0,0.0,0.0,0.0,events/second
1781382541,0,0.0,0.0,0.0,0.0,events/second
1781382571,0,0.0,0.0,0.0,0.0,events/second
1781382601,0,0.0,0.0,0.0,0.0,events/second
1781382631,0,0.0,0.0,0.0,0.0,events/second
1781382661,0,0.0,0.0,0.0,0.0,events/second
1781382691,0,0.0,0.0,0.0,0.0,events/second
1781382721,0,0.0,0.0,0.0,0.0,events/second
1781382751,0,0.0,0.0,0.0,0.0,events/second
1781382781,0,0.0,0.0,0.0,0.0,events/second
1781382811,0,0.0,0.0,0.0,0.0,events/second
1781382841,0,0.0,0.0,0.0,0.0,events/second
1781382871,0,0.0,0.0,0.0,0.0,events/second
1781382901,0,0.0,0.0,0.0,0.0,events/second
1781382931,0,0.0,0.0,0.0,0.0,events/second
1781382961,0,0.0,0.0,0.0,0.0,events/second
1781382991,0,0.0,0.0,0.0,0.0,events/second
1781383021,0,0.0,0.0,0.0,0.0,events/second
1781383051,0,0.0,0.0,0.0,0.0,events/second
1781383081,0,0.0,0.0,0.0,0.0,events/second
1781383111,0,0.0,0.0,0.0,0.0,events/second
1781383141,0,0.0,0.0,0.0,0.0,events/second
1781383171,0,0.0,0.0,0.0,0.0,events/second
1781383201,0,0.0,0.0,0.0,0.0,events/second
1781383231,0,0.0,0.0,0.0,0.0,events/second
1781383261,0,0.0,0.0,0.0,0.0,events/second
1781383291,0,0.0,0.0,0.0,0.0,events/second
1781383321,0,0.0,0.0,0.0,0.0,events/second
1781383351,0,0.0,0.0,0.0,0.0,events/second
1781383381,0,0.0,0.0,0.0,0.0,events/second
1781383411,0,0.0,0.0,0.0,0.0,events/second
1781383441,0,0.0,0.0,0.0,0.0,events/second
1781383471,1,0.001028784219842136,0.0,0.0,0.0,events/second
1781383501,1,9.979722841855839E-4,0.0,0.0,0.0,events/second
1781398740,0,0.0,0.0,0.0,0.0,events/second
1781398772,0,0.0,0.0,0.0,0.0,events/second
1781398802,0,0.0,0.0,0.0,0.0,events/second
1781398832,0,0.0,0.0,0.0,0.0,events/second
1781398862,0,0.0,0.0,0.0,0.0,events/second
1781398892,0,0.0,0.0,0.0,0.0,events/second
1781398922,0,0.0,0.0,0.0,0.0,events/second
1781398952,0,0.0,0.0,0.0,0.0,events/second
1781398982,0,0.0,0.0,0.0,0.0,events/second
1781399012,0,0.0,0.0,0.0,0.0,events/second
1781399042,0,0.0,0.0,0.0,0.0,events/second
1781399072,0,0.0,0.0,0.0,0.0,events/second
1781399102,0,0.0,0.0,0.0,0.0,events/second
1781399132,0,0.0,0.0,0.0,0.0,events/second
1781399162,0,0.0,0.0,0.0,0.0,events/second
1781399192,0,0.0,0.0,0.0,0.0,events/second
1781399222,0,0.0,0.0,0.0,0.0,events/second
1781399252,0,0.0,0.0,0.0,0.0,events/second
1781399282,0,0.0,0.0,0.0,0.0,events/second
1781399312,0,0.0,0.0,0.0,0.0,events/second
1781399342,0,0.0,0.0,0.0,0.0,events/second
1781399372,0,0.0,0.0,0.0,0.0,events/second
1781399670,0,0.0,0.0,0.0,0.0,events/second
1781399702,0,0.0,0.0,0.0,0.0,events/second
1781399732,0,0.0,0.0,0.0,0.0,events/second
1781399762,0,0.0,0.0,0.0,0.0,events/second
1781399792,0,0.0,0.0,0.0,0.0,events/second
1781399822,0,0.0,0.0,0.0,0.0,events/second
1781399852,0,0.0,0.0,0.0,0.0,events/second
1781399882,0,0.0,0.0,0.0,0.0,events/second
1781399912,0,0.0,0.0,0.0,0.0,events/second
1781399942,0,0.0,0.0,0.0,0.0,events/second
1781399972,0,0.0,0.0,0.0,0.0,events/second
1781400002,0,0.0,0.0,0.0,0.0,events/second
1781400032,0,0.0,0.0,0.0,0.0,events/second
1781400062,0,0.0,0.0,0.0,0.0,events/second
1781400092,0,0.0,0.0,0.0,0.0,events/second
1781400122,0,0.0,0.0,0.0,0.0,events/second
1781400152,0,0.0,0.0,0.0,0.0,events/second
1781400182,0,0.0,0.0,0.0,0.0,events/second
1781400212,0,0.0,0.0,0.0,0.0,events/second
1781400242,0,0.0,0.0,0.0,0.0,events/second
