t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,2,0.09588304937360514,0.0,0.0,0.0,events/second
1781367180,2,0.03928060085633949,0.0,0.0,0.0,events/second
1781367210,2,0.02470987304104296,0.0,0.0,0.0,events/second
1781367240,2,0.01802537687000566,0.0,0.0,0.0,events/second
1781367270,2,0.01418758492227238,0.0,0.0,0.0,events/second
1781367300,2,0.011696246663568152,0.0,0.0,0.0,events/second
1781367330,2,0.009949582277757484,0.0,0.0,0.0,events/second
1781367360,2,0.00865692747522358,0.0,0.0,0.0,events/second
1781367390,2,0.007661599808734291,0.0,0.0,0.0,events/second
1781367420,2,0.006871222759798786,0.0,0.0,0.0,events/second
1781367450,2,0.006228659937579995,0.0,0.0,0.0,events/second
1781367480,2,0.005695846173913671,0.0,0.0,0.0,events/second
1781367510,2,0.005247254039417886,0.0,0.0,0.0,events/second
1781367540,2,0.004864296679385026,0.0,0.0,0.0,events/second
1781367570,2,0.004533285372564299,0.0,0.0,0.0,events/second
1781367600,2,0.00424449143683148,0.0,0.0,0.0,events/second
1781367630,2,0.00399032458973755,0.0,0.0,0.0,events/second
1781367660,2,0.003764814727841668,0.0,0.0,0.0,events/second
1781367690,2,0.003563492287846427,0.0,0.0,0.0,events/second
1781367720,2,0.003382591595051548,0.0,0.0,0.0,events/second
1781367750,2,0.003219184042257469,0.0,0.0,0.0,events/second
1781367780,2,0.003070832883511975,0.0,0.0,0.0,events/second
1781367810,2,0.002935520548322619,0.0,0.0,0.0,events/second
1781367840,2,0.002811681250149939,0.0,0.0,0.0,events/second
1781367870,2,0.002697848261986291,0.0,0.0,0.0,events/second
1781367900,2,0.0025928638609387,0.0,0.0,0.0,events/second
1781367930,2,0.002495773532934595,0.0,0.0,0.0,events/second
1781367960,2,0.002405688482421282,0.0,0.0,0.0,events/second
1781367990,2,0.0023218468097783796,0.0,0.0,0.0,events/second
1781368020,2,0.0022436474471458335,0.0,0.0,0.0,events/second
1781368050,2,0.0021705513353296223,0.0,0.0,0.0,events/second
1781368080,2,0.0021020839356149777,0.0,0.0,0.0,events/second
1781368110,2,0.002037803281335972,0.0,0.0,0.0,events/second
1781368140,2,0.001977316196756024,0.0,0.0,0.0,events/second
1781368170,2,0.0019203359776811023,0.0,0.0,0.0,events/second
1781368200,2,0.0018665466375887435,0.0,0.0,0.0,events/second
1781368230,2,0.001815677807344136,0.0,0.0,0.0,events/second
1781368260,2,0.0017675109670692816,0.0,0.0,0.0,events/second
1781368290,2,0.0017218357763372676,0.0,0.0,0.0,events/second
1781368320,2,0.0016784602820974785,0.0,0.0,0.0,events/second
1781368350,2,0.0016372258848438314,0.0,0.0,0.0,events/second
1781368380,2,0.0015979645577450263,0.0,0.0,0.0,events/second
1781368410,2,0.00156054028009978,0.0,0.0,0.0,events/second
1781368440,2,0.0015248236028381115,0.0,0.0,0.0,events/second
1781368470,2,0.0014907168555711886,0.0,0.0,0.0,events/second
1781368500,2,0.0014580958627226064,0.0,0.0,0.0,events/second
1781368530,2,0.0014268793710075559,0.0,0.0,0.0,events/second
1781368560,2,0.0013969731497084257,0.0,0.0,0.0,events/second
1781368590,2,0.0013682521106979627,0.0,0.0,0.0,events/second
1781368621,2,0.0013406536463434712,0.0,0.0,0.0,events/second
1781368651,2,0.001314213462415476,0.0,0.0,0.0,events/second
1781368681,2,0.0012887926092904698,0.0,0.0,0.0,events/second
1781368711,2,0.0012643395392834844,0.0,0.0,0.0,events/second
1781368741,2,0.0012407943735295189,0.0,0.0,0.0,events/second
1781368771,2,0.0012181113237230226,0.0,0.0,0.0,events/second
1781368801,2,0.001196243706407321,0.0,0.0,0.0,events/second
1781368831,2,0.0011751509875501012,0.0,0.0,0.0,events/second
1781368861,2,0.0011547807445959565,0.0,0.0,0.0,events/second
1781368891,2,0.0011351099499260712,0.0,0.0,0.0,events/second
1781368921,2,0.0011160971253375309,0.0,0.0,0.0,events/second
1781368951,2,0.0010977150904242848,0.0,0.0,0.0,events/second
1781368981,2,0.0010799211741733508,0.0,0.0,0.0,events/second
1781369011,2,0.0010627001184673863,0.0,0.0,0.0,events/second
1781369041,2,0.0010460160815102325,0.0,0.0,0.0,events/second
1781369071,2,0.0010298521517186478,0.0,0.0,0.0,events/second
1781369101,2,0.0010141792366624035,0.0,0.0,0.0,events/second
1781369131,2,9.989719510223479E-4,0.0,0.0,0.0,events/second
1781369161,2,9.842169313498985E-4,0.0,0.0,0.0,events/second
1781369191,2,9.698926524170155E-4,0.0,0.0,0.0,events/second
1781369221,2,9.559804382422522E-4,0.0,0.0,0.0,events/second
1781369251,2,9.424564461451568E-4,0.0,0.0,0.0,events/second
1781369281,2,9.293163548706715E-4,0.0,0.0,0.0,events/second
1781369311,2,9.165383024337399E-4,0.0,0.0,0.0,events/second
1781369341,2,9.041042614209607E-4,0.0,0.0,0.0,events/second
1781369371,2,8.92002720768502E-4,0.0,0.0,0.0,events/second
1781369401,2,8.802185421313658E-4,0.0,0.0,0.0,events/second
1781369431,2,8.687406344278398E-4,0.0,0.0,0.0,events/second
1781369461,2,8.57562186577754E-4,0.0,0.0,0.0,events/second
1781369491,2,8.466661548075873E-4,0.0,0.0,0.0,events/second
1781369521,2,8.3604256021813E-4,0.0,0.0,0.0,events/second
1781371260,15,0.5674611639982814,0.0,0.0,0.0,events/second
1781371290,15,0.26531759813900296,0.0,0.0,0.0,events/second
1781371320,15,0.1732926025168075,0.0,0.0,0.0,events/second
1781371350,15,0.12865988867788905,0.0,0.0,0.0,events/second
1781371380,15,0.10232316359259108,0.0,0.0,0.0,events/second
1781371410,15,0.08493183848526317,0.0,0.0,0.0,events/second
1781371440,15,0.07259401225973777,0.0,0.0,0.0,events/second
1781371470,15,0.0633809359599378,0.0,0.0,0.0,events/second
1781371500,15,0.0562391169224382,0.0,0.0,0.0,events/second
1781371530,15,0.05054951896794673,0.0,0.0,0.0,events/second
1781371560,15,0.045906753491060326,0.0,0.0,0.0,events/second
1781371590,15,0.04204429516509688,0.0,0.0,0.0,events/second
1781371620,15,0.03878162562164066,0.0,0.0,0.0,events/second
1781371650,15,0.03598897576193371,0.0,0.0,0.0,events/second
1781371680,15,0.03357081193652034,0.0,0.0,0.0,events/second
1781371710,15,0.03145831636144058,0.0,0.0,0.0,events/second
1781371740,15,0.029595145523905953,0.0,0.0,0.0,events/second
1781371770,16,0.02980272322800734,0.0,0.0,0.0,events/second
1781371800,16,0.028224309631401892,0.0,0.0,0.0,events/second
1781371830,16,0.026804714062369606,0.0,0.0,0.0,events/second
1781371860,16,0.025521227742391173,0.0,0.0,0.0,events/second
1781371890,16,0.024354708552345405,0.0,0.0,0.0,events/second
1781371920,17,0.024746197831095065,0.0,0.0,0.0,events/second
1781371950,17,0.023710417254109686,0.0,0.0,0.0,events/second
1781371980,20,0.026773626458321063,0.0,0.0,0.0,events/second
1781372010,20,0.025739325683369625,0.0,0.0,0.0,events/second
1781372040,21,0.02602138135097924,0.0,0.0,0.0,events/second
1781372070,21,0.02508840449176873,0.0,0.0,0.0,events/second
1781372100,21,0.02421963335355088,0.0,0.0,0.0,events/second
1781372130,22,0.02452381248553762,0.0,0.0,0.0,events/second
1781372160,22,0.023729776055126814,0.0,0.0,0.0,events/second
1781372190,22,0.02298556274484544,0.0,0.0,0.0,events/second
1781372220,22,0.022286444587843623,0.0,0.0,0.0,events/second
1781372250,22,0.021628843123534254,0.0,0.0,0.0,events/second
1781372280,22,0.021009002168061508,0.0,0.0,0.0,events/second
1781372580,22,0.9079542554156871,0.0,0.0,0.0,events/second
1781372611,22,0.4024212560195177,0.0,0.0,0.0,events/second
1781372641,22,0.2597341745395991,0.0,0.0,0.0,events/second
1781372671,22,0.1917832870614891,0.0,0.0,0.0,events/second
1781372701,22,0.15201599354187414,0.0,0.0,0.0,events/second
1781372731,23,0.13162271772008888,0.0,0.0,0.0,events/second
1781372761,26,0.12697000928336338,0.0,0.0,0.0,events/second
1781372791,27,0.11499026668294782,0.0,0.0,0.0,events/second
1781372821,27,0.10195991102153422,0.0,0.0,0.0,events/second
1781372851,27,0.09157537567492921,0.0,0.0,0.0,events/second
1781372881,27,0.08311194023432199,0.0,0.0,0.0,events/second
1781373780,27,1.428667648203672,0.0,0.0,0.0,events/second
1781373810,27,0.5510025050798298,0.0,0.0,0.0,events/second
1781373840,27,0.34169594980918805,0.0,0.0,0.0,events/second
1781373870,27,0.24761525712294474,0.0,0.0,0.0,events/second
1781373900,27,0.19416590971146694,0.0,0.0,0.0,events/second
1781373930,28,0.1656125585044107,0.0,0.0,0.0,events/second
1781373960,31,0.15570340484536066,0.0,0.0,0.0,events/second
1781373990,35,0.15275251799705616,0.0,0.0,0.0,events/second
1781374020,39,0.150493903510877,0.0,0.0,0.0,events/second
1781374050,39,0.1348680452808631,0.0,0.0,0.0,events/second
1781374080,39,0.1221828941349788,0.0,0.0,0.0,events/second
1781374110,39,0.11168125275181891,0.0,0.0,0.0,events/second
1781374200,39,1.4801267480353824,0.0,0.0,0.0,events/second
1781379210,39,11.338394560082502,0.0,0.0,0.0,events/second
1781379240,39,1.1631516353485503,0.0,0.0,0.0,events/second
1781379270,39,0.6136088936963939,0.0,0.0,0.0,events/second
1781379300,39,0.4167362366852559,0.0,0.0,0.0,events/second
1781379330,39,0.3155339333545488,0.0,0.0,0.0,events/second
1781379360,39,0.2538651653276938,0.0,0.0,0.0,events/second
1781381160,39,4.076580935194007,0.0,0.0,0.0,events/second
1781381191,39,0.9728011119825107,0.0,0.0,0.0,events/second
1781381221,39,0.556210897179501,0.0,0.0,0.0,events/second
1781381251,39,0.3894099294703332,0.0,0.0,0.0,events/second
1781381281,39,0.2996154518645751,0.0,0.0,0.0,events/second
1781381311,39,0.24345841244615887,0.0,0.0,0.0,events/second
1781381341,39,0.2050380403711574,0.0,0.0,0.0,events/second
1781381371,39,0.1770983541402602,0.0,0.0,0.0,events/second
1781381401,39,0.1558517837068805,0.0,0.0,0.0,events/second
1781381431,39,0.13915726244117174,0.0,0.0,0.0,events/second
