t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,2
1781367780,2
1781367810,2
1781367840,2
1781367870,2
1781367900,2
1781367930,2
1781367960,2
1781367990,2
1781368020,2
1781368050,2
1781368080,2
1781368110,2
1781368140,2
1781368170,2
1781368200,2
1781368230,2
1781368260,2
1781368290,2
1781368320,2
1781368350,2
1781368380,2
1781368410,2
1781368440,2
1781368470,2
1781368500,2
1781368530,2
1781368560,2
1781368590,2
1781368621,2
1781368651,2
1781368681,2
1781368711,2
1781368741,2
1781368771,2
1781368801,2
1781368831,2
1781368861,2
1781368891,2
1781368921,2
1781368951,2
1781368981,2
1781369011,2
1781369041,2
1781369071,2
1781369101,2
1781369131,2
1781369161,2
1781369191,2
1781369221,2
1781369251,2
1781369281,2
1781369311,2
1781369341,2
1781369371,2
1781369401,2
1781369431,2
1781369461,2
1781369491,2
1781369521,2
1781371260,0
1781371290,0
1781371320,0
1781371350,0
1781371380,0
1781371410,0
1781371440,0
1781371470,0
1781371500,0
1781371530,0
1781371560,0
1781371590,0
1781371620,0
1781371650,0
1781371680,0
1781371710,0
1781371740,0
1781371770,0
1781371800,0
1781371830,0
1781371860,2
1781371890,2
1781371920,2
1781371950,2
1781371980,2
1781372010,2
1781372040,2
1781372070,2
1781372100,2
1781372130,2
1781372160,2
1781372190,2
1781372220,2
1781372250,2
1781372280,2
1781372580,0
1781372611,0
1781372641,0
1781372671,0
1781372701,0
1781372731,0
1781372761,0
1781372791,0
1781372821,0
1781372851,0
1781372881,0
1781373780,0
1781373810,0
1781373840,0
1781373870,0
1781373900,0
1781373930,0
1781373960,0
1781373990,0
1781374020,0
1781374050,0
1781374080,0
1781374110,0
1781374200,0
1781379210,0
1781379240,15
1781379270,15
1781379300,15
1781379330,15
1781379360,15
1781381160,0
1781381191,0
1781381221,15
1781381251,15
1781381281,15
1781381311,15
1781381341,15
1781381371,15
1781381401,15
1781381431,15
1781381461,15
1781381491,15
1781381521,15
1781381551,15
1781381581,15
1781381611,15
1781381641,15
1781381671,15
1781381701,15
1781381731,15
1781381761,17
1781381791,17
1781381821,17
1781381851,17
1781381882,17
1781381912,17
1781381942,17
1781381972,17
1781382002,17
1781382032,17
1781382062,17
1781382092,17
1781382122,17
1781382152,17
1781382182,17
1781382510,0
1781382541,0
1781382571,15
1781382601,15
1781382631,15
1781382661,15
1781382691,15
1781382721,15
1781382751,15
1781382781,15
1781382811,15
1781382841,15
1781382871,15
1781382901,15
1781382931,15
1781382961,15
1781382991,15
1781383021,15
1781383051,15
1781383081,15
1781383111,17
1781383141,17
1781383171,17
1781383201,17
1781383231,17
1781383261,17
1781383291,17
1781383321,17
1781383351,17
1781383381,17
1781383411,17
1781383441,17
1781383471,17
1781383501,17
1781398740,0
1781398772,0
1781398802,0
1781398832,0
1781398862,0
1781398892,0
1781398922,0
1781398952,0
1781398982,0
1781399012,0
1781399042,0
1781399072,0
1781399102,0
1781399132,0
1781399162,0
1781399192,0
1781399222,0
1781399252,0
1781399282,0
1781399312,0
1781399342,2
1781399372,2
1781399670,0
1781399702,0
1781399732,0
1781399762,0
1781399792,0
1781399822,0
1781399852,0
1781399882,0
1781399912,0
1781399942,10
1781399972,15
1781400002,15
1781400032,15
1781400062,15
1781400092,15
1781400122,15
1781400152,15
1781400182,15
1781400212,15
1781400242,15
1781400272,17
1781400302,17
1781400332,17
1781400362,17
1781400392,17
1781400422,17
1781400452,17
1781400482,17
1781400512,17
1781400542,17
1781400572,17
1781400602,17
1781400632,17
1781400662,17
1781400693,17
1781400723,17
1781400753,17
1781400783,17
1781400813,17
1781400843,17
1781400873,17
1781400903,17
1781400933,17
1781400963,17
1781400993,17
1781401023,17
1781401053,17
1781401083,17
1781401113,17
1781401143,17
1781401173,17
1781401203,17
1781401233,17
1781401263,17
1781401293,17
1781401323,17
1781401353,17
1781401383,17
1781401413,17
1781401443,17
1781401473,17
1781401503,17
1781401533,17
1781401563,17
1781401593,17
1781401623,17
1781401653,17
1781401683,17
1781401713,17
1781401743,17
1781401773,17
1781401803,17
1781401833,17
1781401863,17
1781401893,17
1781401923,17
1781401953,17
1781401983,17
1781402013,17
1781402043,17
1781402073,17
1781402103,17
1781402133,17
1781402163,17
1781402193,17
1781402223,17
1781402253,17
1781402283,17
1781402313,17
1781402343,17
1781402373,17
1781402403,17
1781402433,17
1781402463,17
1781402493,17
1781402523,17
1781402700,0
1781402732,0
1781402762,0
1781402792,15
1781402822,15
1781402852,15
1781402882,15
1781402913,15
1781402943,15
1781402973,15
1781403003,15
1781403033,15
1781403063,15
1781403093,15
1781403123,15
1781403153,15
1781403183,15
1781403213,15
1781403243,15
1781403273,15
1781403303,17
1781403333,17
1781403363,17
1781403393,17
1781403423,17
1781403453,17
1781403483,17
1781403513,17
1781403543,17
1781403573,17
1781403603,17
1781403633,17
1781403663,17
1781403693,17
1781403723,17
1781403753,17
1781403783,17
1781444820,0
1781444851,0
1781444881,0
1781444911,15
1781444941,15
1781444971,15
1781445001,15
1781445031,15
1781445061,15
1781445091,15
1781445121,15
1781445152,15
