t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,2,0.0032102714860271523,0.0,0.0,0.0,events/second
1781367780,2,0.0030627222342550367,0.0,0.0,0.0,events/second
1781367810,2,0.002928107664672951,0.0,0.0,0.0,events/second
1781367840,2,0.002804880159042337,0.0,0.0,0.0,events/second
1781367870,2,0.002691585791399609,0.0,0.0,0.0,events/second
1781367900,2,0.002587078576771301,0.0,0.0,0.0,events/second
1781367930,2,0.0024904133812503992,0.0,0.0,0.0,events/second
1781367960,2,0.0024007076700438617,0.0,0.0,0.0,events/second
1781367990,2,0.002317205429526905,0.0,0.0,0.0,events/second
1781368020,2,0.002239314670750956,0.0,0.0,0.0,events/second
1781368050,2,0.0021664948081841647,0.0,0.0,0.0,events/second
1781368080,2,0.0020982802596548633,0.0,0.0,0.0,events/second
1781368110,2,0.0020342284585706926,0.0,0.0,0.0,events/second
1781368140,2,0.0019739498620365134,0.0,0.0,0.0,events/second
1781368170,2,0.0019171608305754901,0.0,0.0,0.0,events/second
1781368200,2,0.0018635468392443279,0.0,0.0,0.0,events/second
1781368230,2,0.0018128388844474794,0.0,0.0,0.0,events/second
1781368260,2,0.0017648206585545066,0.0,0.0,0.0,events/second
1781368290,2,0.0017192828861831988,0.0,0.0,0.0,events/second
1781368320,2,0.0016760341809271156,0.0,0.0,0.0,events/second
1781368350,2,0.0016349174324119295,0.0,0.0,0.0,events/second
1781368380,2,0.001595765556053412,0.0,0.0,0.0,events/second
1781368410,2,0.0015584429252567225,0.0,0.0,0.0,events/second
1781368440,2,0.0015228210785732015,0.0,0.0,0.0,events/second
1781368470,2,0.0014888029089874279,0.0,0.0,0.0,events/second
1781368500,2,0.0014562645475189823,0.0,0.0,0.0,events/second
1781368530,2,0.0014251255124409935,0.0,0.0,0.0,events/second
1781368560,2,0.0013952921385722403,0.0,0.0,0.0,events/second
1781368590,2,0.0013665632570803578,0.0,0.0,0.0,events/second
1781368621,2,0.0013391053837189973,0.0,0.0,0.0,events/second
1781368651,2,0.0013127256594812375,0.0,0.0,0.0,events/second
1781368681,2,0.0012873605294304782,0.0,0.0,0.0,events/second
1781368711,2,0.0012629621959793526,0.0,0.0,0.0,events/second
1781368741,2,0.001239467817437506,0.0,0.0,0.0,events/second
1781368771,2,0.001216832801708979,0.0,0.0,0.0,events/second
1781368801,2,0.0011950108640588672,0.0,0.0,0.0,events/second
1781368831,2,0.0011739612191282993,0.0,0.0,0.0,events/second
1781368861,2,0.0011536313748388666,0.0,0.0,0.0,events/second
1781368891,2,0.001133999869948132,0.0,0.0,0.0,events/second
1781368921,2,0.001115023904431055,0.0,0.0,0.0,events/second
1781368951,2,0.00109667681103903,0.0,0.0,0.0,events/second
1781368981,2,0.0010789163649813493,0.0,0.0,0.0,events/second
1781369011,2,0.0010617268322955177,0.0,0.0,0.0,events/second
1781369041,2,0.001045073315722508,0.0,0.0,0.0,events/second
1781369071,2,0.0010289383103784435,0.0,0.0,0.0,events/second
1781369101,2,0.0010132929612801296,0.0,0.0,0.0,events/second
1781369131,2,9.98111813592497E-4,0.0,0.0,0.0,events/second
1781369161,2,9.833822558482745E-4,0.0,0.0,0.0,events/second
1781369191,2,9.690820690581132E-4,0.0,0.0,0.0,events/second
1781369221,2,9.551928986330668E-4,0.0,0.0,0.0,events/second
1781369251,2,9.416909968556223E-4,0.0,0.0,0.0,events/second
1781369281,2,9.285721404612601E-4,0.0,0.0,0.0,events/second
1781369311,2,9.158143525002516E-4,0.0,0.0,0.0,events/second
1781369341,2,9.033999041500019E-4,0.0,0.0,0.0,events/second
1781369371,2,8.913170081858783E-4,0.0,0.0,0.0,events/second
1781369401,2,8.795508791740026E-4,0.0,0.0,0.0,events/second
1781369431,2,8.680901511710536E-4,0.0,0.0,0.0,events/second
1781369461,2,8.569283356497621E-4,0.0,0.0,0.0,events/second
1781369491,2,8.460484295673205E-4,0.0,0.0,0.0,events/second
1781369521,2,8.354402286186764E-4,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,2,0.0031849758670023103,0.0,0.0,0.0,events/second
1781371890,2,0.0030396220463428346,0.0,0.0,0.0,events/second
1781371920,2,0.0029070056549488268,0.0,0.0,0.0,events/second
1781371950,2,0.0027855022311894457,0.0,0.0,0.0,events/second
1781371980,2,0.0026737155465935427,0.0,0.0,0.0,events/second
1781372010,2,0.0025705606125306212,0.0,0.0,0.0,events/second
1781372040,2,0.0024751015427733635,0.0,0.0,0.0,events/second
1781372070,2,0.0023864663113647893,0.0,0.0,0.0,events/second
1781372100,2,0.0023039238306119623,0.0,0.0,0.0,events/second
1781372130,2,0.0022269081263449715,0.0,0.0,0.0,events/second
1781372160,2,0.002154884041312629,0.0,0.0,0.0,events/second
1781372190,2,0.0020873744502610285,0.0,0.0,0.0,events/second
1781372220,2,0.0020239511255262135,0.0,0.0,0.0,events/second
1781372250,2,0.001964290801009665,0.0,0.0,0.0,events/second
1781372280,2,0.0019080527921023441,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
