t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,4,0.006420541963112432,0.0,0.0,0.0,events/second
1781367780,4,0.006125443606463613,0.0,0.0,0.0,events/second
1781367810,4,0.0058562144865400585,0.0,0.0,0.0,events/second
1781367840,4,0.005609759578553618,0.0,0.0,0.0,events/second
1781367870,4,0.005383170874274098,0.0,0.0,0.0,events/second
1781367900,4,0.005174156382511932,0.0,0.0,0.0,events/second
1781367930,4,0.004980826196243763,0.0,0.0,0.0,events/second
1781367960,4,0.004801414768935117,0.0,0.0,0.0,events/second
1781367990,4,0.004634410183041287,0.0,0.0,0.0,events/second
1781368020,4,0.0044786288756521065,0.0,0.0,0.0,events/second
1781368050,4,0.004332989038573967,0.0,0.0,0.0,events/second
1781368080,4,0.004196560116895669,0.0,0.0,0.0,events/second
1781368110,4,0.0040684565389204124,0.0,0.0,0.0,events/second
1781368140,4,0.00394789932585301,0.0,0.0,0.0,events/second
1781368170,4,0.003834321281471284,0.0,0.0,0.0,events/second
1781368200,4,0.0037270933419737045,0.0,0.0,0.0,events/second
1781368230,4,0.0036256774064067493,0.0,0.0,0.0,events/second
1781368260,4,0.003529640989765429,0.0,0.0,0.0,events/second
1781368290,4,0.003438565502194084,0.0,0.0,0.0,events/second
1781368320,4,0.0033520680902151944,0.0,0.0,0.0,events/second
1781368350,4,0.0032698346044780615,0.0,0.0,0.0,events/second
1781368380,4,0.0031915308806329257,0.0,0.0,0.0,events/second
1781368410,4,0.0031168856260974827,0.0,0.0,0.0,events/second
1781368440,4,0.0030456419326687647,0.0,0.0,0.0,events/second
1781368470,4,0.0029776056156053062,0.0,0.0,0.0,events/second
1781368500,4,0.0029125288770293595,0.0,0.0,0.0,events/second
1781368530,4,0.0028502508069575576,0.0,0.0,0.0,events/second
1781368560,4,0.0027905840867435273,0.0,0.0,0.0,events/second
1781368590,4,0.002733126296037301,0.0,0.0,0.0,events/second
1781368621,4,0.0026782105931386522,0.0,0.0,0.0,events/second
1781368651,4,0.0026254511545645634,0.0,0.0,0.0,events/second
1781368681,4,0.0025747208591566676,0.0,0.0,0.0,events/second
1781368711,4,0.002525924205175611,0.0,0.0,0.0,events/second
1781368741,4,0.0024789354523649053,0.0,0.0,0.0,events/second
1781368771,4,0.002433665427957146,0.0,0.0,0.0,events/second
1781368801,4,0.00239002159216729,0.0,0.0,0.0,events/second
1781368831,4,0.0023479223018162973,0.0,0.0,0.0,events/second
1781368861,4,0.002307262561759561,0.0,0.0,0.0,events/second
1781368891,4,0.002267999617730479,0.0,0.0,0.0,events/second
1781368921,4,0.0022300476821720573,0.0,0.0,0.0,events/second
1781368951,4,0.0021933534908634947,0.0,0.0,0.0,events/second
1781368981,4,0.002157832619260549,0.0,0.0,0.0,events/second
1781369011,4,0.0021234535339411617,0.0,0.0,0.0,events/second
1781369041,4,0.0020901465274696528,0.0,0.0,0.0,events/second
1781369071,4,0.002057876520073186,0.0,0.0,0.0,events/second
1781369101,4,0.0020265858284061306,0.0,0.0,0.0,events/second
1781369131,4,0.0019962235065418884,0.0,0.0,0.0,events/second
1781369161,4,0.0019667644196342824,0.0,0.0,0.0,events/second
1781369191,4,0.0019381640484302655,0.0,0.0,0.0,events/second
1781369221,4,0.0019103857033808498,0.0,0.0,0.0,events/second
1781369251,4,0.0018833819042349518,0.0,0.0,0.0,events/second
1781369281,4,0.0018571441765907332,0.0,0.0,0.0,events/second
1781369311,4,0.0018316286124062692,0.0,0.0,0.0,events/second
1781369341,4,0.0018067997304410729,0.0,0.0,0.0,events/second
1781369371,4,0.0017826339352588227,0.0,0.0,0.0,events/second
1781369401,4,0.0017591016844682773,0.0,0.0,0.0,events/second
1781369431,4,0.0017361802150021306,0.0,0.0,0.0,events/second
1781369461,4,0.0017138565966185557,0.0,0.0,0.0,events/second
1781369491,4,0.0016920967942117698,0.0,0.0,0.0,events/second
1781369521,4,0.0016708803930947968,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,4,0.006369950258042593,0.0,0.0,0.0,events/second
1781371890,4,0.006079242805651148,0.0,0.0,0.0,events/second
1781371920,4,0.005814010197788132,0.0,0.0,0.0,events/second
1781371950,4,0.005571003441291695,0.0,0.0,0.0,events/second
1781371980,4,0.005347430152411116,0.0,0.0,0.0,events/second
1781372010,4,0.005141120011212002,0.0,0.0,0.0,events/second
1781372040,4,0.004950202273834947,0.0,0.0,0.0,events/second
1781372070,4,0.004772931809452093,0.0,0.0,0.0,events/second
1781372100,4,0.004607846913317685,0.0,0.0,0.0,events/second
1781372130,4,0.004453815602549431,0.0,0.0,0.0,events/second
1781372160,4,0.004309767359164148,0.0,0.0,0.0,events/second
1781372190,4,0.004174748330609257,0.0,0.0,0.0,events/second
1781372220,4,0.004047901666908987,0.0,0.0,0.0,events/second
1781372250,4,0.003928581101579939,0.0,0.0,0.0,events/second
1781372280,4,0.0038161051189276995,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
