t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,4,0.006420541032495236,0.0,0.0,0.0,events/second
1781367780,4,0.00612544287292699,0.0,0.0,0.0,events/second
1781367810,4,0.005856213722613506,0.0,0.0,0.0,events/second
1781367840,4,0.005609758878359499,0.0,0.0,0.0,events/second
1781367870,4,0.0053831700744668256,0.0,0.0,0.0,events/second
1781367900,4,0.00517415577077422,0.0,0.0,0.0,events/second
1781367930,4,0.004980825603317586,0.0,0.0,0.0,events/second
1781367960,4,0.004801414231210336,0.0,0.0,0.0,events/second
1781367990,4,0.00463440926271955,0.0,0.0,0.0,events/second
1781368020,4,0.004478628497556639,0.0,0.0,0.0,events/second
1781368050,4,0.004332988277725573,0.0,0.0,0.0,events/second
1781368080,4,0.004196559791530311,0.0,0.0,0.0,events/second
1781368110,4,0.0040684562451164235,0.0,0.0,0.0,events/second
1781368140,4,0.003947898930750254,0.0,0.0,0.0,events/second
1781368170,4,0.0038343206478143404,0.0,0.0,0.0,events/second
1781368200,4,0.003727093042617835,0.0,0.0,0.0,events/second
1781368230,4,0.003625677014669799,0.0,0.0,0.0,events/second
1781368260,4,0.003529640624735357,0.0,0.0,0.0,events/second
1781368290,4,0.003438565288184535,0.0,0.0,0.0,events/second
1781368320,4,0.003352067843296191,0.0,0.0,0.0,events/second
1781368350,4,0.0032698340859249543,0.0,0.0,0.0,events/second
1781368380,4,0.003191530700597695,0.0,0.0,0.0,events/second
1781368410,4,0.0031168853720508812,0.0,0.0,0.0,events/second
1781368440,4,0.0030456417334680783,0.0,0.0,0.0,events/second
1781368470,4,0.0029776054571231474,0.0,0.0,0.0,events/second
1781368500,4,0.002912528646084482,0.0,0.0,0.0,events/second
1781368530,4,0.0028502505699419295,0.0,0.0,0.0,events/second
1781368560,4,0.0027905839111385805,0.0,0.0,0.0,events/second
1781368590,4,0.002733125924592628,0.0,0.0,0.0,events/second
1781368621,4,0.0026782104333642745,0.0,0.0,0.0,events/second
1781368651,4,0.0026254510118796,0.0,0.0,0.0,events/second
1781368681,4,0.002574720609236323,0.0,0.0,0.0,events/second
1781368711,4,0.002525923974049515,0.0,0.0,0.0,events/second
1781368741,4,0.0024789352222301464,0.0,0.0,0.0,events/second
1781368771,4,0.0024336652095565924,0.0,0.0,0.0,events/second
1781368801,4,0.0023900214700689525,0.0,0.0,0.0,events/second
1781368831,4,0.002347922150629436,0.0,0.0,0.0,events/second
1781368861,4,0.0023072622282448076,0.0,0.0,0.0,events/second
1781368891,4,0.0022679994981366176,0.0,0.0,0.0,events/second
1781368921,4,0.002230047577363713,0.0,0.0,0.0,events/second
1781368951,4,0.0021933533141868956,0.0,0.0,0.0,events/second
1781368981,4,0.0021578325246224424,0.0,0.0,0.0,events/second
1781369011,4,0.002123453378829684,0.0,0.0,0.0,events/second
1781369041,4,0.002090146437474179,0.0,0.0,0.0,events/second
1781369071,4,0.002057876433152775,0.0,0.0,0.0,events/second
1781369101,4,0.0020265857545819074,0.0,0.0,0.0,events/second
1781369131,4,0.0019962233597976514,0.0,0.0,0.0,events/second
1781369161,4,0.0019667643404336623,0.0,0.0,0.0,events/second
1781369191,4,0.0019381639714224307,0.0,0.0,0.0,events/second
1781369221,4,0.0019103856084919425,0.0,0.0,0.0,events/second
1781369251,4,0.0018833818170643,0.0,0.0,0.0,events/second
1781369281,4,0.0018571440925217403,0.0,0.0,0.0,events/second
1781369311,4,0.0018316285157862092,0.0,0.0,0.0,events/second
1781369341,4,0.001806799673638335,0.0,0.0,0.0,events/second
1781369371,4,0.0017826338454864363,0.0,0.0,0.0,events/second
1781369401,4,0.0017591016206454806,0.0,0.0,0.0,events/second
1781369431,4,0.0017361801079937152,0.0,0.0,0.0,events/second
1781369461,4,0.0017138565225984872,0.0,0.0,0.0,events/second
1781369491,4,0.0016920967441774988,0.0,0.0,0.0,events/second
1781369521,4,0.0016708803417947147,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,4,0.00636994835298746,0.0,0.0,0.0,events/second
1781371890,4,0.006079241199861532,0.0,0.0,0.0,events/second
1781371920,4,0.005814008939482354,0.0,0.0,0.0,events/second
1781371950,4,0.005571002271231749,0.0,0.0,0.0,events/second
1781371980,4,0.005347428856342637,0.0,0.0,0.0,events/second
1781372010,4,0.005141118754412792,0.0,0.0,0.0,events/second
1781372040,4,0.004950201342664025,0.0,0.0,0.0,events/second
1781372070,4,0.004772930777478541,0.0,0.0,0.0,events/second
1781372100,4,0.004607845954150848,0.0,0.0,0.0,events/second
1781372130,4,0.004453814865128654,0.0,0.0,0.0,events/second
1781372160,4,0.004309766311585462,0.0,0.0,0.0,events/second
1781372190,4,0.004174747685753982,0.0,0.0,0.0,events/second
1781372220,4,0.004047900918910689,0.0,0.0,0.0,events/second
1781372250,4,0.003928580543264132,0.0,0.0,0.0,events/second
1781372280,4,0.003816104620520785,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
