t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,4,0.006420541981662944,0.0,0.0,0.0,events/second
1781367780,4,0.006125444255578009,0.0,0.0,0.0,events/second
1781367810,4,0.0058562145525584116,0.0,0.0,0.0,events/second
1781367840,4,0.005609758783164581,0.0,0.0,0.0,events/second
1781367870,4,0.005383170342518151,0.0,0.0,0.0,events/second
1781367900,4,0.005174156349716361,0.0,0.0,0.0,events/second
1781367930,4,0.004980826467278056,0.0,0.0,0.0,events/second
1781367960,4,0.0048014147366601,0.0,0.0,0.0,events/second
1781367990,4,0.004634407999828241,0.0,0.0,0.0,events/second
1781368020,4,0.004478629177025328,0.0,0.0,0.0,events/second
1781368050,4,0.004332987822906396,0.0,0.0,0.0,events/second
1781368080,4,0.0041965604501860805,0.0,0.0,0.0,events/second
1781368110,4,0.004068456833138253,0.0,0.0,0.0,events/second
1781368140,4,0.00394789917428005,0.0,0.0,0.0,events/second
1781368170,4,0.003834320769473517,0.0,0.0,0.0,events/second
1781368200,4,0.003727093408998865,0.0,0.0,0.0,events/second
1781368230,4,0.0036256768999750203,0.0,0.0,0.0,events/second
1781368260,4,0.0035296407041574226,0.0,0.0,0.0,events/second
1781368290,4,0.0034385657182728125,0.0,0.0,0.0,events/second
1781368320,4,0.003352068125890639,0.0,0.0,0.0,events/second
1781368350,4,0.003269832827231524,0.0,0.0,0.0,events/second
1781368380,4,0.0031915310336756205,0.0,0.0,0.0,events/second
1781368410,4,0.0031168855680505027,0.0,0.0,0.0,events/second
1781368440,4,0.0030456419778889477,0.0,0.0,0.0,events/second
1781368470,4,0.0029776057840618844,0.0,0.0,0.0,events/second
1781368500,4,0.0029125287347299862,0.0,0.0,0.0,events/second
1781368530,4,0.0028502505770503666,0.0,0.0,0.0,events/second
1781368560,4,0.002790584105627874,0.0,0.0,0.0,events/second
1781368590,4,0.0027331260444857695,0.0,0.0,0.0,events/second
1781368621,4,0.0026782106150157288,0.0,0.0,0.0,events/second
1781368651,4,0.0026254512085022406,0.0,0.0,0.0,events/second
1781368681,4,0.0025747204735037423,0.0,0.0,0.0,events/second
1781368711,4,0.0025259238510693944,0.0,0.0,0.0,events/second
1781368741,4,0.0024789350773589546,0.0,0.0,0.0,events/second
1781368771,4,0.0024336650776278696,0.0,0.0,0.0,events/second
1781368801,4,0.0023900216278685605,0.0,0.0,0.0,events/second
1781368831,4,0.002347922133815584,0.0,0.0,0.0,events/second
1781368861,4,0.002307261910567436,0.0,0.0,0.0,events/second
1781368891,4,0.0022679996498793683,0.0,0.0,0.0,events/second
1781368921,4,0.0022300477178541413,0.0,0.0,0.0,events/second
1781368951,4,0.002193353219654704,0.0,0.0,0.0,events/second
1781368981,4,0.0021578326619815665,0.0,0.0,0.0,events/second
1781369011,4,0.0021234533199865273,0.0,0.0,0.0,events/second
1781369041,4,0.0020901464042719672,0.0,0.0,0.0,events/second
1781369071,4,0.0020578765577634033,0.0,0.0,0.0,events/second
1781369101,4,0.0020265859029490936,0.0,0.0,0.0,events/second
1781369131,4,0.001996223282490445,0.0,0.0,0.0,events/second
1781369161,4,0.0019667644370410125,0.0,0.0,0.0,events/second
1781369191,4,0.001938164073974329,0.0,0.0,0.0,events/second
1781369221,4,0.0019103856549327627,0.0,0.0,0.0,events/second
1781369251,4,0.0018833818772767837,0.0,0.0,0.0,events/second
1781369281,4,0.0018571440872620392,0.0,0.0,0.0,events/second
1781369311,4,0.001831628541954141,0.0,0.0,0.0,events/second
1781369341,4,0.0018067997997306244,0.0,0.0,0.0,events/second
1781369371,4,0.0017826338906904067,0.0,0.0,0.0,events/second
1781369401,4,0.0017591017086822608,0.0,0.0,0.0,events/second
1781369431,4,0.0017361800206537581,0.0,0.0,0.0,events/second
1781369461,4,0.0017138565700359509,0.0,0.0,0.0,events/second
1781369491,4,0.0016920968540524756,0.0,0.0,0.0,events/second
1781369521,4,0.0016708804410446722,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,4,0.006369948475730594,0.0,0.0,0.0,events/second
1781371890,4,0.006079242334446971,0.0,0.0,0.0,events/second
1781371920,4,0.005814010562012404,0.0,0.0,0.0,events/second
1781371950,4,0.00557100373846217,0.0,0.0,0.0,events/second
1781371980,4,0.0053474299379485555,0.0,0.0,0.0,events/second
1781372010,4,0.005141119030617823,0.0,0.0,0.0,events/second
1781372040,4,0.004950202502952056,0.0,0.0,0.0,events/second
1781372070,4,0.004772931358960272,0.0,0.0,0.0,events/second
1781372100,4,0.004607846491326692,0.0,0.0,0.0,events/second
1781372130,4,0.004453815801905998,0.0,0.0,0.0,events/second
1781372160,4,0.004309766116557571,0.0,0.0,0.0,events/second
1781372190,4,0.004174748532780141,0.0,0.0,0.0,events/second
1781372220,4,0.004047901299873643,0.0,0.0,0.0,events/second
1781372250,4,0.003928580863900212,0.0,0.0,0.0,events/second
1781372280,4,0.003816105469159663,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
