t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,4,0.006420541376710203,0.0,0.0,0.0,events/second
1781367780,4,0.006125443873801173,0.0,0.0,0.0,events/second
1781367810,4,0.0058562140501330585,0.0,0.0,0.0,events/second
1781367840,4,0.0056097581128665775,0.0,0.0,0.0,events/second
1781367870,4,0.0053831697796104016,0.0,0.0,0.0,events/second
1781367900,4,0.005174155972232684,0.0,0.0,0.0,events/second
1781367930,4,0.0049808262167108834,0.0,0.0,0.0,events/second
1781367960,4,0.004801414390856374,0.0,0.0,0.0,events/second
1781367990,4,0.004634407258309472,0.0,0.0,0.0,events/second
1781368020,4,0.004478628952374403,0.0,0.0,0.0,events/second
1781368050,4,0.0043329872376026,0.0,0.0,0.0,events/second
1781368080,4,0.004196560274955448,0.0,0.0,0.0,events/second
1781368110,4,0.004068456653545361,0.0,0.0,0.0,events/second
1781368140,4,0.003947898897630205,0.0,0.0,0.0,events/second
1781368170,4,0.003834320478006076,0.0,0.0,0.0,events/second
1781368200,4,0.003727093219730931,0.0,0.0,0.0,events/second
1781368230,4,0.003625676609787403,0.0,0.0,0.0,events/second
1781368260,4,0.003529640454678711,0.0,0.0,0.0,events/second
1781368290,4,0.0034385655956015748,0.0,0.0,0.0,events/second
1781368320,4,0.0033520679713906864,0.0,0.0,0.0,events/second
1781368350,4,0.003269832651885903,0.0,0.0,0.0,events/second
1781368380,4,0.0031915309338540945,0.0,0.0,0.0,events/second
1781368410,4,0.003116885414068146,0.0,0.0,0.0,events/second
1781368440,4,0.0030456418422284033,0.0,0.0,0.0,events/second
1781368470,4,0.0029776056920757243,0.0,0.0,0.0,events/second
1781368500,4,0.0029125285735563462,0.0,0.0,0.0,events/second
1781368530,4,0.002850250400761132,0.0,0.0,0.0,events/second
1781368560,4,0.0027905839944633195,0.0,0.0,0.0,events/second
1781368590,4,0.002733125918056398,0.0,0.0,0.0,events/second
1781368621,4,0.0026782105131618007,0.0,0.0,0.0,events/second
1781368651,4,0.0026254511183763465,0.0,0.0,0.0,events/second
1781368681,4,0.0025747202799315397,0.0,0.0,0.0,events/second
1781368711,4,0.002525923674654352,0.0,0.0,0.0,events/second
1781368741,4,0.0024789349011476764,0.0,0.0,0.0,events/second
1781368771,4,0.002433664910014744,0.0,0.0,0.0,events/second
1781368801,4,0.002390021551325038,0.0,0.0,0.0,events/second
1781368831,4,0.002347922034586298,0.0,0.0,0.0,events/second
1781368861,4,0.0023072616875145875,0.0,0.0,0.0,events/second
1781368891,4,0.002267999585324399,0.0,0.0,0.0,events/second
1781368921,4,0.00223004764959817,0.0,0.0,0.0,events/second
1781368951,4,0.002193353080261831,0.0,0.0,0.0,events/second
1781368981,4,0.002157832602614485,0.0,0.0,0.0,events/second
1781369011,4,0.0021234532048929303,0.0,0.0,0.0,events/second
1781369041,4,0.0020901463436560903,0.0,0.0,0.0,events/second
1781369071,4,0.0020578765048277054,0.0,0.0,0.0,events/second
1781369101,4,0.0020265858606464747,0.0,0.0,0.0,events/second
1781369131,4,0.0019962231700164403,0.0,0.0,0.0,events/second
1781369161,4,0.0019667643873351273,0.0,0.0,0.0,events/second
1781369191,4,0.0019381640267365943,0.0,0.0,0.0,events/second
1781369221,4,0.0019103855889667262,0.0,0.0,0.0,events/second
1781369251,4,0.0018833818174190126,0.0,0.0,0.0,events/second
1781369281,4,0.0018571439808608842,0.0,0.0,0.0,events/second
1781369311,4,0.0018316284763665693,0.0,0.0,0.0,events/second
1781369341,4,0.0018067997683095668,0.0,0.0,0.0,events/second
1781369371,4,0.0017826338342847498,0.0,0.0,0.0,events/second
1781369401,4,0.001759101668454557,0.0,0.0,0.0,events/second
1781369431,4,0.0017361799332384516,0.0,0.0,0.0,events/second
1781369461,4,0.0017138565201017786,0.0,0.0,0.0,events/second
1781369491,4,0.0016920968257784573,0.0,0.0,0.0,events/second
1781369521,4,0.0016708804115209495,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,4,0.006369947526246636,0.0,0.0,0.0,events/second
1781371890,4,0.006079241618401551,0.0,0.0,0.0,events/second
1781371920,4,0.005814010084549039,0.0,0.0,0.0,events/second
1781371950,4,0.005571003151880269,0.0,0.0,0.0,events/second
1781371980,4,0.005347429460411982,0.0,0.0,0.0,events/second
1781372010,4,0.005141118147158294,0.0,0.0,0.0,events/second
1781372040,4,0.00495020215192505,0.0,0.0,0.0,events/second
1781372070,4,0.00477293083727832,0.0,0.0,0.0,events/second
1781372100,4,0.004607846018378387,0.0,0.0,0.0,events/second
1781372130,4,0.004453815523699451,0.0,0.0,0.0,events/second
1781372160,4,0.0043097654817883455,0.0,0.0,0.0,events/second
1781372190,4,0.0041747478957676375,0.0,0.0,0.0,events/second
1781372220,4,0.0040479009299709025,0.0,0.0,0.0,events/second
1781372250,4,0.003928580657859693,0.0,0.0,0.0,events/second
1781372280,4,0.003816105307150067,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
1781373780,0,0.0,0.0,0.0,0.0,events/second
