t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,2,0.003210267637829984,0.0,0.0,0.0,events/second
1781367780,2,0.0030627193310650024,0.0,0.0,0.0,events/second
1781367810,2,0.0029281044987953713,0.0,0.0,0.0,events/second
1781367840,2,0.002804876542031595,0.0,0.0,0.0,events/second
1781367870,2,0.002691582726198423,0.0,0.0,0.0,events/second
1781367900,2,0.002587075909623289,0.0,0.0,0.0,events/second
1781367930,2,0.0024904113863276163,0.0,0.0,0.0,events/second
1781367960,2,0.0024007054926343304,0.0,0.0,0.0,events/second
1781367990,2,0.0023172016110552286,0.0,0.0,0.0,events/second
1781368020,2,0.002239313057828481,0.0,0.0,0.0,events/second
1781368050,2,0.0021664919253176116,0.0,0.0,0.0,events/second
1781368080,2,0.002098278917468224,0.0,0.0,0.0,events/second
1781368110,2,0.0020342271759719245,0.0,0.0,0.0,events/second
1781368140,2,0.00197394825181827,0.0,0.0,0.0,events/second
1781368170,2,0.0019171590889387198,0.0,0.0,0.0,events/second
1781368200,2,0.0018635455978903562,0.0,0.0,0.0,events/second
1781368230,2,0.0018128372369842658,0.0,0.0,0.0,events/second
1781368260,2,0.0017648192411048454,0.0,0.0,0.0,events/second
1781368290,2,0.001719281973243578,0.0,0.0,0.0,events/second
1781368320,2,0.0016760331640369441,0.0,0.0,0.0,events/second
1781368350,2,0.0016349153977611075,0.0,0.0,0.0,events/second
1781368380,2,0.001595764762065175,0.0,0.0,0.0,events/second
1781368410,2,0.0015584419775612527,0.0,0.0,0.0,events/second
1781368440,2,0.0015228202447829474,0.0,0.0,0.0,events/second
1781368470,2,0.001488802225630278,0.0,0.0,0.0,events/second
1781368500,2,0.0014562635651023904,0.0,0.0,0.0,events/second
1781368530,2,0.0014251245443737347,0.0,0.0,0.0,events/second
1781368560,2,0.0013952914249583477,0.0,0.0,0.0,events/second
1781368590,2,0.0013665623967258902,0.0,0.0,0.0,events/second
1781368621,2,0.0013391046806940407,0.0,0.0,0.0,events/second
1781368651,2,0.0013127250612557388,0.0,0.0,0.0,events/second
1781368681,2,0.0012873595556862844,0.0,0.0,0.0,events/second
1781368711,2,0.001262961285033529,0.0,0.0,0.0,events/second
1781368741,2,0.0012394669096500409,0.0,0.0,0.0,events/second
1781368771,2,0.0012168319355846204,0.0,0.0,0.0,events/second
1781368801,2,0.0011950103628131886,0.0,0.0,0.0,events/second
1781368831,2,0.0011739605805466528,0.0,0.0,0.0,events/second
1781368861,2,0.0011536303053564635,0.0,0.0,0.0,events/second
1781368891,2,0.0011339994236573803,0.0,0.0,0.0,events/second
1781368921,2,0.0011150234562294053,0.0,0.0,0.0,events/second
1781368951,2,0.0010966761150971002,0.0,0.0,0.0,events/second
1781368981,2,0.0010789159667563917,0.0,0.0,0.0,events/second
1781369011,2,0.0010617262210934012,0.0,0.0,0.0,events/second
1781369041,2,0.0010450728553695846,0.0,0.0,0.0,events/second
1781369071,2,0.0010289379478748816,0.0,0.0,0.0,events/second
1781369101,2,0.0010132926443699444,0.0,0.0,0.0,events/second
1781369131,2,9.981112116723904E-4,0.0,0.0,0.0,events/second
1781369161,2,9.833819149182076E-4,0.0,0.0,0.0,events/second
1781369191,2,9.690817431835632E-4,0.0,0.0,0.0,events/second
1781369221,2,9.551925111397157E-4,0.0,0.0,0.0,events/second
1781369251,2,9.416906393052825E-4,0.0,0.0,0.0,events/second
1781369281,2,9.285717093383502E-4,0.0,0.0,0.0,events/second
1781369311,2,9.15813973736295E-4,0.0,0.0,0.0,events/second
1781369341,2,9.033996587393605E-4,0.0,0.0,0.0,events/second
1781369371,2,8.913166725722881E-4,0.0,0.0,0.0,events/second
1781369401,2,8.795505946017485E-4,0.0,0.0,0.0,events/second
1781369431,2,8.680896950666893E-4,0.0,0.0,0.0,events/second
1781369461,2,8.569279979700048E-4,0.0,0.0,0.0,events/second
1781369491,2,8.460482150427308E-4,0.0,0.0,0.0,events/second
1781369521,2,8.35440009877952E-4,0.0,0.0,0.0,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
1781371350,0,0.0,0.0,0.0,0.0,events/second
1781371380,0,0.0,0.0,0.0,0.0,events/second
1781371410,0,0.0,0.0,0.0,0.0,events/second
1781371440,0,0.0,0.0,0.0,0.0,events/second
1781371470,0,0.0,0.0,0.0,0.0,events/second
1781371500,0,0.0,0.0,0.0,0.0,events/second
1781371530,0,0.0,0.0,0.0,0.0,events/second
1781371560,0,0.0,0.0,0.0,0.0,events/second
1781371590,0,0.0,0.0,0.0,0.0,events/second
1781371620,0,0.0,0.0,0.0,0.0,events/second
1781371650,0,0.0,0.0,0.0,0.0,events/second
1781371680,0,0.0,0.0,0.0,0.0,events/second
1781371710,0,0.0,0.0,0.0,0.0,events/second
1781371740,0,0.0,0.0,0.0,0.0,events/second
1781371770,0,0.0,0.0,0.0,0.0,events/second
1781371800,0,0.0,0.0,0.0,0.0,events/second
1781371830,0,0.0,0.0,0.0,0.0,events/second
1781371860,2,0.003184969419950863,0.0,0.0,0.0,events/second
1781371890,2,0.003039616756389575,0.0,0.0,0.0,events/second
1781371920,2,0.002907001502289684,0.0,0.0,0.0,events/second
1781371950,2,0.0027854983388811575,0.0,0.0,0.0,events/second
1781371980,2,0.002673711737027525,0.0,0.0,0.0,events/second
1781372010,2,0.0025705558532845463,0.0,0.0,0.0,events/second
1781372040,2,0.002475098514938478,0.0,0.0,0.0,events/second
1781372070,2,0.0023864628711712287,0.0,0.0,0.0,events/second
1781372100,2,0.0023039204491141062,0.0,0.0,0.0,events/second
1781372130,2,0.0022269056733190628,0.0,0.0,0.0,events/second
1781372160,2,0.0021548804467657434,0.0,0.0,0.0,events/second
1781372190,2,0.0020873721279122052,0.0,0.0,0.0,events/second
1781372220,2,0.0020239486275578956,0.0,0.0,0.0,events/second
1781372250,2,0.001964288743306648,0.0,0.0,0.0,events/second
1781372280,2,0.0019080511903929208,0.0,0.0,0.0,events/second
1781372580,0,0.0,0.0,0.0,0.0,events/second
1781372611,0,0.0,0.0,0.0,0.0,events/second
1781372641,0,0.0,0.0,0.0,0.0,events/second
1781372671,0,0.0,0.0,0.0,0.0,events/second
1781372701,0,0.0,0.0,0.0,0.0,events/second
1781372731,0,0.0,0.0,0.0,0.0,events/second
1781372761,0,0.0,0.0,0.0,0.0,events/second
1781372791,0,0.0,0.0,0.0,0.0,events/second
1781372821,0,0.0,0.0,0.0,0.0,events/second
1781372851,0,0.0,0.0,0.0,0.0,events/second
1781372881,0,0.0,0.0,0.0,0.0,events/second
