t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781367150,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367180,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367210,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367240,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367270,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367300,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367330,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367360,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367390,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367420,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367450,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367480,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367510,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367540,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367570,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367600,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367630,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367660,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367690,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367720,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781367750,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367780,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367810,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367840,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367870,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367900,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367930,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367960,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781367990,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368020,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368050,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368080,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368110,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368140,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368170,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368200,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368230,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368260,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368290,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368320,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368350,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368380,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368410,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368440,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368470,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368500,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368530,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368560,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368590,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368621,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368651,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368681,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368711,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368741,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368771,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368801,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368831,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368861,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368891,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368921,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368951,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781368981,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369011,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369041,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369071,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369101,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369131,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369161,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369191,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369221,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369251,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369281,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369311,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369341,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369371,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369401,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369431,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369461,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369491,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781369521,2,3974,2098.0,222,2653.0646430119264,2098.0,3974.0,3974.0,3974.0,3974.0,3974.0
1781371260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371440,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371470,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371500,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371530,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371560,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371590,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371620,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371650,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371680,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371710,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371740,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371770,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371800,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371830,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371860,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781371890,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781371920,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781371950,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781371980,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372010,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372040,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372070,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372100,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372130,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372160,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372190,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372220,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372250,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372280,2,458,260.5,63,279.30717856868625,260.5,458.0,458.0,458.0,458.0,458.0
1781372580,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372611,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372641,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372671,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372701,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372731,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372761,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372791,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372821,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372851,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372881,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373780,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373810,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373840,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373870,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373900,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373930,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373960,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373990,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374020,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374050,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374080,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374110,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374200,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379210,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379240,28,2273,615.0357142857143,8,692.1014420478086,224.0,947.5,2260.85,2273.0,2273.0,2273.0
1781379270,29,2273,594.2758620689655,8,688.7635866718878,224.0,942.0,2259.5,2273.0,2273.0,2273.0
1781379300,30,2273,574.8666666666667,8,685.0827150328503,215.5,936.5,2258.15,2273.0,2273.0,2273.0
1781379330,31,2273,556.6451612903226,8,681.1654986558992,207.0,931.0,2256.8,2273.0,2273.0,2273.0
1781379360,32,2273,540.375,8,676.3801541317026,202.5,931.0,2255.45,2273.0,2273.0,2273.0
1781381160,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381191,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381221,28,2503,694.9642857142857,13,785.2752045145681,311.5,1026.25,2492.65,2503.0,2503.0,2503.0
1781381251,29,2503,671.5862068965517,13,781.3342305332307,300.0,1021.5,2491.5,2503.0,2503.0,2503.0
1781381281,30,2503,649.7,13,777.0471139135511,299.0,1016.75,2490.35,2503.0,2503.0,2503.0
1781381311,31,2503,629.1290322580645,12,772.5241632439072,298.0,1012.0,2489.2,2503.0,2503.0,2503.0
1781381341,32,2503,609.6875,7,767.878452978326,252.5,1011.75,2488.0499999999997,2503.0,2503.0,2503.0
1781381371,33,2503,591.4848484848485,7,762.9844412409453,207.0,1011.5,2486.9,2503.0,2503.0,2503.0
1781381401,34,2503,574.4117647058823,7,757.901813327608,206.5,1011.25,2485.75,2503.0,2503.0,2503.0
1781381431,35,2503,558.2857142857143,7,752.743201716955,206.0,1011.0,2484.6,2503.0,2503.0,2503.0
1781381461,36,2503,543.0833333333334,7,747.4979359742167,204.0,915.5,2483.45,2503.0,2503.0,2503.0
1781381491,37,2503,529.7837837837837,7,741.4693046443189,202.0,820.0,2482.3,2503.0,2503.0,2503.0
1781381521,38,2503,516.1052631578947,7,736.225354361002,202.0,724.5,2481.15,2503.0,2503.0,2503.0
1781381551,39,2503,503.15384615384613,7,730.9621827089328,202.0,629.0,2480.0,2503.0,2503.0,2503.0
1781381581,40,2503,490.775,7,725.7651130765203,202.0,583.0,2464.199999999999,2503.0,2503.0,2503.0
1781381611,41,2503,479.0487804878049,7,720.5583234971168,202.0,537.0,2448.3999999999996,2503.0,2503.0,2503.0
1781381641,42,2503,467.9047619047619,7,715.3717372218415,200.0,491.0,2432.6000000000004,2503.0,2503.0,2503.0
1781381671,43,2503,457.3488372093023,7,710.1854849504671,198.0,445.0,2416.7999999999993,2503.0,2503.0,2503.0
1781381701,44,2503,447.1363636363636,7,705.1404145475777,189.5,445.0,2401.0,2503.0,2503.0,2503.0
