t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,0,0.0,0.0,0.0,0.0,events/second
1781367180,0,0.0,0.0,0.0,0.0,events/second
1781367210,0,0.0,0.0,0.0,0.0,events/second
1781367240,0,0.0,0.0,0.0,0.0,events/second
1781367270,0,0.0,0.0,0.0,0.0,events/second
1781367300,0,0.0,0.0,0.0,0.0,events/second
1781367330,0,0.0,0.0,0.0,0.0,events/second
1781367360,0,0.0,0.0,0.0,0.0,events/second
1781367390,0,0.0,0.0,0.0,0.0,events/second
1781367420,0,0.0,0.0,0.0,0.0,events/second
1781367450,0,0.0,0.0,0.0,0.0,events/second
1781367480,0,0.0,0.0,0.0,0.0,events/second
1781367510,0,0.0,0.0,0.0,0.0,events/second
1781367540,0,0.0,0.0,0.0,0.0,events/second
1781367570,0,0.0,0.0,0.0,0.0,events/second
1781367600,0,0.0,0.0,0.0,0.0,events/second
1781367630,0,0.0,0.0,0.0,0.0,events/second
1781367660,0,0.0,0.0,0.0,0.0,events/second
1781367690,0,0.0,0.0,0.0,0.0,events/second
1781367720,0,0.0,0.0,0.0,0.0,events/second
1781367750,2,0.003207412097911416,0.027072376727683665,0.006394670392516757,0.002191574188921952,events/second
1781367780,2,0.003060122930006754,0.01642022651663092,0.005786137047155858,0.002119725840926105,events/second
1781367810,2,0.0029257310129510664,0.009959370821763031,0.005235513306150717,0.0020502329619514876,events/second
1781367840,2,0.002802698133277595,0.006040663754846687,0.004737288342030325,0.0019830183305383896,events/second
1781367870,2,0.002689577031056479,0.003663847772329355,0.004286475751894571,0.0019180072568476785,events/second
1781367900,2,0.0025852228905174197,0.002222236006437587,0.0038785636518180316,0.0018551274996644008,events/second
1781367930,2,0.00248869440261993,0.0013478542710217579,0.0035094695203991503,0.001794309186122335,events/second
1781367960,2,0.0023991097572562624,8.175149401993177E-4,0.003175499339513865,0.0017354847340602863,events/second
1781367990,2,0.0023157142001509617,4.958478760040265E-4,0.0028733106233406205,0.0016785887769238408,events/second
1781368020,2,0.002237924714727286,3.0074693934983024E-4,0.00259987896563882,0.0016235580911291368,events/second
1781368050,2,0.002165191791444442,1.8241223953040797E-4,0.0023524677704746316,0.0015703315258079327,events/second
1781368080,2,0.0020970599320516365,1.1063861598203729E-4,0.002128600863449076,0.001518849934855907,events/second
1781368110,2,0.002033081447624852,6.710571274127781E-5,0.001926037709312376,0.0014690561112086788,events/second
1781368140,2,0.0019728692046943807,4.0701672219453714E-5,0.0017427509879341045,0.001420894723272518,events/second
1781368170,2,0.0019161411981482046,2.4686812102672636E-5,0.001576906304201913,0.0013743122534391036,events/second
1781368200,2,0.001862583840570232,1.4973308430835861E-5,0.0014268438287786864,0.001329256938616008,events/second
1781368230,2,0.0018119270215600177,9.081770640635615E-6,0.0012910616859726496,0.0012856787127068243,events/second
1781368260,2,0.0017639566312938216,5.508372338023548E-6,0.0011682009224606449,0.0012435291509770195,events/second
1781368290,2,0.0017184634849061714,3.3409967081242447E-6,0.001057031906426516,0.001202761416243692,events/second
1781368320,2,0.0016752551469709884,2.026416937476336E-6,9.564420209925969E-4,0.001163330206829438,events/second
1781368350,2,0.001634175120726162,1.229084001940377E-6,8.654245287760367E-4,0.001125191706222494,events/second
1781368380,2,0.0015950596299747844,7.454771305391406E-7,7.830684961226959E-4,0.0010883035343872154,events/second
1781368410,2,0.0015577693065365536,4.5215473578658604E-7,7.08549676176962E-4,0.0010526247006707866,events/second
1781368440,2,0.0015221780435245593,2.7424571018882965E-7,6.411222595421776E-4,0.0010181155582538368,events/second
1781368470,2,0.0014881884347886837,1.6633843152419057E-7,5.801114099695244E-4,9.847377600943363E-4,events/second
1781368500,2,0.0014556759805757439,1.0088935860793204E-7,5.249065103700245E-4,9.524542163158289E-4,events/second
1781368530,2,0.001424561977821683,6.119248923445349E-8,4.749550515534786E-4,9.212290529926406E-4,events/second
1781368560,2,0.001394752243776203,3.711512086483132E-8,4.297571025307857E-4,8.910275722862729E-4,events/second
1781368590,2,0.0013660449966210087,2.251145874346027E-8,3.8886030703657123E-4,8.618162138886774E-4,events/second
1781368621,2,0.001338608049996092,1.3653889922764691E-8,3.5185535619564165E-4,8.335625177295727E-4,events/second
1781368651,2,0.0013122478180046294,8.281502862498149E-9,3.1837189202218725E-4,8.062350879063602E-4,events/second
1781368681,2,0.0012869003565822526,5.022985394603065E-9,2.880748007525792E-4,7.798035577965568E-4,events/second
1781368711,2,0.0012625193781661114,3.0465946451155197E-9,2.6066085891418724E-4,7.542385563139802E-4,events/second
1781368741,2,0.0012390412831091244,1.8478530599788928E-9,2.3585569856294868E-4,7.295116752711856E-4,events/second
1781368771,2,0.0012164216891296568,1.1207795355210066E-9,2.1341106131676608E-4,7.055954378118914E-4,events/second
1781368801,2,0.0011946148592058045,6.797871510719753E-10,1.9310231370217644E-4,6.824632678783111E-4,events/second
1781368831,2,0.0011735787975724527,4.123117492038569E-10,1.7472619894704725E-4,6.600894606794666E-4,events/second
1781368861,2,0.0011532614062896287,2.500797172518853E-10,1.5809880271848363E-4,6.384491541276641E-4,events/second
1781368891,2,0.0011336432710597692,1.5168101588553486E-10,1.430537124463693E-4,6.175183012113944E-4,events/second
1781368921,2,0.0011146791180919608,9.199918663093592E-11,1.294403518104314E-4,5.972736432739575E-4,events/second
1781368951,2,0.001096342899667887,5.5800327360287264E-11,1.17122473721817E-4,5.776926841681177E-4,events/second
1781368981,2,0.0010785935681928748,3.384460936601596E-11,1.0597679671643343E-4,5.587536652580698E-4,events/second
1781369011,2,0.0010614139156672263,2.0527793246486037E-11,9.589177111261939E-5,5.404355412409383E-4,events/second
1781369041,2,0.00104477034912855,1.2450735980235721E-11,8.676646258443774E-5,5.227179567609426E-4,events/second
1781369071,2,0.0010286447124595055,7.551753108000195E-12,7.850954197701636E-5,5.055812237902405E-4,events/second
1781369101,2,0.0010130082808353813,4.580369794582288E-12,7.103837125366927E-5,4.890062997513166E-4,events/second
1781369131,2,9.978351888246223E-4,2.7781347132358154E-12,6.427817642665002E-5,4.7297476635660337E-4,events/second
1781369161,2,9.831140753579584E-4,1.6850238803894876E-12,5.816129919394988E-5,4.574688091418217E-4,events/second
1781369191,2,9.688216362718553E-4,1.0220186458041778E-12,5.262651979227055E-5,4.424711976702996E-4,events/second
1781369221,2,9.549397632243263E-4,6.198856434782205E-13,4.7618444289056415E-5,4.2796526638626996E-4,events/second
1781369251,2,9.41444999144706E-4,3.7597964828523543E-13,4.308695018139898E-5,4.139348960958708E-4,events/second
1781369281,2,9.283328413882543E-4,2.280431841129678E-13,3.898668475318108E-5,4.0036449605527244E-4,events/second
1781369311,2,9.155816345164968E-4,1.383151829030079E-13,3.5276611169850276E-5,3.8723898664602403E-4,events/second
1781369341,2,9.031736143966883E-4,8.389239913443494E-14,3.191959776798582E-5,3.7454378261837085E-4,events/second
1781369371,2,8.910966069506515E-4,5.0883312191884385E-14,2.888204642913066E-5,3.622647768839207E-4,events/second
1781369401,2,8.793362249290629E-4,3.086228891210753E-14,2.6133556318529294E-5,3.503883248396497E-4,events/second
1781369431,2,8.678808921528979E-4,1.8718924454102475E-14,2.3646619623355385E-5,3.389012292058283E-4,events/second
1781369461,2,8.567245412403309E-4,1.1353601598257722E-14,2.1396346245275337E-5,3.277907253610197E-4,events/second
1781369491,2,8.458499669308167E-4,6.886307467505666E-15,1.9360214691978335E-5,3.1704446715785363E-4,events/second
1781369521,2,8.352466981985451E-4,4.176756611250247E-15,1.7517846674511526E-5,3.066505132038145E-4,events/second
1781371260,0,0.0,0.0,0.0,0.0,events/second
1781371290,0,0.0,0.0,0.0,0.0,events/second
1781371320,0,0.0,0.0,0.0,0.0,events/second
