t,value
1781367150,61
1781367180,61
1781367210,61
1781367240,61
1781367270,61
1781367300,61
1781367330,61
1781367360,61
1781367390,61
1781367420,61
1781367450,61
1781367480,61
1781367510,61
1781367540,61
1781367570,61
1781367600,61
1781367630,61
1781367660,61
1781367690,61
1781367720,61
1781367750,61
1781367780,61
1781367810,61
1781367840,61
1781367870,61
1781367900,61
1781367930,61
1781367960,61
1781367990,61
1781368020,61
1781368050,61
1781368080,61
1781368110,61
1781368140,61
1781368170,61
1781368200,61
1781368230,61
1781368260,61
1781368290,61
1781368320,61
1781368350,61
1781368380,61
1781368410,61
1781368440,61
1781368470,61
1781368500,61
1781368530,61
1781368560,61
1781368590,61
1781368621,61
1781368651,61
1781368681,61
1781368711,61
1781368741,61
1781368771,61
1781368801,61
1781368831,61
1781368861,61
1781368891,61
1781368921,61
1781368951,61
1781368981,61
1781369011,61
1781369041,61
1781369071,61
1781369101,61
1781369131,61
1781369161,61
1781369191,61
1781369221,61
1781369251,61
1781369281,61
1781369311,61
1781369341,61
1781369371,61
1781369401,61
1781369431,61
1781369461,61
1781369491,61
1781369521,61
1781371260,61
1781371290,61
1781371320,61
1781371350,61
1781371380,61
1781371410,61
1781371440,61
1781371470,61
1781371500,61
1781371530,61
1781371560,61
1781371590,61
1781371620,61
1781371650,61
1781371680,61
1781371710,61
1781371740,61
1781371770,61
1781371800,61
1781371830,61
1781371860,61
1781371890,61
1781371920,61
1781371950,61
1781371980,61
1781372010,61
1781372040,61
1781372070,61
1781372100,61
1781372130,61
1781372160,61
1781372190,61
1781372220,61
1781372250,61
1781372280,61
1781372580,61
1781372611,61
1781372641,61
1781372671,61
1781372701,61
1781372731,61
1781372761,61
1781372791,61
1781372821,61
1781372851,61
1781372881,61
1781373780,61
1781373810,61
1781373840,61
1781373870,61
1781373900,61
1781373930,61
1781373960,61
1781373990,61
1781374020,61
1781374050,61
1781374080,61
1781374110,61
1781374200,61
1781379210,61
1781379240,61
1781379270,61
1781379300,61
1781379330,61
1781379360,61
1781381160,61
1781381191,61
1781381221,61
1781381251,61
1781381281,61
1781381311,61
1781381341,61
1781381371,61
1781381401,61
1781381431,61
1781381461,61
1781381491,61
1781381521,61
1781381551,61
1781381581,61
1781381611,61
1781381641,61
1781381671,61
1781381701,61
1781381731,61
1781381761,61
1781381791,61
1781381821,61
1781381851,61
1781381882,61
1781381912,61
1781381942,61
1781381972,61
1781382002,61
1781382032,61
1781382062,61
1781382092,61
1781382122,61
1781382152,61
1781382182,61
1781382510,61
1781382541,61
1781382571,61
1781382601,61
1781382631,61
1781382661,61
1781382691,61
1781382721,61
1781382751,61
1781382781,61
1781382811,61
1781382841,61
1781382871,61
1781382901,61
1781382931,61
1781382961,61
1781382991,61
1781383021,61
1781383051,61
1781383081,61
1781383111,61
1781383141,61
1781383171,61
1781383201,61
1781383231,61
1781383261,61
1781383291,61
1781383321,61
1781383351,61
1781383381,61
1781383411,61
1781383441,61
1781383471,61
1781383501,61
1781398740,61
1781398772,61
1781398802,61
1781398832,61
1781398862,61
1781398892,61
1781398922,61
1781398952,61
1781398982,61
1781399012,61
1781399042,61
1781399072,61
1781399102,61
1781399132,61
1781399162,61
1781399192,61
1781399222,61
1781399252,61
1781399282,61
1781399312,61
1781399342,61
1781399372,61
1781399670,61
1781399702,61
1781399732,61
1781399762,61
1781399792,61
1781399822,61
1781399852,61
1781399882,61
1781399912,61
1781399942,61
1781399972,61
1781400002,61
1781400032,61
1781400062,61
1781400092,61
1781400122,61
1781400152,61
1781400182,61
1781400212,61
1781400242,61
1781400272,61
1781400302,61
1781400332,61
1781400362,61
1781400392,61
1781400422,61
1781400452,61
1781400482,61
1781400512,61
1781400542,61
1781400572,61
1781400602,61
1781400632,61
1781400662,61
1781400693,61
1781400723,61
1781400753,61
1781400783,61
1781400813,61
1781400843,61
1781400873,61
1781400903,61
1781400933,61
1781400963,61
1781400993,61
1781401023,61
1781401053,61
1781401083,61
1781401113,61
1781401143,61
1781401173,61
1781401203,61
1781401233,61
1781401263,61
1781401293,61
1781401323,61
1781401353,61
1781401383,61
1781401413,61
1781401443,61
1781401473,61
1781401503,61
1781401533,61
1781401563,61
1781401593,61
1781401623,61
1781401653,61
1781401683,61
1781401713,61
1781401743,61
1781401773,61
1781401803,61
1781401833,61
1781401863,61
1781401893,61
1781401923,61
1781401953,61
1781401983,61
1781402013,61
1781402043,61
1781402073,61
1781402103,61
1781402133,61
1781402163,61
1781402193,61
1781402223,61
1781402253,61
1781402283,61
1781402313,61
1781402343,61
1781402373,61
1781402403,61
1781402433,61
1781402463,61
1781402493,61
1781402523,61
1781402700,61
1781402732,61
1781402762,61
1781402792,61
1781402822,61
1781402852,61
1781402882,61
1781402913,61
1781402943,61
1781402973,61
1781403003,61
1781403033,61
1781403063,61
1781403093,61
1781403123,61
1781403153,61
1781403183,61
1781403213,61
1781403243,61
1781403273,61
1781403303,61
1781403333,61
1781403363,61
1781403393,61
1781403423,61
1781403453,61
1781403483,61
1781403513,61
1781403543,61
1781403573,61
1781403603,61
1781403633,61
1781403663,61
1781403693,61
1781403723,61
1781403753,61
1781403783,61
1781444820,61
1781444851,61
1781444881,61
1781444911,61
1781444941,61
1781444971,61
1781445001,61
1781445031,61
1781445061,61
1781445091,61
1781445121,61
1781445152,61
