t,value
1781367150,220
1781367180,220
1781367210,220
1781367240,220
1781367270,220
1781367300,220
1781367330,220
1781367360,220
1781367390,220
1781367420,220
1781367450,220
1781367480,220
1781367510,220
1781367540,220
1781367570,220
1781367600,220
1781367630,220
1781367660,220
1781367690,220
1781367720,220
1781367750,220
1781367780,220
1781367810,220
1781367840,220
1781367870,220
1781367900,220
1781367930,220
1781367960,220
1781367990,220
1781368020,220
1781368050,220
1781368080,220
1781368110,220
1781368140,220
1781368170,220
1781368200,220
1781368230,220
1781368260,220
1781368290,220
1781368320,220
1781368350,220
1781368380,220
1781368410,220
1781368440,220
1781368470,220
1781368500,220
1781368530,220
1781368560,220
1781368590,220
1781368621,220
1781368651,220
1781368681,220
1781368711,220
1781368741,220
1781368771,220
1781368801,220
1781368831,220
1781368861,220
1781368891,220
1781368921,220
1781368951,220
1781368981,220
1781369011,220
1781369041,220
1781369071,220
1781369101,220
1781369131,220
1781369161,220
1781369191,220
1781369221,220
1781369251,220
1781369281,220
1781369311,220
1781369341,220
1781369371,220
1781369401,220
1781369431,220
1781369461,220
1781369491,220
1781369521,220
1781371260,232
1781371290,232
1781371320,232
1781371350,232
1781371380,232
1781371410,232
1781371440,232
1781371470,232
1781371500,232
1781371530,232
1781371560,232
1781371590,232
1781371620,232
1781371650,232
1781371680,232
1781371710,232
1781371740,232
1781371770,232
1781371800,232
1781371830,232
1781371860,232
1781371890,232
1781371920,232
1781371950,232
1781371980,232
1781372010,232
1781372040,232
1781372070,232
1781372100,232
1781372130,232
1781372160,232
1781372190,232
1781372220,232
1781372250,232
1781372280,232
1781372580,232
1781372611,232
1781372641,232
1781372671,232
1781372701,232
1781372731,232
1781372761,232
1781372791,232
1781372821,232
1781372851,232
1781372881,232
1781373780,232
1781373810,232
1781373840,232
1781373870,232
1781373900,232
1781373930,232
1781373960,232
1781373990,232
1781374020,232
1781374050,232
1781374080,232
1781374110,232
1781374200,232
1781379210,232
1781379240,232
1781379270,232
1781379300,232
1781379330,232
1781379360,232
1781381160,232
1781381191,232
1781381221,232
1781381251,232
1781381281,232
1781381311,232
1781381341,232
1781381371,232
1781381401,232
1781381431,232
1781381461,232
1781381491,232
1781381521,232
1781381551,232
1781381581,232
1781381611,232
1781381641,232
1781381671,232
1781381701,232
1781381731,232
1781381761,232
1781381791,232
1781381821,232
1781381851,232
1781381882,232
1781381912,232
1781381942,232
1781381972,232
1781382002,232
1781382032,232
1781382062,232
1781382092,232
1781382122,232
1781382152,232
1781382182,232
1781382510,232
1781382541,232
1781382571,232
1781382601,232
1781382631,232
1781382661,232
1781382691,232
1781382721,232
1781382751,232
1781382781,232
1781382811,232
1781382841,232
1781382871,232
1781382901,232
1781382931,232
1781382961,232
1781382991,232
1781383021,232
1781383051,232
1781383081,232
1781383111,232
1781383141,232
1781383171,232
1781383201,232
1781383231,232
1781383261,232
1781383291,232
1781383321,232
1781383351,232
1781383381,232
1781383411,232
1781383441,232
1781383471,232
1781383501,232
1781398740,232
1781398772,232
1781398802,232
1781398832,232
1781398862,232
1781398892,232
1781398922,232
1781398952,232
1781398982,232
1781399012,232
1781399042,232
1781399072,232
1781399102,232
1781399132,232
1781399162,232
1781399192,232
1781399222,232
1781399252,232
1781399282,232
1781399312,232
1781399342,232
1781399372,232
1781399670,232
1781399702,232
1781399732,232
1781399762,232
1781399792,232
1781399822,232
1781399852,232
1781399882,232
1781399912,232
1781399942,232
1781399972,232
1781400002,232
1781400032,232
1781400062,232
1781400092,232
1781400122,232
1781400152,232
1781400182,232
1781400212,232
1781400242,232
1781400272,232
1781400302,232
1781400332,232
1781400362,232
1781400392,232
1781400422,232
1781400452,232
1781400482,232
1781400512,232
1781400542,232
1781400572,232
1781400602,232
1781400632,232
1781400662,232
1781400693,232
1781400723,232
1781400753,232
1781400783,232
1781400813,232
1781400843,232
1781400873,232
1781400903,232
1781400933,232
1781400963,232
1781400993,232
1781401023,232
1781401053,232
1781401083,232
1781401113,232
1781401143,232
1781401173,232
1781401203,232
1781401233,232
1781401263,232
1781401293,232
1781401323,232
1781401353,232
1781401383,232
1781401413,232
1781401443,232
1781401473,232
1781401503,232
1781401533,232
1781401563,232
1781401593,232
1781401623,232
1781401653,232
1781401683,232
1781401713,232
1781401743,232
1781401773,232
1781401803,232
1781401833,232
1781401863,232
1781401893,232
1781401923,232
1781401953,232
1781401983,232
1781402013,232
1781402043,232
1781402073,232
1781402103,232
1781402133,232
1781402163,232
1781402193,232
1781402223,232
1781402253,232
1781402283,232
1781402313,232
1781402343,232
1781402373,232
1781402403,232
1781402433,232
1781402463,232
1781402493,232
1781402523,232
1781402700,232
1781402732,232
1781402762,232
1781402792,232
1781402822,232
1781402852,232
1781402882,232
1781402913,232
1781402943,232
1781402973,232
1781403003,232
1781403033,232
1781403063,232
1781403093,232
1781403123,232
1781403153,232
1781403183,232
1781403213,232
1781403243,232
1781403273,232
1781403303,232
1781403333,232
1781403363,232
1781403393,232
1781403423,232
1781403453,232
1781403483,232
1781403513,232
1781403543,232
1781403573,232
1781403603,232
1781403633,232
1781403663,232
1781403693,232
1781403723,232
1781403753,232
1781403783,232
1781444820,232
1781444851,232
1781444881,232
1781444911,232
1781444941,232
1781444971,232
1781445001,232
1781445031,232
1781445061,232
1781445091,232
1781445121,232
1781445152,232
