t,value
1781367150,119
1781367180,119
1781367210,119
1781367240,119
1781367270,119
1781367300,119
1781367330,119
1781367360,119
1781367390,119
1781367420,119
1781367450,119
1781367480,119
1781367510,119
1781367540,119
1781367570,119
1781367600,119
1781367630,119
1781367660,119
1781367690,119
1781367720,119
1781367750,119
1781367780,119
1781367810,119
1781367840,119
1781367870,119
1781367900,119
1781367930,119
1781367960,119
1781367990,119
1781368020,119
1781368050,119
1781368080,119
1781368110,119
1781368140,119
1781368170,119
1781368200,119
1781368230,119
1781368260,119
1781368290,119
1781368320,119
1781368350,119
1781368380,119
1781368410,119
1781368440,119
1781368470,119
1781368500,119
1781368530,119
1781368560,119
1781368590,119
1781368621,119
1781368651,119
1781368681,119
1781368711,119
1781368741,119
1781368771,119
1781368801,119
1781368831,119
1781368861,119
1781368891,119
1781368921,119
1781368951,119
1781368981,119
1781369011,119
1781369041,119
1781369071,119
1781369101,119
1781369131,119
1781369161,119
1781369191,119
1781369221,119
1781369251,119
1781369281,119
1781369311,119
1781369341,119
1781369371,119
1781369401,119
1781369431,119
1781369461,119
1781369491,119
1781369521,119
1781371260,119
1781371290,119
1781371320,119
1781371350,119
1781371380,119
1781371410,119
1781371440,119
1781371470,119
1781371500,119
1781371530,119
1781371560,119
1781371590,119
1781371620,119
1781371650,119
1781371680,119
1781371710,119
1781371740,119
1781371770,119
1781371800,119
1781371830,119
1781371860,119
1781371890,119
1781371920,119
1781371950,119
1781371980,119
1781372010,119
1781372040,119
1781372070,119
1781372100,119
1781372130,119
1781372160,119
1781372190,119
1781372220,119
1781372250,119
1781372280,119
1781372580,119
1781372611,119
1781372641,119
1781372671,119
1781372701,119
1781372731,119
1781372761,119
1781372791,119
1781372821,119
1781372851,119
1781372881,119
1781373780,119
1781373810,119
1781373840,119
1781373870,119
1781373900,119
1781373930,119
1781373960,119
1781373990,119
1781374020,119
1781374050,119
1781374080,119
1781374110,119
1781374200,119
1781379210,119
1781379240,119
1781379270,119
1781379300,119
1781379330,119
1781379360,119
1781381160,119
1781381191,119
1781381221,119
1781381251,119
1781381281,119
1781381311,119
1781381341,119
1781381371,119
1781381401,119
1781381431,119
1781381461,119
1781381491,119
1781381521,119
1781381551,119
1781381581,119
1781381611,119
1781381641,119
1781381671,119
1781381701,119
1781381731,119
1781381761,119
1781381791,119
1781381821,119
1781381851,119
1781381882,119
1781381912,119
1781381942,119
1781381972,119
1781382002,119
1781382032,119
1781382062,119
1781382092,119
1781382122,119
1781382152,119
1781382182,119
1781382510,119
1781382541,119
1781382571,119
1781382601,119
1781382631,119
1781382661,119
1781382691,119
1781382721,119
1781382751,119
1781382781,119
1781382811,119
1781382841,119
1781382871,119
1781382901,119
1781382931,119
1781382961,119
1781382991,119
1781383021,119
1781383051,119
1781383081,119
1781383111,119
1781383141,119
1781383171,119
1781383201,119
1781383231,119
1781383261,119
1781383291,119
1781383321,119
1781383351,119
1781383381,119
1781383411,119
1781383441,119
1781383471,119
1781383501,119
1781398740,119
1781398772,119
1781398802,119
1781398832,119
1781398862,119
1781398892,119
1781398922,119
1781398952,119
1781398982,119
1781399012,119
1781399042,119
1781399072,119
1781399102,119
1781399132,119
1781399162,119
1781399192,119
1781399222,119
1781399252,119
1781399282,119
1781399312,119
1781399342,119
1781399372,119
1781399670,119
1781399702,119
1781399732,119
1781399762,119
1781399792,119
1781399822,119
1781399852,119
1781399882,119
1781399912,119
1781399942,119
1781399972,119
1781400002,119
1781400032,119
1781400062,119
1781400092,119
1781400122,119
1781400152,119
1781400182,119
1781400212,119
1781400242,119
1781400272,119
1781400302,119
1781400332,119
1781400362,119
1781400392,119
1781400422,119
1781400452,119
1781400482,119
1781400512,119
1781400542,119
1781400572,119
1781400602,119
1781400632,119
1781400662,119
1781400693,119
1781400723,119
1781400753,119
1781400783,119
1781400813,119
1781400843,119
1781400873,119
1781400903,119
1781400933,119
1781400963,119
1781400993,119
1781401023,119
1781401053,119
1781401083,119
1781401113,119
1781401143,119
1781401173,119
1781401203,119
1781401233,119
1781401263,119
1781401293,119
1781401323,119
1781401353,119
1781401383,119
1781401413,119
1781401443,119
1781401473,119
1781401503,119
1781401533,119
1781401563,119
1781401593,119
1781401623,119
1781401653,119
1781401683,119
1781401713,119
1781401743,119
1781401773,119
1781401803,119
1781401833,119
1781401863,119
1781401893,119
1781401923,119
1781401953,119
1781401983,119
1781402013,119
1781402043,119
1781402073,119
1781402103,119
1781402133,119
1781402163,119
1781402193,119
1781402223,119
1781402253,119
1781402283,119
1781402313,119
1781402343,119
1781402373,119
1781402403,119
1781402433,119
1781402463,119
1781402493,119
1781402523,119
1781402700,119
1781402732,119
1781402762,119
1781402792,119
1781402822,119
1781402852,119
1781402882,119
1781402913,119
1781402943,119
1781402973,119
1781403003,119
1781403033,119
1781403063,119
1781403093,119
1781403123,119
1781403153,119
1781403183,119
1781403213,119
1781403243,119
1781403273,119
1781403303,119
1781403333,119
1781403363,119
1781403393,119
1781403423,119
1781403453,119
1781403483,119
1781403513,119
1781403543,119
1781403573,119
1781403603,119
1781403633,119
1781403663,119
1781403693,119
1781403723,119
1781403753,119
1781403783,119
1781444820,119
1781444851,119
1781444881,119
1781444911,119
1781444941,119
1781444971,119
1781445001,119
1781445031,119
1781445061,119
1781445091,119
1781445121,119
1781445152,119
