t,value
1781367150,56
1781367180,56
1781367210,56
1781367240,56
1781367270,56
1781367300,56
1781367330,56
1781367360,56
1781367390,56
1781367420,56
1781367450,56
1781367480,56
1781367510,56
1781367540,56
1781367570,56
1781367600,56
1781367630,56
1781367660,56
1781367690,56
1781367720,56
1781367750,56
1781367780,56
1781367810,56
1781367840,56
1781367870,56
1781367900,56
1781367930,56
1781367960,56
1781367990,56
1781368020,56
1781368050,56
1781368080,56
1781368110,56
1781368140,56
1781368170,56
1781368200,56
1781368230,56
1781368260,56
1781368290,56
1781368320,56
1781368350,56
1781368380,56
1781368410,56
1781368440,56
1781368470,56
1781368500,56
1781368530,56
1781368560,56
1781368590,56
1781368621,56
1781368651,56
1781368681,56
1781368711,56
1781368741,56
1781368771,56
1781368801,56
1781368831,56
1781368861,56
1781368891,56
1781368921,56
1781368951,56
1781368981,56
1781369011,56
1781369041,56
1781369071,56
1781369101,56
1781369131,56
1781369161,56
1781369191,56
1781369221,56
1781369251,56
1781369281,56
1781369311,56
1781369341,56
1781369371,56
1781369401,56
1781369431,56
1781369461,56
1781369491,56
1781369521,56
1781371260,59
1781371290,59
1781371320,59
1781371350,59
1781371380,59
1781371410,59
1781371440,59
1781371470,59
1781371500,59
1781371530,59
1781371560,59
1781371590,59
1781371620,59
1781371650,59
1781371680,59
1781371710,59
1781371740,59
1781371770,59
1781371800,59
1781371830,59
1781371860,59
1781371890,59
1781371920,59
1781371950,59
1781371980,59
1781372010,59
1781372040,59
1781372070,59
1781372100,59
1781372130,59
1781372160,59
1781372190,59
1781372220,59
1781372250,59
1781372280,59
1781372580,59
1781372611,59
1781372641,59
1781372671,59
1781372701,59
1781372731,59
1781372761,59
1781372791,59
1781372821,59
1781372851,59
1781372881,59
1781373780,59
1781373810,59
1781373840,59
1781373870,59
1781373900,59
1781373930,59
1781373960,59
1781373990,59
1781374020,59
1781374050,59
1781374080,59
1781374110,59
1781374200,59
1781379210,59
1781379240,59
1781379270,59
1781379300,59
1781379330,59
1781379360,59
1781381160,59
1781381191,59
1781381221,59
1781381251,59
1781381281,59
1781381311,59
1781381341,59
1781381371,59
1781381401,59
1781381431,59
1781381461,59
1781381491,59
1781381521,59
1781381551,59
1781381581,59
1781381611,59
1781381641,59
1781381671,59
1781381701,59
1781381731,59
1781381761,59
1781381791,59
1781381821,59
1781381851,59
1781381882,59
1781381912,59
1781381942,59
1781381972,59
1781382002,59
1781382032,59
1781382062,59
1781382092,59
1781382122,59
1781382152,59
1781382182,59
1781382510,59
1781382541,59
1781382571,59
1781382601,59
1781382631,59
1781382661,59
1781382691,59
1781382721,59
1781382751,59
1781382781,59
1781382811,59
1781382841,59
1781382871,59
1781382901,59
1781382931,59
1781382961,59
1781382991,59
1781383021,59
1781383051,59
1781383081,59
1781383111,59
1781383141,59
1781383171,59
1781383201,59
1781383231,59
1781383261,59
1781383291,59
1781383321,59
1781383351,59
1781383381,59
1781383411,59
1781383441,59
1781383471,59
1781383501,59
1781398740,59
1781398772,59
1781398802,59
1781398832,59
1781398862,59
1781398892,59
1781398922,59
1781398952,59
1781398982,59
1781399012,59
1781399042,59
1781399072,59
1781399102,59
1781399132,59
1781399162,59
1781399192,59
1781399222,59
1781399252,59
1781399282,59
1781399312,59
1781399342,59
1781399372,59
1781399670,59
1781399702,59
1781399732,59
1781399762,59
1781399792,59
1781399822,59
1781399852,59
1781399882,59
1781399912,59
1781399942,59
1781399972,59
1781400002,59
1781400032,59
1781400062,59
1781400092,59
1781400122,59
1781400152,59
1781400182,59
1781400212,59
1781400242,59
1781400272,59
1781400302,59
1781400332,59
1781400362,59
1781400392,59
1781400422,59
1781400452,59
1781400482,59
1781400512,59
1781400542,59
1781400572,59
1781400602,59
1781400632,59
1781400662,59
1781400693,59
1781400723,59
1781400753,59
1781400783,59
1781400813,59
1781400843,59
1781400873,59
1781400903,59
1781400933,59
1781400963,59
1781400993,59
1781401023,59
1781401053,59
1781401083,59
1781401113,59
1781401143,59
1781401173,59
1781401203,59
1781401233,59
1781401263,59
1781401293,59
1781401323,59
1781401353,59
1781401383,59
1781401413,59
1781401443,59
1781401473,59
1781401503,59
1781401533,59
1781401563,59
1781401593,59
1781401623,59
1781401653,59
1781401683,59
1781401713,59
1781401743,59
1781401773,59
1781401803,59
1781401833,59
1781401863,59
1781401893,59
1781401923,59
1781401953,59
1781401983,59
1781402013,59
1781402043,59
1781402073,59
1781402103,59
1781402133,59
1781402163,59
1781402193,59
1781402223,59
1781402253,59
1781402283,59
1781402313,59
1781402343,59
1781402373,59
1781402403,59
1781402433,59
1781402463,59
1781402493,59
1781402523,59
1781402700,59
1781402732,59
1781402762,59
1781402792,59
1781402822,59
1781402852,59
1781402882,59
1781402913,59
1781402943,59
1781402973,59
1781403003,59
1781403033,59
1781403063,59
1781403093,59
1781403123,59
1781403153,59
1781403183,59
1781403213,59
1781403243,59
1781403273,59
1781403303,59
1781403333,59
1781403363,59
1781403393,59
1781403423,59
1781403453,59
1781403483,59
1781403513,59
1781403543,59
1781403573,59
1781403603,59
1781403633,59
1781403663,59
1781403693,59
1781403723,59
1781403753,59
1781403783,59
1781444820,59
1781444851,59
1781444881,59
1781444911,59
1781444941,59
1781444971,59
1781445001,59
1781445031,59
1781445061,59
1781445091,59
1781445121,59
1781445152,59
