t,value
1781367150,108
1781367180,108
1781367210,108
1781367240,108
1781367270,108
1781367300,108
1781367330,108
1781367360,108
1781367390,108
1781367420,108
1781367450,108
1781367480,108
1781367510,108
1781367540,108
1781367570,108
1781367600,108
1781367630,108
1781367660,108
1781367690,108
1781367720,108
1781367750,108
1781367780,108
1781367810,108
1781367840,108
1781367870,108
1781367900,108
1781367930,108
1781367960,108
1781367990,108
1781368020,108
1781368050,108
1781368080,108
1781368110,108
1781368140,108
1781368170,108
1781368200,108
1781368230,108
1781368260,108
1781368290,108
1781368320,108
1781368350,108
1781368380,108
1781368410,108
1781368440,108
1781368470,108
1781368500,108
1781368530,108
1781368560,108
1781368590,108
1781368621,108
1781368651,108
1781368681,108
1781368711,108
1781368741,108
1781368771,108
1781368801,108
1781368831,108
1781368861,108
1781368891,108
1781368921,108
1781368951,108
1781368981,108
1781369011,108
1781369041,108
1781369071,108
1781369101,108
1781369131,108
1781369161,108
1781369191,108
1781369221,108
1781369251,108
1781369281,108
1781369311,108
1781369341,108
1781369371,108
1781369401,108
1781369431,108
1781369461,108
1781369491,108
1781369521,108
1781371260,111
1781371290,111
1781371320,111
1781371350,111
1781371380,111
1781371410,111
1781371440,111
1781371470,111
1781371500,111
1781371530,111
1781371560,111
1781371590,111
1781371620,111
1781371650,111
1781371680,111
1781371710,111
1781371740,111
1781371770,111
1781371800,111
1781371830,111
1781371860,111
1781371890,111
1781371920,111
1781371950,111
1781371980,111
1781372010,111
1781372040,111
1781372070,111
1781372100,111
1781372130,111
1781372160,111
1781372190,111
1781372220,111
1781372250,111
1781372280,111
1781372580,111
1781372611,111
1781372641,111
1781372671,111
1781372701,111
1781372731,111
1781372761,111
1781372791,111
1781372821,111
1781372851,111
1781372881,111
1781373780,111
1781373810,111
1781373840,111
1781373870,111
1781373900,111
1781373930,111
1781373960,111
1781373990,111
1781374020,111
1781374050,111
1781374080,111
1781374110,111
1781374200,111
1781379210,111
1781379240,111
1781379270,111
1781379300,111
1781379330,111
1781379360,111
1781381160,111
1781381191,111
1781381221,111
1781381251,111
1781381281,111
1781381311,111
1781381341,111
1781381371,111
1781381401,111
1781381431,111
1781381461,111
1781381491,111
1781381521,111
1781381551,111
1781381581,111
1781381611,111
1781381641,111
1781381671,111
1781381701,111
1781381731,111
1781381761,111
1781381791,111
1781381821,111
1781381851,111
1781381882,111
1781381912,111
1781381942,111
1781381972,111
1781382002,111
1781382032,111
1781382062,111
1781382092,111
1781382122,111
1781382152,111
1781382182,111
1781382510,111
1781382541,111
1781382571,111
1781382601,111
1781382631,111
1781382661,111
1781382691,111
1781382721,111
1781382751,111
1781382781,111
1781382811,111
1781382841,111
1781382871,111
1781382901,111
1781382931,111
1781382961,111
1781382991,111
1781383021,111
1781383051,111
1781383081,111
1781383111,111
1781383141,111
1781383171,111
1781383201,111
1781383231,111
1781383261,111
1781383291,111
1781383321,111
1781383351,111
1781383381,111
1781383411,111
1781383441,111
1781383471,111
1781383501,111
1781398740,111
1781398772,111
1781398802,111
1781398832,111
1781398862,111
1781398892,111
1781398922,111
1781398952,111
1781398982,111
1781399012,111
1781399042,111
1781399072,111
1781399102,111
1781399132,111
1781399162,111
1781399192,111
1781399222,111
1781399252,111
1781399282,111
1781399312,111
1781399342,111
1781399372,111
1781399670,111
1781399702,111
1781399732,111
1781399762,111
1781399792,111
1781399822,111
1781399852,111
1781399882,111
1781399912,111
1781399942,111
1781399972,111
1781400002,111
1781400032,111
1781400062,111
1781400092,111
1781400122,111
1781400152,111
1781400182,111
1781400212,111
1781400242,111
1781400272,111
1781400302,111
1781400332,111
1781400362,111
1781400392,111
1781400422,111
1781400452,111
1781400482,111
1781400512,111
1781400542,111
1781400572,111
1781400602,111
1781400632,111
1781400662,111
1781400693,111
1781400723,111
1781400753,111
1781400783,111
1781400813,111
1781400843,111
1781400873,111
1781400903,111
1781400933,111
1781400963,111
1781400993,111
1781401023,111
1781401053,111
1781401083,111
1781401113,111
1781401143,111
1781401173,111
1781401203,111
1781401233,111
1781401263,111
1781401293,111
1781401323,111
1781401353,111
1781401383,111
1781401413,111
1781401443,111
1781401473,111
1781401503,111
1781401533,111
1781401563,111
1781401593,111
1781401623,111
1781401653,111
1781401683,111
1781401713,111
1781401743,111
1781401773,111
1781401803,111
1781401833,111
1781401863,111
1781401893,111
1781401923,111
1781401953,111
1781401983,111
1781402013,111
1781402043,111
1781402073,111
1781402103,111
1781402133,111
1781402163,111
1781402193,111
1781402223,111
1781402253,111
1781402283,111
1781402313,111
1781402343,111
1781402373,111
1781402403,111
1781402433,111
1781402463,111
1781402493,111
1781402523,111
1781402700,111
1781402732,111
1781402762,111
1781402792,111
1781402822,111
1781402852,111
1781402882,111
1781402913,111
1781402943,111
1781402973,111
1781403003,111
1781403033,111
1781403063,111
1781403093,111
1781403123,111
1781403153,111
1781403183,111
1781403213,111
1781403243,111
1781403273,111
1781403303,111
1781403333,111
1781403363,111
1781403393,111
1781403423,111
1781403453,111
1781403483,111
1781403513,111
1781403543,111
1781403573,111
1781403603,111
1781403633,111
1781403663,111
1781403693,111
1781403723,111
1781403753,111
1781403783,111
1781444820,111
1781444851,111
1781444881,111
1781444911,111
1781444941,111
1781444971,111
1781445001,111
1781445031,111
1781445061,111
1781445091,111
1781445121,111
1781445152,111
