t,value
1781367150,11
1781367180,11
1781367210,11
1781367240,11
1781367270,11
1781367300,11
1781367330,11
1781367360,11
1781367390,11
1781367420,11
1781367450,11
1781367480,11
1781367510,11
1781367540,11
1781367570,11
1781367600,11
1781367630,11
1781367660,11
1781367690,11
1781367720,11
1781367750,11
1781367780,11
1781367810,11
1781367840,11
1781367870,11
1781367900,11
1781367930,11
1781367960,11
1781367990,11
1781368020,11
1781368050,11
1781368080,11
1781368110,11
1781368140,11
1781368170,11
1781368200,11
1781368230,11
1781368260,11
1781368290,11
1781368320,11
1781368350,11
1781368380,11
1781368410,11
1781368440,11
1781368470,11
1781368500,11
1781368530,11
1781368560,11
1781368590,11
1781368621,11
1781368651,11
1781368681,11
1781368711,11
1781368741,11
1781368771,11
1781368801,11
1781368831,11
1781368861,11
1781368891,11
1781368921,11
1781368951,11
1781368981,11
1781369011,11
1781369041,11
1781369071,11
1781369101,11
1781369131,11
1781369161,11
1781369191,11
1781369221,11
1781369251,11
1781369281,11
1781369311,11
1781369341,11
1781369371,11
1781369401,11
1781369431,11
1781369461,11
1781369491,11
1781369521,11
1781371260,11
1781371290,11
1781371320,11
1781371350,11
1781371380,11
1781371410,11
1781371440,11
1781371470,11
1781371500,11
1781371530,11
1781371560,11
1781371590,11
1781371620,11
1781371650,11
1781371680,11
1781371710,11
1781371740,11
1781371770,11
1781371800,11
1781371830,11
1781371860,11
1781371890,11
1781371920,11
1781371950,11
1781371980,11
1781372010,11
1781372040,11
1781372070,11
1781372100,11
1781372130,11
1781372160,11
1781372190,11
1781372220,11
1781372250,11
1781372280,11
1781372580,11
1781372611,11
1781372641,11
1781372671,11
1781372701,11
1781372731,11
1781372761,11
1781372791,11
1781372821,11
1781372851,11
1781372881,11
1781373780,11
1781373810,11
1781373840,11
1781373870,11
1781373900,11
1781373930,11
1781373960,11
1781373990,11
1781374020,11
1781374050,11
1781374080,11
1781374110,11
1781374200,11
1781379210,11
1781379240,11
1781379270,11
1781379300,11
1781379330,11
1781379360,11
1781381160,11
1781381191,11
1781381221,11
1781381251,11
1781381281,11
1781381311,11
1781381341,11
1781381371,11
1781381401,11
1781381431,11
1781381461,11
1781381491,11
1781381521,11
1781381551,11
1781381581,11
1781381611,11
1781381641,11
1781381671,11
1781381701,11
1781381731,11
1781381761,11
1781381791,11
1781381821,11
1781381851,11
1781381882,11
1781381912,11
1781381942,11
1781381972,11
1781382002,11
1781382032,11
1781382062,11
1781382092,11
1781382122,11
1781382152,11
1781382182,11
1781382510,11
1781382541,11
1781382571,11
1781382601,11
1781382631,11
1781382661,11
1781382691,11
1781382721,11
1781382751,11
1781382781,11
1781382811,11
1781382841,11
1781382871,11
1781382901,11
1781382931,11
1781382961,11
1781382991,11
1781383021,11
1781383051,11
1781383081,11
1781383111,11
1781383141,11
1781383171,11
1781383201,11
1781383231,11
1781383261,11
1781383291,11
1781383321,11
1781383351,11
1781383381,11
1781383411,11
1781383441,11
1781383471,11
1781383501,11
1781398740,11
1781398772,11
1781398802,11
1781398832,11
1781398862,11
1781398892,11
1781398922,11
1781398952,11
1781398982,11
1781399012,11
1781399042,11
1781399072,11
1781399102,11
1781399132,11
1781399162,11
1781399192,11
1781399222,11
1781399252,11
1781399282,11
1781399312,11
1781399342,11
1781399372,11
1781399670,11
1781399702,11
1781399732,11
1781399762,11
1781399792,11
1781399822,11
1781399852,11
1781399882,11
1781399912,11
1781399942,11
1781399972,11
1781400002,11
1781400032,11
1781400062,11
1781400092,11
1781400122,11
1781400152,11
1781400182,11
1781400212,11
1781400242,11
1781400272,11
1781400302,11
1781400332,11
1781400362,11
1781400392,11
1781400422,11
1781400452,11
1781400482,11
1781400512,11
1781400542,11
1781400572,11
1781400602,11
1781400632,11
1781400662,11
1781400693,11
1781400723,11
1781400753,11
1781400783,11
1781400813,11
1781400843,11
1781400873,11
1781400903,11
1781400933,11
1781400963,11
1781400993,11
1781401023,11
1781401053,11
1781401083,11
1781401113,11
1781401143,11
1781401173,11
1781401203,11
1781401233,11
1781401263,11
1781401293,11
1781401323,11
1781401353,11
1781401383,11
1781401413,11
1781401443,11
1781401473,11
1781401503,11
1781401533,11
1781401563,11
1781401593,11
1781401623,11
1781401653,11
1781401683,11
1781401713,11
1781401743,11
1781401773,11
1781401803,11
1781401833,11
1781401863,11
1781401893,11
1781401923,11
1781401953,11
1781401983,11
1781402013,11
1781402043,11
1781402073,11
1781402103,11
1781402133,11
1781402163,11
1781402193,11
1781402223,11
1781402253,11
1781402283,11
1781402313,11
1781402343,11
1781402373,11
1781402403,11
1781402433,11
1781402463,11
1781402493,11
1781402523,11
1781402700,11
1781402732,11
1781402762,11
1781402792,11
1781402822,11
1781402852,11
1781402882,11
1781402913,11
1781402943,11
1781402973,11
1781403003,11
1781403033,11
1781403063,11
1781403093,11
1781403123,11
1781403153,11
1781403183,11
1781403213,11
1781403243,11
1781403273,11
1781403303,11
1781403333,11
1781403363,11
1781403393,11
1781403423,11
1781403453,11
1781403483,11
1781403513,11
1781403543,11
1781403573,11
1781403603,11
1781403633,11
1781403663,11
1781403693,11
1781403723,11
1781403753,11
1781403783,11
1781444820,11
1781444851,11
1781444881,11
1781444911,11
1781444941,11
1781444971,11
1781445001,11
1781445031,11
1781445061,11
1781445091,11
1781445121,11
1781445152,11
