t,value
1781367150,449
1781367180,449
1781367210,449
1781367240,449
1781367270,449
1781367300,449
1781367330,449
1781367360,449
1781367390,449
1781367420,449
1781367450,449
1781367480,449
1781367510,449
1781367540,449
1781367570,449
1781367600,449
1781367630,449
1781367660,449
1781367690,449
1781367720,449
1781367750,449
1781367780,449
1781367810,449
1781367840,449
1781367870,449
1781367900,449
1781367930,449
1781367960,449
1781367990,449
1781368020,449
1781368050,449
1781368080,449
1781368110,449
1781368140,449
1781368170,449
1781368200,449
1781368230,449
1781368260,449
1781368290,449
1781368320,449
1781368350,449
1781368380,449
1781368410,449
1781368440,449
1781368470,449
1781368500,449
1781368530,449
1781368560,449
1781368590,449
1781368621,449
1781368651,449
1781368681,449
1781368711,449
1781368741,449
1781368771,449
1781368801,449
1781368831,449
1781368861,449
1781368891,449
1781368921,449
1781368951,449
1781368981,449
1781369011,449
1781369041,449
1781369071,449
1781369101,449
1781369131,449
1781369161,449
1781369191,449
1781369221,449
1781369251,449
1781369281,449
1781369311,449
1781369341,449
1781369371,449
1781369401,449
1781369431,449
1781369461,449
1781369491,449
1781369521,449
1781371260,302
1781371290,302
1781371320,302
1781371350,302
1781371380,302
1781371410,302
1781371440,302
1781371470,302
1781371500,302
1781371530,302
1781371560,302
1781371590,302
1781371620,302
1781371650,302
1781371680,302
1781371710,302
1781371740,302
1781371770,302
1781371800,302
1781371830,302
1781371860,302
1781371890,302
1781371920,302
1781371950,302
1781371980,302
1781372010,302
1781372040,302
1781372070,302
1781372100,302
1781372130,302
1781372160,302
1781372190,302
1781372220,302
1781372250,302
1781372280,302
1781372580,302
1781372611,302
1781372641,302
1781372671,302
1781372701,302
1781372731,302
1781372761,302
1781372791,302
1781372821,302
1781372851,302
1781372881,302
1781373780,302
1781373810,302
1781373840,302
1781373870,302
1781373900,302
1781373930,302
1781373960,302
1781373990,302
1781374020,302
1781374050,302
1781374080,302
1781374110,302
1781374200,302
1781379210,302
1781379240,302
1781379270,302
1781379300,302
1781379330,302
1781379360,302
1781381160,302
1781381191,302
1781381221,302
1781381251,302
1781381281,302
1781381311,302
1781381341,302
1781381371,302
1781381401,302
1781381431,302
1781381461,302
1781381491,302
1781381521,302
1781381551,302
1781381581,302
1781381611,302
1781381641,302
1781381671,302
1781381701,302
1781381731,302
1781381761,302
1781381791,302
1781381821,302
1781381851,302
1781381882,302
1781381912,302
1781381942,302
1781381972,302
1781382002,302
1781382032,302
1781382062,302
1781382092,302
1781382122,302
1781382152,302
1781382182,302
1781382510,302
1781382541,302
1781382571,302
1781382601,302
1781382631,302
1781382661,302
1781382691,302
1781382721,302
1781382751,302
1781382781,302
1781382811,302
1781382841,302
1781382871,302
1781382901,302
1781382931,302
1781382961,302
1781382991,302
1781383021,302
1781383051,302
1781383081,302
1781383111,302
1781383141,302
1781383171,302
1781383201,302
1781383231,302
1781383261,302
1781383291,302
1781383321,302
1781383351,302
1781383381,302
1781383411,302
1781383441,302
1781383471,302
1781383501,302
1781398740,302
1781398772,302
1781398802,302
1781398832,302
1781398862,302
1781398892,302
1781398922,302
1781398952,302
1781398982,302
1781399012,302
1781399042,302
1781399072,302
1781399102,302
1781399132,302
1781399162,302
1781399192,302
1781399222,302
1781399252,302
1781399282,302
1781399312,302
1781399342,302
1781399372,302
1781399670,302
1781399702,302
1781399732,302
1781399762,302
1781399792,302
1781399822,302
1781399852,302
1781399882,302
1781399912,302
1781399942,302
1781399972,302
1781400002,302
1781400032,302
1781400062,302
1781400092,302
1781400122,302
1781400152,302
1781400182,302
1781400212,302
1781400242,302
1781400272,302
1781400302,302
1781400332,302
1781400362,302
1781400392,302
1781400422,302
1781400452,302
1781400482,302
1781400512,302
1781400542,302
1781400572,302
1781400602,302
1781400632,302
1781400662,302
1781400693,302
1781400723,302
1781400753,302
1781400783,302
1781400813,302
1781400843,302
1781400873,302
1781400903,302
1781400933,302
1781400963,302
1781400993,302
1781401023,302
1781401053,302
1781401083,302
1781401113,302
1781401143,302
1781401173,302
1781401203,302
1781401233,302
1781401263,302
1781401293,302
1781401323,302
1781401353,302
1781401383,302
1781401413,302
1781401443,302
1781401473,302
1781401503,302
1781401533,302
1781401563,302
1781401593,302
1781401623,302
1781401653,302
1781401683,302
1781401713,302
1781401743,302
1781401773,302
1781401803,302
1781401833,302
1781401863,302
1781401893,302
1781401923,302
1781401953,302
1781401983,302
1781402013,302
1781402043,302
1781402073,302
1781402103,302
1781402133,302
1781402163,302
1781402193,302
1781402223,302
1781402253,302
1781402283,302
1781402313,302
1781402343,302
1781402373,302
1781402403,302
1781402433,302
1781402463,302
1781402493,302
1781402523,302
1781402700,302
1781402732,302
1781402762,302
1781402792,302
1781402822,302
1781402852,302
1781402882,302
1781402913,302
1781402943,302
1781402973,302
1781403003,302
1781403033,302
1781403063,302
1781403093,302
1781403123,302
1781403153,302
1781403183,302
1781403213,302
1781403243,302
1781403273,302
1781403303,302
1781403333,302
1781403363,302
1781403393,302
1781403423,302
1781403453,302
1781403483,302
1781403513,302
1781403543,302
1781403573,302
1781403603,302
1781403633,302
1781403663,302
1781403693,302
1781403723,302
1781403753,302
1781403783,302
1781444820,302
1781444851,302
1781444881,302
1781444911,302
1781444941,302
1781444971,302
1781445001,302
1781445031,302
1781445061,302
1781445091,302
1781445121,302
1781445152,302
