t,value
1781367150,73728
1781367180,73728
1781367210,73728
1781367240,73728
1781367270,73728
1781367300,73728
1781367330,73728
1781367360,73728
1781367390,73728
1781367420,73728
1781367450,73728
1781367480,73728
1781367510,73728
1781367540,73728
1781367570,73728
1781367600,73728
1781367630,73728
1781367660,73728
1781367690,73728
1781367720,73728
1781367750,1688686
1781367780,1688686
1781367810,1688686
1781367840,1688686
1781367870,1688686
1781367900,1688686
1781367930,1688686
1781367960,1688686
1781367990,1688686
1781368020,1688686
1781368050,1688686
1781368080,1688686
1781368110,1688686
1781368140,1688686
1781368170,1688686
1781368200,1688686
1781368230,1688686
1781368260,1688686
1781368290,1688686
1781368320,1688686
1781368350,1877103
1781368380,1877103
1781368410,1877103
1781368440,1877103
1781368470,1877103
1781368500,1877103
1781368530,1877103
1781368560,1877103
1781368590,1877103
1781368621,1877103
1781368651,1877103
1781368681,1877103
1781368711,1877103
1781368741,1877103
1781368771,1877103
1781368801,1877103
1781368831,1877103
1781368861,1877103
1781368891,1877103
1781368921,1877103
1781368951,1877103
1781368981,1877103
1781369011,1877103
1781369041,1877103
1781369071,1877103
1781369101,1877103
1781369131,1877103
1781369161,1877103
1781369191,1877103
1781369221,1877103
1781369251,1877103
1781369281,1877103
1781369311,1877103
1781369341,1877103
1781369371,1877103
1781369401,1877103
1781369431,1877103
1781369461,1877103
1781369491,1877103
1781369521,1877103
1781371260,1909871
1781371290,1909871
1781371320,1909871
1781371350,1909871
1781371380,1909871
1781371410,1909871
1781371440,1909871
1781371470,1909871
1781371500,1909871
1781371530,1909871
1781371560,1909871
1781371590,1909871
1781371620,1909871
1781371650,1909871
1781371680,1909871
1781371710,1909871
1781371740,1909871
1781371770,1909871
1781371800,1909871
1781371830,1909871
1781371860,1909871
1781371890,1909871
1781371920,1909871
1781371950,1909871
1781371980,1909871
1781372010,1909871
1781372040,1909871
1781372070,1909871
1781372100,1909871
1781372130,1909871
1781372160,1909871
1781372190,1909871
1781372220,1909871
1781372250,1909871
1781372280,1909871
1781372580,1909871
1781372611,1909871
1781372641,1909871
1781372671,1909871
1781372701,1909871
1781372731,1909871
1781372761,1909871
1781372791,1909871
1781372821,1909871
1781372851,1909871
1781372881,1909871
1781373780,1909871
1781373810,1909871
1781373840,1909871
1781373870,1909871
1781373900,1909871
1781373930,1909871
1781373960,1909871
1781373990,1909871
1781374020,1909871
1781374050,1909871
1781374080,1909871
1781374110,1909871
1781374200,1909871
1781379210,1909871
1781379240,1909871
1781379270,1909871
1781379300,1909871
1781379330,1909871
1781379360,1909871
1781381160,1909871
1781381191,1909871
1781381221,1909871
1781381251,1909871
1781381281,1909871
1781381311,1909871
1781381341,1909871
1781381371,1909871
1781381401,1909871
1781381431,1909871
1781381461,1909871
1781381491,1909871
1781381521,1909871
1781381551,1909871
1781381581,1909871
1781381611,1909871
1781381641,1909871
1781381671,1909871
1781381701,1909871
1781381731,1909871
1781381761,1909871
1781381791,1909871
1781381821,1909871
1781381851,1909871
1781381882,1909871
1781381912,1909871
1781381942,1909871
1781381972,1909871
1781382002,1909871
1781382032,1909871
1781382062,1909871
1781382092,1909871
1781382122,1909871
1781382152,1909871
1781382182,1909871
1781382510,1909871
1781382541,1909871
1781382571,1909871
1781382601,1909871
1781382631,1909871
1781382661,1909871
1781382691,1909871
1781382721,1909871
1781382751,1909871
1781382781,1909871
1781382811,1909871
1781382841,1909871
1781382871,1909871
1781382901,1909871
1781382931,1909871
1781382961,1909871
1781382991,1909871
1781383021,1909871
1781383051,1909871
1781383081,1909871
1781383111,1909871
1781383141,1909871
1781383171,1909871
1781383201,1909871
1781383231,1909871
1781383261,1909871
1781383291,1909871
1781383321,1909871
1781383351,1909871
1781383381,1909871
1781383411,1909871
1781383441,1909871
1781383471,1909871
1781383501,1909871
1781398740,1909871
1781398772,1909871
1781398802,1909871
1781398832,1909871
1781398862,1909871
1781398892,1909871
1781398922,1909871
1781398952,1909871
1781398982,1909871
1781399012,1909871
1781399042,1909871
1781399072,1909871
1781399102,1909871
1781399132,1909871
1781399162,1909871
1781399192,1909871
1781399222,1909871
1781399252,1909871
1781399282,1909871
1781399312,1909871
1781399342,1909871
1781399372,1909871
1781399670,1909871
1781399702,1909871
1781399732,1909871
1781399762,1909871
1781399792,1909871
1781399822,1909871
1781399852,1909871
1781399882,1909871
1781399912,1909871
1781399942,1909871
1781399972,1909871
1781400002,1909871
1781400032,1909871
1781400062,1909871
1781400092,1909871
1781400122,1909871
1781400152,1909871
1781400182,1909871
1781400212,1909871
1781400242,1909871
1781400272,1909871
1781400302,1909871
1781400332,1909871
1781400362,1909871
1781400392,1909871
1781400422,1909871
1781400452,1909871
1781400482,1909871
1781400512,1909871
1781400542,1909871
1781400572,1909871
1781400602,1909871
1781400632,1909871
1781400662,1909871
1781400693,1909871
1781400723,1909871
1781400753,1909871
1781400783,1909871
1781400813,1909871
1781400843,1909871
1781400873,1909871
1781400903,1909871
1781400933,1909871
1781400963,1909871
1781400993,1909871
1781401023,1909871
1781401053,1909871
1781401083,1909871
1781401113,1909871
1781401143,1909871
1781401173,1909871
1781401203,1909871
1781401233,1909871
1781401263,1909871
1781401293,1909871
1781401323,1909871
1781401353,1909871
1781401383,1909871
1781401413,1909871
1781401443,1909871
1781401473,1909871
1781401503,1909871
1781401533,1909871
1781401563,1909871
1781401593,1909871
1781401623,1909871
1781401653,1909871
1781401683,1909871
1781401713,1909871
1781401743,1909871
1781401773,1909871
1781401803,1909871
1781401833,1909871
1781401863,1909871
1781401893,1909871
1781401923,1909871
1781401953,1909871
1781401983,1909871
1781402013,1909871
1781402043,1909871
1781402073,1909871
1781402103,1909871
1781402133,1909871
1781402163,1909871
1781402193,1909871
1781402223,1909871
1781402253,1909871
1781402283,1909871
1781402313,1909871
1781402343,1909871
1781402373,1909871
1781402403,1909871
1781402433,1909871
1781402463,1909871
1781402493,1909871
1781402523,1909871
1781402700,1909871
1781402732,1909871
1781402762,1909871
1781402792,1909871
1781402822,1909871
1781402852,1909871
1781402882,1909871
1781402913,1909871
1781402943,1909871
1781402973,1909871
1781403003,1909871
1781403033,1909871
1781403063,1909871
1781403093,1909871
1781403123,1909871
1781403153,1909871
1781403183,1909871
1781403213,1909871
1781403243,1909871
1781403273,1909871
1781403303,1909871
1781403333,1909871
1781403363,1909871
1781403393,1909871
1781403423,1909871
1781403453,1909871
1781403483,1909871
1781403513,1909871
1781403543,1909871
1781403573,1909871
1781403603,1909871
1781403633,1909871
1781403663,1909871
1781403693,1909871
1781403723,1909871
1781403753,1909871
1781403783,1909871
1781444820,1909871
1781444851,1909871
1781444881,1909871
1781444911,1909871
1781444941,1909871
1781444971,1909871
1781445001,1909871
1781445031,1909871
1781445061,1909871
1781445091,1909871
1781445121,1909871
1781445152,1909871
