t,value
1781367150,73728
1781367180,73728
1781367210,73728
1781367240,73728
1781367270,73728
1781367300,73728
1781367330,73728
1781367360,73728
1781367390,73728
1781367420,73728
1781367450,73728
1781367480,73728
1781367510,73728
1781367540,73728
1781367570,73728
1781367600,73728
1781367630,73728
1781367660,73728
1781367690,73728
1781367720,73728
1781367750,1764957
1781367780,1764957
1781367810,1764957
1781367840,1764957
1781367870,1764957
1781367900,1764957
1781367930,1764957
1781367960,1764957
1781367990,1764957
1781368020,1764957
1781368050,1764957
1781368080,1764957
1781368110,1764957
1781368140,1764957
1781368170,1764957
1781368200,1764957
1781368230,1764957
1781368260,1764957
1781368290,1764957
1781368320,1764957
1781368350,1953606
1781368380,1953606
1781368410,1953606
1781368440,1953606
1781368470,1953606
1781368500,1953606
1781368530,1953606
1781368560,1953606
1781368590,1953606
1781368621,1953606
1781368651,1953606
1781368681,1953606
1781368711,1953606
1781368741,1953606
1781368771,1953606
1781368801,1953606
1781368831,1953606
1781368861,1953606
1781368891,1953606
1781368921,1953606
1781368951,1953606
1781368981,1953606
1781369011,1953606
1781369041,1953606
1781369071,1953606
1781369101,1953606
1781369131,1953606
1781369161,1953606
1781369191,1953606
1781369221,1953606
1781369251,1953606
1781369281,1953606
1781369311,1953606
1781369341,1953606
1781369371,1953606
1781369401,1953606
1781369431,1953606
1781369461,1953606
1781369491,1953606
1781369521,1953606
1781371260,1988741
1781371290,1988741
1781371320,1988741
1781371350,1988741
1781371380,1988741
1781371410,1988741
1781371440,1988741
1781371470,1988741
1781371500,1988741
1781371530,1988741
1781371560,1988741
1781371590,1988741
1781371620,1988741
1781371650,1988741
1781371680,1988741
1781371710,1988741
1781371740,1988741
1781371770,1988741
1781371800,1988741
1781371830,1988741
1781371860,1988741
1781371890,1988741
1781371920,1988741
1781371950,1988741
1781371980,1988741
1781372010,1988741
1781372040,1988741
1781372070,1988741
1781372100,1988741
1781372130,1988741
1781372160,1988741
1781372190,1988741
1781372220,1988741
1781372250,1988741
1781372280,1988741
1781372580,1988973
1781372611,1988973
1781372641,1988973
1781372671,1988973
1781372701,1988973
1781372731,1988973
1781372761,1988973
1781372791,1988973
1781372821,1988973
1781372851,1988973
1781372881,1988973
1781373780,1989205
1781373810,1989205
1781373840,1989205
1781373870,1989205
1781373900,1989205
1781373930,1989205
1781373960,1989205
1781373990,1989205
1781374020,1989205
1781374050,1989205
1781374080,1989205
1781374110,1989205
1781374200,1989437
1781379210,1989669
1781379240,1989669
1781379270,1989669
1781379300,1989669
1781379330,1989669
1781379360,1989669
1781381160,1989901
1781381191,1989901
1781381221,1989901
1781381251,1989901
1781381281,1989901
1781381311,1989901
1781381341,1989901
1781381371,1989901
1781381401,1989901
1781381431,1989901
1781381461,1989901
1781381491,1989901
1781381521,1989901
1781381551,1989901
1781381581,1989901
1781381611,1989901
1781381641,1989901
1781381671,1989901
1781381701,1989901
1781381731,1989901
1781381761,1989901
1781381791,1989901
1781381821,1989901
1781381851,1989901
1781381882,1989901
1781381912,1989901
1781381942,1989901
1781381972,1989901
1781382002,1989901
1781382032,1989901
1781382062,1989901
1781382092,1989901
1781382122,1989901
1781382152,1989901
1781382182,1989901
1781382510,1990133
1781382541,1990133
1781382571,1990133
1781382601,1990133
1781382631,1990133
1781382661,1990133
1781382691,1990133
1781382721,1990133
1781382751,1990133
1781382781,1990133
1781382811,1990133
1781382841,1990133
1781382871,1990133
1781382901,1990133
1781382931,1990133
1781382961,1990133
1781382991,1990133
1781383021,1990133
1781383051,1990133
1781383081,1990133
1781383111,1990133
1781383141,1990133
1781383171,1990133
1781383201,1990133
1781383231,1990133
1781383261,1990133
1781383291,1990133
1781383321,1990133
1781383351,1990133
1781383381,1990133
1781383411,1990133
1781383441,1990133
1781383471,1990133
1781383501,1990133
1781398740,1990365
1781398772,1990365
1781398802,1990365
1781398832,1990365
1781398862,1990365
1781398892,1990365
1781398922,1990365
1781398952,1990365
1781398982,1990365
1781399012,1990365
1781399042,1990365
1781399072,1990365
1781399102,1990365
1781399132,1990365
1781399162,1990365
1781399192,1990365
1781399222,1990365
1781399252,1990365
1781399282,1990365
1781399312,1990365
1781399342,1990365
1781399372,1990365
1781399670,1990597
1781399702,1990597
1781399732,1990597
1781399762,1990597
1781399792,1990597
1781399822,1990597
1781399852,1990597
1781399882,1990597
1781399912,1990597
1781399942,1990597
1781399972,1990597
1781400002,1990597
1781400032,1990597
1781400062,1990597
1781400092,1990597
1781400122,1990597
1781400152,1990597
1781400182,1990597
1781400212,1990597
1781400242,1990597
1781400272,1990597
1781400302,1990597
1781400332,1990597
1781400362,1990597
1781400392,1990597
1781400422,1990597
1781400452,1990597
1781400482,1990597
1781400512,1990597
1781400542,1990597
1781400572,1990597
1781400602,1990597
1781400632,1990597
1781400662,1990597
1781400693,1990597
1781400723,1990597
1781400753,1990597
1781400783,1990597
1781400813,1990597
1781400843,1990597
1781400873,1990597
1781400903,1990597
1781400933,1990597
1781400963,1990597
1781400993,1990597
1781401023,1990597
1781401053,1990597
1781401083,1990597
1781401113,1990597
1781401143,1990597
1781401173,1990597
1781401203,1990597
1781401233,1990597
1781401263,1990597
1781401293,1990597
1781401323,1990597
1781401353,1990597
1781401383,1990597
1781401413,1990597
1781401443,1990597
1781401473,1990597
1781401503,1990597
1781401533,1990597
1781401563,1990597
1781401593,1990597
1781401623,1990597
1781401653,1990597
1781401683,1990597
1781401713,1990597
1781401743,1990597
1781401773,1990597
1781401803,1990597
1781401833,1990597
1781401863,1990597
1781401893,1990597
1781401923,1990597
1781401953,1990597
1781401983,1990597
1781402013,1990597
1781402043,1990597
1781402073,1990597
1781402103,1990597
1781402133,1990597
1781402163,1990597
1781402193,1990597
1781402223,1990597
1781402253,1990597
1781402283,1990597
1781402313,1990597
1781402343,1990597
1781402373,1990597
1781402403,1990597
1781402433,1990597
1781402463,1990597
1781402493,1990597
1781402523,1990597
1781402700,1990829
1781402732,1990829
1781402762,1990829
1781402792,1990829
1781402822,1990829
1781402852,1990829
1781402882,1990829
1781402913,1990829
1781402943,1990829
1781402973,1990829
1781403003,1990829
1781403033,1990829
1781403063,1990829
1781403093,1990829
1781403123,1990829
1781403153,1990829
1781403183,1990829
1781403213,1990829
1781403243,1990829
1781403273,1990829
1781403303,1990829
1781403333,1990829
1781403363,1990829
1781403393,1990829
1781403423,1990829
1781403453,1990829
1781403483,1990829
1781403513,1990829
1781403543,1990829
1781403573,1990829
1781403603,1990829
1781403633,1990829
1781403663,1990829
1781403693,1990829
1781403723,1990829
1781403753,1990829
1781403783,1990829
1781444820,1991061
1781444851,1991061
1781444881,1991061
1781444911,1991061
1781444941,1991061
1781444971,1991061
1781445001,1991061
1781445031,1991061
1781445061,1991061
1781445091,1991061
1781445121,1991061
1781445152,1991061
