t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,46,2.0367469801606366,0.0,0.0,0.0,events/second
1781367180,52,0.9880610549603508,0.0,0.0,0.0,events/second
1781367210,58,0.7017642004747651,0.0,0.0,0.0,events/second
1781367240,64,0.5680500425744187,0.0,0.0,0.0,events/second
1781367270,70,0.4906151338435512,0.0,0.0,0.0,events/second
1781367300,76,0.44005192079971006,0.0,0.0,0.0,events/second
1781367330,81,0.3995594755166069,0.0,0.0,0.0,events/second
1781367360,87,0.37381038341893014,0.0,0.0,0.0,events/second
1781367390,93,0.35394566041941145,0.0,0.0,0.0,events/second
1781367420,99,0.3381398277209138,0.0,0.0,0.0,events/second
1781367450,105,0.3252520347505543,0.0,0.0,0.0,events/second
1781367480,111,0.314587323469079,0.0,0.0,0.0,events/second
1781367510,117,0.30559404154096,0.0,0.0,0.0,events/second
1781367540,123,0.2979161349837536,0.0,0.0,0.0,events/second
1781367570,129,0.29126859453542575,0.0,0.0,0.0,events/second
1781367600,135,0.2854679241166144,0.0,0.0,0.0,events/second
1781367630,141,0.2803608210043492,0.0,0.0,0.0,events/second
1781367660,147,0.27582651642217687,0.0,0.0,0.0,events/second
1781367690,153,0.2717796862545246,0.0,0.0,0.0,events/second
1781367720,159,0.26814089555165505,0.0,0.0,0.0,events/second
1781367750,165,0.26485387779935055,0.0,0.0,0.0,events/second
1781367780,171,0.2618691645218947,0.0,0.0,0.0,events/second
1781367810,177,0.25914353047074457,0.0,0.0,0.0,events/second
1781367840,183,0.256652086218172,0.0,0.0,0.0,events/second
1781367870,189,0.25436023209650893,0.0,0.0,0.0,events/second
1781367900,195,0.2522453002249409,0.0,0.0,0.0,events/second
1781367930,201,0.250291525778288,0.0,0.0,0.0,events/second
1781367960,207,0.24847792625575593,0.0,0.0,0.0,events/second
1781367990,213,0.24678656330945078,0.0,0.0,0.0,events/second
1781368020,219,0.24520933827216113,0.0,0.0,0.0,events/second
1781368050,225,0.24373464158152797,0.0,0.0,0.0,events/second
1781368080,231,0.2423554414055551,0.0,0.0,0.0,events/second
1781368110,237,0.2410599948681073,0.0,0.0,0.0,events/second
1781368140,243,0.23983861715441152,0.0,0.0,0.0,events/second
1781368170,249,0.23869007491949146,0.0,0.0,0.0,events/second
1781368200,255,0.23760571262299024,0.0,0.0,0.0,events/second
1781368230,261,0.23657877953514603,0.0,0.0,0.0,events/second
1781368260,267,0.2356067908326214,0.0,0.0,0.0,events/second
1781368290,273,0.2346853424931863,0.0,0.0,0.0,events/second
1781368320,279,0.23380985524091968,0.0,0.0,0.0,events/second
1781368350,285,0.23297858775097247,0.0,0.0,0.0,events/second
1781368380,291,0.2321868523467659,0.0,0.0,0.0,events/second
1781368410,297,0.23143160618821776,0.0,0.0,0.0,events/second
1781368440,303,0.23071017797770665,0.0,0.0,0.0,events/second
1781368470,309,0.23002278991212535,0.0,0.0,0.0,events/second
1781368500,315,0.22936422547379404,0.0,0.0,0.0,events/second
1781368530,321,0.22873516876516203,0.0,0.0,0.0,events/second
1781368560,327,0.22813276014186207,0.0,0.0,0.0,events/second
1781368590,333,0.22753517608479498,0.0,0.0,0.0,events/second
1781368621,339,0.22698075284259406,0.0,0.0,0.0,events/second
1781368651,345,0.22644753418423177,0.0,0.0,0.0,events/second
1781368681,351,0.22593395832371843,0.0,0.0,0.0,events/second
1781368711,357,0.22544091243462064,0.0,0.0,0.0,events/second
1781368741,363,0.22496552041781467,0.0,0.0,0.0,events/second
1781368771,369,0.22450771839398778,0.0,0.0,0.0,events/second
1781368801,375,0.22406666256010832,0.0,0.0,0.0,events/second
1781368831,381,0.2236416455493581,0.0,0.0,0.0,events/second
1781368861,386,0.22265271193471062,0.0,0.0,0.0,events/second
1781368891,392,0.22226597735888382,0.0,0.0,0.0,events/second
1781368921,398,0.2218917189051018,0.0,0.0,0.0,events/second
1781368951,404,0.2215305602260231,0.0,0.0,0.0,events/second
1781368981,410,0.2211797520128132,0.0,0.0,0.0,events/second
1781369011,416,0.2208409724661065,0.0,0.0,0.0,events/second
1781369041,422,0.22051222604921406,0.0,0.0,0.0,events/second
1781369071,428,0.220194597541498,0.0,0.0,0.0,events/second
1781369101,434,0.21988635305571466,0.0,0.0,0.0,events/second
1781369131,440,0.21958625798814757,0.0,0.0,0.0,events/second
1781369161,446,0.2192959551457647,0.0,0.0,0.0,events/second
1781369191,452,0.2190142339502023,0.0,0.0,0.0,events/second
1781369221,458,0.21874080647285543,0.0,0.0,0.0,events/second
1781369251,464,0.21847392510671584,0.0,0.0,0.0,events/second
1781369281,470,0.21821601841104,0.0,0.0,0.0,events/second
1781369311,476,0.21796536998401958,0.0,0.0,0.0,events/second
1781369341,482,0.21772095032432562,0.0,0.0,0.0,events/second
1781369371,488,0.2174828684041714,0.0,0.0,0.0,events/second
1781369401,494,0.2172505522523881,0.0,0.0,0.0,events/second
1781369431,503,0.21832610562373403,0.0,0.0,0.0,events/second
1781369461,509,0.21808970501472244,0.0,0.0,0.0,events/second
1781369491,515,0.21785894799665162,0.0,0.0,0.0,events/second
1781369521,521,0.21763363339611613,0.0,0.0,0.0,events/second
1781371260,15,0.5462381170813773,0.0,0.0,0.0,events/second
1781371290,21,0.36502445968936076,0.0,0.0,0.0,events/second
1781371320,27,0.3083842474393331,0.0,0.0,0.0,events/second
1781371350,33,0.28065851632294114,0.0,0.0,0.0,events/second
1781371380,39,0.2642488342810045,0.0,0.0,0.0,events/second
1781371410,45,0.2533686567827997,0.0,0.0,0.0,events/second
1781371440,51,0.24563775049571865,0.0,0.0,0.0,events/second
1781371470,57,0.23984008452819586,0.0,0.0,0.0,events/second
1781371500,63,0.23532541500440965,0.0,0.0,0.0,events/second
1781371530,69,0.23175112898922764,0.0,0.0,0.0,events/second
1781371560,75,0.22883770625352615,0.0,0.0,0.0,events/second
1781371590,81,0.22640835727495262,0.0,0.0,0.0,events/second
1781371620,87,0.22435679940230482,0.0,0.0,0.0,events/second
1781371650,93,0.22260023907595985,0.0,0.0,0.0,events/second
1781371680,99,0.22107553014514503,0.0,0.0,0.0,events/second
1781371710,105,0.21975002306825867,0.0,0.0,0.0,events/second
1781371740,111,0.21857484720609488,0.0,0.0,0.0,events/second
1781371770,117,0.21752936662345793,0.0,0.0,0.0,events/second
1781371800,123,0.21659380027136052,0.0,0.0,0.0,events/second
1781371830,129,0.2157538164338853,0.0,0.0,0.0,events/second
1781371860,135,0.2149943263371529,0.0,0.0,0.0,events/second
1781371890,141,0.21430139368952275,0.0,0.0,0.0,events/second
1781371920,149,0.21657976612378418,0.0,0.0,0.0,events/second
1781371950,155,0.21588389898958166,0.0,0.0,0.0,events/second
1781371980,161,0.2152412448471246,0.0,0.0,0.0,events/second
1781372010,167,0.21464849596866975,0.0,0.0,0.0,events/second
1781372040,173,0.21410287761508648,0.0,0.0,0.0,events/second
1781372070,179,0.21359500122038755,0.0,0.0,0.0,events/second
1781372100,185,0.2131189512556215,0.0,0.0,0.0,events/second
1781372130,191,0.21267561968083934,0.0,0.0,0.0,events/second
1781372160,197,0.21226157680673735,0.0,0.0,0.0,events/second
1781372190,203,0.21187399827062994,0.0,0.0,0.0,events/second
1781372220,209,0.21150813730854465,0.0,0.0,0.0,events/second
1781372250,215,0.2111664150681199,0.0,0.0,0.0,events/second
1781372280,221,0.2108448773025621,0.0,0.0,0.0,events/second
1781372580,13,0.49892527466057046,0.0,0.0,0.0,events/second
1781372611,19,0.3371545184304009,0.0,0.0,0.0,events/second
1781372641,25,0.2893913725310506,0.0,0.0,0.0,events/second
1781372671,31,0.26632863297260195,0.0,0.0,0.0,events/second
1781372701,37,0.2527205869799277,0.0,0.0,0.0,events/second
1781372731,43,0.2437261901511345,0.0,0.0,0.0,events/second
1781372761,49,0.2373365924846283,0.0,0.0,0.0,events/second
1781372791,55,0.23256999047555696,0.0,0.0,0.0,events/second
1781372821,61,0.22889723070449067,0.0,0.0,0.0,events/second
1781372851,67,0.22595057899265933,0.0,0.0,0.0,events/second
1781372881,73,0.22355062440959975,0.0,0.0,0.0,events/second
1781373780,15,0.7034904094067023,0.0,0.0,0.0,events/second
1781373810,21,0.408532956267012,0.0,0.0,0.0,events/second
1781373840,26,0.31931342386952927,0.0,0.0,0.0,events/second
1781373870,32,0.2871456127588042,0.0,0.0,0.0,events/second
1781373900,38,0.26862158504038647,0.0,0.0,0.0,events/second
1781373930,44,0.2566035107049523,0.0,0.0,0.0,events/second
1781373960,50,0.24813868812718265,0.0,0.0,0.0,events/second
1781373990,56,0.24186816291207197,0.0,0.0,0.0,events/second
1781374020,62,0.23704965449060836,0.0,0.0,0.0,events/second
1781374050,68,0.23321370133513403,0.0,0.0,0.0,events/second
1781374080,74,0.23010303645807736,0.0,0.0,0.0,events/second
