t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,139,6.154499028007571,0.0,0.0,0.0,events/second
1781367180,139,2.6411654980712744,0.0,0.0,0.0,events/second
1781367210,139,1.6818185206017686,0.0,0.0,0.0,events/second
1781367240,139,1.2337354744112488,0.0,0.0,0.0,events/second
1781367270,139,0.9742228668521765,0.0,0.0,0.0,events/second
1781367300,139,0.8048327377988931,0.0,0.0,0.0,events/second
1781367330,139,0.6856644769044223,0.0,0.0,0.0,events/second
1781367360,139,0.5972376890671163,0.0,0.0,0.0,events/second
1781367390,139,0.5290159825962328,0.0,0.0,0.0,events/second
1781367420,139,0.47476234032536807,0.0,0.0,0.0,events/second
1781367450,139,0.43057202973273334,0.0,0.0,0.0,events/second
1781367480,139,0.3939428845292806,0.0,0.0,0.0,events/second
1781367510,139,0.36305637582840034,0.0,0.0,0.0,events/second
1781367540,139,0.33666963740079375,0.0,0.0,0.0,events/second
1781367570,139,0.3138477107558942,0.0,0.0,0.0,events/second
1781367600,139,0.2939263728857345,0.0,0.0,0.0,events/second
1781367630,139,0.27638417547132615,0.0,0.0,0.0,events/second
1781367660,139,0.26081565701142134,0.0,0.0,0.0,events/second
1781367690,139,0.24691105569705038,0.0,0.0,0.0,events/second
1781367720,139,0.23441256355929707,0.0,0.0,0.0,events/second
1781367750,139,0.22311940572051903,0.0,0.0,0.0,events/second
1781367780,139,0.21286448242252787,0.0,0.0,0.0,events/second
1781367810,139,0.2035082618548471,0.0,0.0,0.0,events/second
1781367840,139,0.19494344374860426,0.0,0.0,0.0,events/second
1781367870,139,0.18706921678888253,0.0,0.0,0.0,events/second
1781367900,139,0.1798056754560633,0.0,0.0,0.0,events/second
1781367930,139,0.1730872233615677,0.0,0.0,0.0,events/second
1781367960,139,0.16685237119512866,0.0,0.0,0.0,events/second
1781367990,139,0.16104854272816757,0.0,0.0,0.0,events/second
1781368020,139,0.1556351899145459,0.0,0.0,0.0,events/second
1781368050,139,0.1505738770504268,0.0,0.0,0.0,events/second
1781368080,139,0.14583296256963765,0.0,0.0,0.0,events/second
1781368110,139,0.14138121093865424,0.0,0.0,0.0,events/second
1781368140,139,0.1371916660314051,0.0,0.0,0.0,events/second
1781368170,139,0.13324468764291247,0.0,0.0,0.0,events/second
1781368200,139,0.12951843355768392,0.0,0.0,0.0,events/second
1781368230,139,0.12599408670448192,0.0,0.0,0.0,events/second
1781368260,139,0.12265674168222007,0.0,0.0,0.0,events/second
1781368290,139,0.11949182766549223,0.0,0.0,0.0,events/second
1781368320,139,0.11648593509713046,0.0,0.0,0.0,events/second
1781368350,139,0.11362817362936134,0.0,0.0,0.0,events/second
1781368380,139,0.11090714190169094,0.0,0.0,0.0,events/second
1781368410,139,0.1083131264117943,0.0,0.0,0.0,events/second
1781368440,139,0.10583736019032054,0.0,0.0,0.0,events/second
1781368470,139,0.10347305235225769,0.0,0.0,0.0,events/second
1781368500,139,0.10121152999649763,0.0,0.0,0.0,events/second
1781368530,139,0.0990473309334223,0.0,0.0,0.0,events/second
1781368560,139,0.09697387904317563,0.0,0.0,0.0,events/second
1781368590,139,0.09497715968799321,0.0,0.0,0.0,events/second
1781368621,139,0.09306881798468503,0.0,0.0,0.0,events/second
1781368651,139,0.09123539663826381,0.0,0.0,0.0,events/second
1781368681,139,0.08947243348991232,0.0,0.0,0.0,events/second
1781368711,139,0.08777672489105115,0.0,0.0,0.0,events/second
