t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,140,6.199259229260093,0.0,0.0,0.0,events/second
1781367180,140,2.660264170882829,0.0,0.0,0.0,events/second
1781367210,140,1.6939584589211951,0.0,0.0,0.0,events/second
1781367240,140,1.2426332683484065,0.0,0.0,0.0,events/second
1781367270,140,0.9812455463892986,0.0,0.0,0.0,events/second
1781367300,140,0.8106323737241385,0.0,0.0,0.0,events/second
1781367330,140,0.6906041901457189,0.0,0.0,0.0,events/second
1781367360,140,0.6015394229974302,0.0,0.0,0.0,events/second
1781367390,140,0.5328259587959931,0.0,0.0,0.0,events/second
1781367420,140,0.4781812257941483,0.0,0.0,0.0,events/second
1781367450,140,0.433672364613728,0.0,0.0,0.0,events/second
1781367480,140,0.39677924300948825,0.0,0.0,0.0,events/second
1781367510,140,0.36567023458828457,0.0,0.0,0.0,events/second
1781367540,140,0.33909339988606463,0.0,0.0,0.0,events/second
1781367570,140,0.3161070621238508,0.0,0.0,0.0,events/second
1781367600,140,0.29604222051972195,0.0,0.0,0.0,events/second
1781367630,140,0.27837365298615635,0.0,0.0,0.0,events/second
1781367660,140,0.26269303235672936,0.0,0.0,0.0,events/second
1781367690,140,0.24868829606926562,0.0,0.0,0.0,events/second
1781367720,140,0.23609978988727554,0.0,0.0,0.0,events/second
1781367750,140,0.22472531458015052,0.0,0.0,0.0,events/second
1781367780,140,0.21439655211826322,0.0,0.0,0.0,events/second
1781367810,140,0.20497296146029859,0.0,0.0,0.0,events/second
1781367840,140,0.19634647208144113,0.0,0.0,0.0,events/second
1781367870,140,0.1884155538556722,0.0,0.0,0.0,events/second
1781367900,140,0.18109971866320404,0.0,0.0,0.0,events/second
1781367930,140,0.1743328991880052,0.0,0.0,0.0,events/second
1781367960,140,0.16805315835994436,0.0,0.0,0.0,events/second
1781367990,140,0.16220753938937585,0.0,0.0,0.0,events/second
1781368020,140,0.15675522611762777,0.0,0.0,0.0,events/second
1781368050,140,0.15165747282921344,0.0,0.0,0.0,events/second
1781368080,140,0.14688243572954202,0.0,0.0,0.0,events/second
1781368110,140,0.14239863790023177,0.0,0.0,0.0,events/second
1781368140,140,0.1381789337522066,0.0,0.0,0.0,events/second
1781368170,140,0.13420354382548108,0.0,0.0,0.0,events/second
1781368200,140,0.13045046721123688,0.0,0.0,0.0,events/second
1781368230,140,0.12690075103827392,0.0,0.0,0.0,events/second
1781368260,140,0.12353938497208176,0.0,0.0,0.0,events/second
1781368290,140,0.1203516925343153,0.0,0.0,0.0,events/second
1781368320,140,0.11732416372632738,0.0,0.0,0.0,events/second
