t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,2,0.08854713237676752,0.0,0.0,0.0,events/second
1781367180,2,0.0380014108745814,0.0,0.0,0.0,events/second
1781367210,2,0.024198448563173377,0.0,0.0,0.0,events/second
1781367240,2,0.01775139366835178,0.0,0.0,0.0,events/second
1781367270,2,0.014017477193818673,0.0,0.0,0.0,events/second
1781367300,2,0.011580246526414005,0.0,0.0,0.0,events/second
1781367330,2,0.009865615576616808,0.0,0.0,0.0,events/second
1781367360,2,0.008593298169081729,0.0,0.0,0.0,events/second
1781367390,2,0.00761170627188342,0.0,0.0,0.0,events/second
1781367420,2,0.006831085687035225,0.0,0.0,0.0,events/second
1781367450,2,0.0061952578574675345,0.0,0.0,0.0,events/second
1781367480,2,0.005668222765940949,0.0,0.0,0.0,events/second
1781367510,2,0.005223816762948675,0.0,0.0,0.0,events/second
1781367540,2,0.004844153921221762,0.0,0.0,0.0,events/second
1781367570,2,0.004515782506549574,0.0,0.0,0.0,events/second
1781367600,2,0.004229145949058652,0.0,0.0,0.0,events/second
1781367630,2,0.003976740872186726,0.0,0.0,0.0,events/second
1781367660,2,0.003752735046074415,0.0,0.0,0.0,events/second
1781367690,2,0.003552669751916396,0.0,0.0,0.0,events/second
1781367720,2,0.003372835855330364,0.0,0.0,0.0,events/second
1781367750,2,0.0032103451250257895,0.0,0.0,0.0,events/second
1781367780,2,0.0030627928941570548,0.0,0.0,0.0,events/second
1781367810,2,0.0029281714303773403,0.0,0.0,0.0,events/second
1781367840,2,0.0028049369616924514,0.0,0.0,0.0,events/second
1781367870,2,0.002691639164039381,0.0,0.0,0.0,events/second
1781367900,2,0.002587128118121143,0.0,0.0,0.0,events/second
1781367930,2,0.0024904600753885824,0.0,0.0,0.0,events/second
1781367960,2,0.0024007501689353276,0.0,0.0,0.0,events/second
1781367990,2,0.0023172418687373974,0.0,0.0,0.0,events/second
1781368020,2,0.002239352354325871,0.0,0.0,0.0,events/second
1781368050,2,0.002166527749304578,0.0,0.0,0.0,events/second
1781368080,2,0.0020983134718914245,0.0,0.0,0.0,events/second
1781368110,2,0.0020342596420052108,0.0,0.0,0.0,events/second
1781368140,2,0.0019739785208538825,0.0,0.0,0.0,events/second
1781368170,2,0.001917187585322037,0.0,0.0,0.0,events/second
1781368200,2,0.0018635725253458235,0.0,0.0,0.0,events/second
