t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,3,0.13282519020168762,0.0,0.0,0.0,events/second
1781367180,3,0.0570036519446622,0.0,0.0,0.0,events/second
1781367210,3,0.03629839292821835,0.0,0.0,0.0,events/second
1781367240,3,0.026627467318762456,0.0,0.0,0.0,events/second
1781367270,3,0.021026452642040463,0.0,0.0,0.0,events/second
1781367300,3,0.017370509129535736,0.0,0.0,0.0,events/second
1781367330,3,0.014798540768183025,0.0,0.0,0.0,events/second
1781367360,3,0.012890034754734724,0.0,0.0,0.0,events/second
1781367390,3,0.011417536247127682,0.0,0.0,0.0,events/second
1781367420,3,0.010246686424238625,0.0,0.0,0.0,events/second
1781367450,3,0.009292928543237145,0.0,0.0,0.0,events/second
1781367480,3,0.008502371310791755,0.0,0.0,0.0,events/second
1781367510,3,0.007835758899465781,0.0,0.0,0.0,events/second
1781367540,3,0.007266260279939914,0.0,0.0,0.0,events/second
1781367570,3,0.006773699041262288,0.0,0.0,0.0,events/second
1781367600,3,0.006343741278525369,0.0,0.0,0.0,events/second
1781367630,3,0.005965129859894792,0.0,0.0,0.0,events/second
1781367660,3,0.005629120011690496,0.0,0.0,0.0,events/second
1781367690,3,0.005329020424943719,0.0,0.0,0.0,events/second
1781367720,3,0.005059267610018919,0.0,0.0,0.0,events/second
1781367750,5,0.008025884097739674,0.0,0.0,0.0,events/second
1781367780,5,0.0076570018340709305,0.0,0.0,0.0,events/second
1781367810,5,0.00732044630740693,0.0,0.0,0.0,events/second
1781367840,5,0.007012358381541145,0.0,0.0,0.0,events/second
1781367870,5,0.006729112878139337,0.0,0.0,0.0,events/second
1781367900,5,0.006467834036537141,0.0,0.0,0.0,events/second
1781367930,5,0.006226163134439798,0.0,0.0,0.0,events/second
1781367960,5,0.00600188731051015,0.0,0.0,0.0,events/second
1781367990,5,0.005793114725113034,0.0,0.0,0.0,events/second
1781368020,5,0.005598391334586315,0.0,0.0,0.0,events/second
1781368050,5,0.005416326905715654,0.0,0.0,0.0,events/second
1781368080,5,0.005245792842770257,0.0,0.0,0.0,events/second
1781368110,5,0.005085657746649528,0.0,0.0,0.0,events/second
1781368140,5,0.004934954288211295,0.0,0.0,0.0,events/second
1781368170,5,0.004792976473962844,0.0,0.0,0.0,events/second
1781368200,5,0.004658938302157326,0.0,0.0,0.0,events/second
1781368230,5,0.0045321631180599165,0.0,0.0,0.0,events/second
1781368260,5,0.004412114734905747,0.0,0.0,0.0,events/second
1781368290,5,0.004298269090690707,0.0,0.0,0.0,events/second
1781368320,5,0.0041901432764895824,0.0,0.0,0.0,events/second
1781368350,5,0.004087345968278286,0.0,0.0,0.0,events/second
1781368380,5,0.003989467196690991,0.0,0.0,0.0,events/second
1781368410,5,0.0038961569567017022,0.0,0.0,0.0,events/second
1781368440,5,0.0038071007124727053,0.0,0.0,0.0,events/second
1781368470,5,0.0037220536839465803,0.0,0.0,0.0,events/second
1781368500,5,0.00364070351912106,0.0,0.0,0.0,events/second
1781368530,5,0.003562854740148121,0.0,0.0,0.0,events/second
1781368560,5,0.0034882701960268435,0.0,0.0,0.0,events/second
1781368590,5,0.003416445668793771,0.0,0.0,0.0,events/second
1781368621,5,0.0033478001871923547,0.0,0.0,0.0,events/second
1781368651,5,0.0032818498748369476,0.0,0.0,0.0,events/second
1781368681,5,0.0032184335104728672,0.0,0.0,0.0,events/second
1781368711,5,0.003157436919988425,0.0,0.0,0.0,events/second
1781368741,5,0.0030986996814849448,0.0,0.0,0.0,events/second
1781368771,5,0.00304211109699193,0.0,0.0,0.0,events/second
1781368801,5,0.002987556791249038,0.0,0.0,0.0,events/second
1781368831,5,0.002934930864163381,0.0,0.0,0.0,events/second
1781368861,5,0.0028841033291520596,0.0,0.0,0.0,events/second
1781368891,5,0.002835026391655599,0.0,0.0,0.0,events/second
1781368921,5,0.002787585538049737,0.0,0.0,0.0,events/second
1781368951,5,0.002741715726705801,0.0,0.0,0.0,events/second
1781368981,5,0.002697315105194697,0.0,0.0,0.0,events/second
1781369011,5,0.0026543394755744352,0.0,0.0,0.0,events/second
1781369041,5,0.0026127050616512565,0.0,0.0,0.0,events/second
1781369071,5,0.0025723677558315604,0.0,0.0,0.0,events/second
1781369101,5,0.002533253807531556,0.0,0.0,0.0,events/second
1781369131,5,0.0024952992556996727,0.0,0.0,0.0,events/second
1781369161,5,0.002458475709262884,0.0,0.0,0.0,events/second
1781369191,5,0.0024227246805563468,0.0,0.0,0.0,events/second
1781369221,5,0.0023880008552206685,0.0,0.0,0.0,events/second
1781369251,5,0.0023542456563443942,0.0,0.0,0.0,events/second
1781369281,5,0.0023214477320114627,0.0,0.0,0.0,events/second
1781369311,5,0.002289552838954222,0.0,0.0,0.0,events/second
1781369341,5,0.0022585168491733643,0.0,0.0,0.0,events/second
1781369371,5,0.002228308763428975,0.0,0.0,0.0,events/second
1781369401,5,0.0021988927964357308,0.0,0.0,0.0,events/second
1781369431,9,0.003906432322046981,0.0,0.0,0.0,events/second
1781369461,9,0.0038562040476306956,0.0,0.0,0.0,events/second
1781369491,9,0.003807244962866844,0.0,0.0,0.0,events/second
1781369521,9,0.003759507311677774,0.0,0.0,0.0,events/second
1781371260,8,0.29129418924203004,0.0,0.0,0.0,events/second
1781371290,8,0.13905915716995756,0.0,0.0,0.0,events/second
1781371320,8,0.09137411527541141,0.0,0.0,0.0,events/second
1781371350,8,0.06803899719421039,0.0,0.0,0.0,events/second
1781371380,8,0.05420527181935512,0.0,0.0,0.0,events/second
1781371410,8,0.045043568828308754,0.0,0.0,0.0,events/second
1781371440,8,0.038531594160767325,0.0,0.0,0.0,events/second
1781371470,8,0.033661907931972865,0.0,0.0,0.0,events/second
1781371500,8,0.029882676990595672,0.0,0.0,0.0,events/second
1781371530,8,0.026869781805035155,0.0,0.0,0.0,events/second
1781371560,8,0.024409432335803803,0.0,0.0,0.0,events/second
1781371590,8,0.022361383978422526,0.0,0.0,0.0,events/second
1781371620,8,0.020630563875306804,0.0,0.0,0.0,events/second
1781371650,8,0.019148453673995713,0.0,0.0,0.0,events/second
1781371680,8,0.017864729672871244,0.0,0.0,0.0,events/second
1781371710,8,0.016742888239830084,0.0,0.0,0.0,events/second
1781371740,8,0.015753169327117664,0.0,0.0,0.0,events/second
1781371770,8,0.014873830358816552,0.0,0.0,0.0,events/second
1781371800,8,0.014087419472379025,0.0,0.0,0.0,events/second
1781371830,8,0.013380105179110183,0.0,0.0,0.0,events/second
1781371860,10,0.015925532333118428,0.0,0.0,0.0,events/second
1781371890,10,0.015198702946824566,0.0,0.0,0.0,events/second
1781371920,13,0.018896249081431712,0.0,0.0,0.0,events/second
1781371950,13,0.01810641701912523,0.0,0.0,0.0,events/second
1781371980,13,0.017379751370263548,0.0,0.0,0.0,events/second
1781372010,13,0.01670918430221147,0.0,0.0,0.0,events/second
1781372040,13,0.016088675621750165,0.0,0.0,0.0,events/second
1781372070,15,0.01789904298469719,0.0,0.0,0.0,events/second
1781372100,15,0.01727993042397755,0.0,0.0,0.0,events/second
1781372130,15,0.016702292697818942,0.0,0.0,0.0,events/second
1781372160,15,0.016162063121784847,0.0,0.0,0.0,events/second
1781372190,15,0.015655730774185906,0.0,0.0,0.0,events/second
1781372220,15,0.015180024284389578,0.0,0.0,0.0,events/second
1781372250,15,0.014732555424994166,0.0,0.0,0.0,events/second
1781372280,15,0.01431075235349925,0.0,0.0,0.0,events/second
1781372580,7,0.2681743777533631,0.0,0.0,0.0,events/second
1781372611,7,0.12421649007089239,0.0,0.0,0.0,events/second
1781372641,7,0.08102993839410699,0.0,0.0,0.0,events/second
1781372671,7,0.06013912895379119,0.0,0.0,0.0,events/second
1781372701,7,0.04781223405661456,0.0,0.0,0.0,events/second
1781372731,7,0.03967652252647036,0.0,0.0,0.0,events/second
1781372761,7,0.03390534941776373,0.0,0.0,0.0,events/second
1781372791,7,0.029599910767939858,0.0,0.0,0.0,events/second
1781372821,7,0.026266968096936436,0.0,0.0,0.0,events/second
1781372851,7,0.023606828458185625,0.0,0.0,0.0,events/second
1781372881,7,0.02143640882462524,0.0,0.0,0.0,events/second
1781373780,9,0.4220535332607799,0.0,0.0,0.0,events/second
1781373810,9,0.1750890085888571,0.0,0.0,0.0,events/second
1781373840,9,0.11053289891562398,0.0,0.0,0.0,events/second
1781373870,9,0.08076045269819501,0.0,0.0,0.0,events/second
1781373900,9,0.06362134520731959,0.0,0.0,0.0,events/second
1781373930,9,0.05248740604932191,0.0,0.0,0.0,events/second
1781373960,9,0.04466488900772352,0.0,0.0,0.0,events/second
1781373990,9,0.0388718291900163,0.0,0.0,0.0,events/second
1781374020,9,0.03441056732035923,0.0,0.0,0.0,events/second
1781374050,9,0.03086660210903117,0.0,0.0,0.0,events/second
1781374080,9,0.02798559685063377,0.0,0.0,0.0,events/second
1781374110,9,0.02559663301388779,0.0,0.0,0.0,events/second
1781374200,8,0.2821240933968708,0.0,0.0,0.0,events/second
1781379210,9,1.7512597784508497,0.0,0.0,0.0,events/second
1781379240,11,0.31249060308797244,0.0,0.0,0.0,events/second
1781379270,11,0.16863261507618044,0.0,0.0,0.0,events/second
1781379300,11,0.11547790651287457,0.0,0.0,0.0,events/second
1781379330,11,0.08780904532199454,0.0,0.0,0.0,events/second
1781379360,11,0.07083247849800589,0.0,0.0,0.0,events/second
1781381160,7,0.6029781140737943,0.0,0.0,0.0,events/second
1781381191,7,0.16697720212074596,0.0,0.0,0.0,events/second
1781381221,9,0.12508305323635785,0.0,0.0,0.0,events/second
1781381251,9,0.0882483013981655,0.0,0.0,0.0,events/second
1781381281,9,0.06817992634381652,0.0,0.0,0.0,events/second
1781381311,9,0.055547153911373,0.0,0.0,0.0,events/second
1781381341,9,0.04686517600952373,0.0,0.0,0.0,events/second
1781381371,9,0.04053186905753486,0.0,0.0,0.0,events/second
1781381401,9,0.03570453096722464,0.0,0.0,0.0,events/second
1781381431,9,0.03190478311570319,0.0,0.0,0.0,events/second
1781381461,9,0.02883662778631725,0.0,0.0,0.0,events/second
1781381491,9,0.026306490121734222,0.0,0.0,0.0,events/second
1781381521,9,0.024183872549710456,0.0,0.0,0.0,events/second
1781381551,9,0.022379117590632512,0.0,0.0,0.0,events/second
1781381581,9,0.020825189623648422,0.0,0.0,0.0,events/second
1781381611,9,0.019472769638534622,0.0,0.0,0.0,events/second
1781381641,9,0.018285183805017254,0.0,0.0,0.0,events/second
1781381671,9,0.017233924248168393,0.0,0.0,0.0,events/second
1781381701,9,0.01629691505112867,0.0,0.0,0.0,events/second
1781381731,9,0.01545660355657808,0.0,0.0,0.0,events/second
1781381761,12,0.019598303096409055,0.0,0.0,0.0,events/second
1781381791,12,0.018682417589162243,0.0,0.0,0.0,events/second
1781381821,14,0.02082301449779494,0.0,0.0,0.0,events/second
1781381851,14,0.019932985595726812,0.0,0.0,0.0,events/second
1781381882,14,0.019115774784743425,0.0,0.0,0.0,events/second
1781381912,14,0.018363282318050823,0.0,0.0,0.0,events/second
1781381942,14,0.017667619764713482,0.0,0.0,0.0,events/second
