t,value
1781371260,5
1781371290,5
1781371320,5
1781371350,5
1781371380,5
1781371410,5
1781371440,5
1781371470,5
1781371500,5
1781371530,5
1781371560,5
1781371590,5
1781371620,5
1781371650,5
1781371680,5
1781371710,5
1781371740,5
1781371770,5
1781371800,5
1781371830,5
1781371860,5
1781371890,5
1781371920,5
1781371950,5
1781371980,5
1781372010,5
1781372040,5
1781372070,5
1781372100,5
1781372130,5
1781372160,5
1781372190,5
1781372220,5
1781372250,5
1781372280,5
1781372580,5
1781372611,5
1781372641,5
1781372671,5
1781372701,5
1781372731,5
1781372761,5
1781372791,5
1781372821,5
1781372851,5
1781372881,5
1781373780,5
1781373810,5
1781373840,5
1781373870,5
1781373900,5
1781373930,5
1781373960,5
1781373990,5
1781374020,5
1781374050,5
1781374080,5
1781374110,5
1781374200,5
1781379210,1
1781379240,5
1781379270,5
1781379300,5
1781379330,5
1781379360,5
1781381160,5
1781381191,5
1781381221,5
1781381251,5
1781381281,5
1781381311,5
1781381341,5
1781381371,5
1781381401,5
1781381431,5
1781381461,5
1781381491,5
1781381521,5
1781381551,5
1781381581,5
1781381611,5
1781381641,5
1781381671,5
1781381701,5
1781381731,5
1781381761,5
1781381791,5
1781381821,5
1781381851,5
1781381882,5
1781381912,5
1781381942,5
1781381972,5
1781382002,5
1781382032,5
1781382062,5
1781382092,5
1781382122,5
1781382152,5
1781382182,5
1781382510,5
1781382541,5
1781382571,5
1781382601,5
1781382631,5
1781382661,5
1781382691,5
1781382721,5
1781382751,5
1781382781,5
1781382811,5
1781382841,5
1781382871,5
1781382901,5
1781382931,5
1781382961,5
1781382991,5
1781383021,5
1781383051,5
1781383081,5
1781383111,5
1781383141,5
1781383171,5
1781383201,5
1781383231,5
1781383261,5
1781383291,5
1781383321,5
1781383351,5
1781383381,5
1781383411,5
1781383441,5
1781383471,5
1781383501,5
1781398740,0
1781398772,5
1781398802,5
1781398832,5
1781398862,5
1781398892,5
1781398922,5
1781398952,5
1781398982,5
1781399012,5
1781399042,5
1781399072,5
1781399102,5
1781399132,5
1781399162,5
1781399192,5
1781399222,5
1781399252,5
1781399282,5
1781399312,5
1781399342,5
1781399372,5
1781399670,5
1781399702,5
1781399732,5
1781399762,5
1781399792,5
1781399822,5
1781399852,5
1781399882,5
1781399912,5
1781399942,5
1781399972,5
1781400002,5
1781400032,5
1781400062,5
1781400092,5
1781400122,5
1781400152,5
1781400182,5
1781400212,5
1781400242,5
1781400272,5
1781400302,5
1781400332,5
1781400362,5
1781400392,5
1781400422,5
1781400452,5
1781400482,5
1781400512,5
1781400542,5
1781400572,5
1781400602,5
1781400632,5
1781400662,5
1781400693,5
1781400723,5
1781400753,5
1781400783,5
1781400813,5
1781400843,5
1781400873,5
1781400903,5
1781400933,5
1781400963,5
1781400993,5
1781401023,5
1781401053,5
1781401083,5
1781401113,5
1781401143,5
1781401173,5
1781401203,5
1781401233,5
1781401263,5
1781401293,5
1781401323,5
1781401353,5
1781401383,5
1781401413,5
1781401443,5
1781401473,5
1781401503,5
1781401533,5
1781401563,5
1781401593,5
1781401623,5
1781401653,5
1781401683,5
1781401713,5
1781401743,5
1781401773,5
1781401803,5
1781401833,5
1781401863,5
1781401893,5
1781401923,5
1781401953,5
1781401983,5
1781402013,5
1781402043,5
1781402073,5
1781402103,5
1781402133,5
1781402163,5
1781402193,5
1781402223,5
1781402253,5
1781402283,5
1781402313,5
1781402343,5
1781402373,5
1781402403,5
1781402433,5
1781402463,5
1781402493,5
1781402523,5
1781402700,5
1781402732,5
1781402762,5
1781402792,5
1781402822,5
1781402852,5
1781402882,5
1781402913,5
1781402943,5
1781402973,5
1781403003,5
1781403033,5
1781403063,5
1781403093,5
1781403123,5
1781403153,5
1781403183,5
1781403213,5
1781403243,5
1781403273,5
1781403303,5
1781403333,5
1781403363,5
1781403393,5
1781403423,5
1781403453,5
1781403483,5
1781403513,5
1781403543,5
1781403573,5
1781403603,5
1781403633,5
1781403663,5
1781403693,5
1781403723,5
1781403753,5
1781403783,5
1781444820,5
1781444851,5
1781444881,5
1781444911,5
1781444941,5
1781444971,5
1781445001,5
1781445031,5
1781445061,5
1781445091,5
1781445121,5
1781445152,5
