t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,5,0.18878007236347938,0.0,0.0,0.0,events/second
1781371290,5,0.08842441438261159,0.0,0.0,0.0,events/second
1781371320,5,0.05775793425652306,0.0,0.0,0.0,events/second
1781371350,5,0.04288327338770601,0.0,0.0,0.0,events/second
1781371380,5,0.034105747013183745,0.0,0.0,0.0,events/second
1781371410,5,0.02830902894680306,0.0,0.0,0.0,events/second
1781371440,5,0.024196900083155407,0.0,0.0,0.0,events/second
1781371470,5,0.021125278342442384,0.0,0.0,0.0,events/second
1781371500,5,0.018745232637454715,0.0,0.0,0.0,events/second
1781371530,5,0.01684931095079853,0.0,0.0,0.0,events/second
1781371560,5,0.015301764386254238,0.0,0.0,0.0,events/second
1781371590,5,0.01401436739154844,0.0,0.0,0.0,events/second
1781371620,5,0.012926913158851376,0.0,0.0,0.0,events/second
1781371650,5,0.011996044287122018,0.0,0.0,0.0,events/second
1781371680,5,0.011190050919997724,0.0,0.0,0.0,events/second
1781371710,5,0.01048589643804286,0.0,0.0,0.0,events/second
1781371740,5,0.009864839509721123,0.0,0.0,0.0,events/second
1781371770,5,0.009313186194627501,0.0,0.0,0.0,events/second
1781371800,5,0.008819917799657344,0.0,0.0,0.0,events/second
1781371830,5,0.008376355633290698,0.0,0.0,0.0,events/second
1781371860,5,0.00797526831906201,0.0,0.0,0.0,events/second
1781371890,5,0.007610735767804245,0.0,0.0,0.0,events/second
1781371920,5,0.007278200513390057,0.0,0.0,0.0,events/second
1781371950,5,0.006973566307229561,0.0,0.0,0.0,events/second
1781371980,5,0.006693327244843696,0.0,0.0,0.0,events/second
1781372010,5,0.006434750458645623,0.0,0.0,0.0,events/second
1781372040,5,0.0061954989039774595,0.0,0.0,0.0,events/second
1781372070,5,0.005973362100178672,0.0,0.0,0.0,events/second
1781372100,5,0.0057665141014494985,0.0,0.0,0.0,events/second
1781372130,5,0.00557353926057086,0.0,0.0,0.0,events/second
1781372160,5,0.005393071509167415,0.0,0.0,0.0,events/second
1781372190,5,0.005223939875477739,0.0,0.0,0.0,events/second
1781372220,5,0.005065052318199256,0.0,0.0,0.0,events/second
1781372250,5,0.004915603872260816,0.0,0.0,0.0,events/second
1781372280,5,0.0047747342180962955,0.0,0.0,0.0,events/second
1781372580,5,0.20401997032341834,0.0,0.0,0.0,events/second
1781372611,5,0.09140012495201401,0.0,0.0,0.0,events/second
1781372641,5,0.059004039985376344,0.0,0.0,0.0,events/second
1781372671,5,0.04357373964788166,0.0,0.0,0.0,events/second
1781372701,5,0.034540544021816624,0.0,0.0,0.0,events/second
1781372731,5,0.02860764357593144,0.0,0.0,0.0,events/second
1781372761,5,0.024413057726252078,0.0,0.0,0.0,events/second
1781372791,5,0.021291223812050206,0.0,0.0,0.0,events/second
1781372821,5,0.01887891078628663,0.0,0.0,0.0,events/second
1781372851,5,0.016956230918095703,0.0,0.0,0.0,events/second
1781372881,5,0.015389421415689787,0.0,0.0,0.0,events/second
1781373780,5,0.2635695168000607,0.0,0.0,0.0,events/second
1781373810,5,0.10196512678055303,0.0,0.0,0.0,events/second
1781373840,5,0.06324501185136894,0.0,0.0,0.0,events/second
1781373870,5,0.04584026368595865,0.0,0.0,0.0,events/second
1781373900,5,0.03594645224375929,0.0,0.0,0.0,events/second
1781373930,5,0.029567702560304086,0.0,0.0,0.0,events/second
1781373960,5,0.02510863602898846,0.0,0.0,0.0,events/second
1781373990,5,0.021818437980924876,0.0,0.0,0.0,events/second
1781374020,5,0.019291508389116332,0.0,0.0,0.0,events/second
1781374050,5,0.017288377400656436,0.0,0.0,0.0,events/second
1781374080,5,0.015662801564642705,0.0,0.0,0.0,events/second
1781374110,5,0.014316698554263672,0.0,0.0,0.0,events/second
1781374200,5,0.18752347090642732,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,5,0.14896735516567708,0.0,0.0,0.0,events/second
1781379270,5,0.07862372181533381,0.0,0.0,0.0,events/second
1781379300,5,0.05340752353300783,0.0,0.0,0.0,events/second
1781379330,5,0.040441531615629585,0.0,0.0,0.0,events/second
1781379360,5,0.032539519477435934,0.0,0.0,0.0,events/second
1781381160,5,0.507461629532164,0.0,0.0,0.0,events/second
1781381191,5,0.1246228992074866,0.0,0.0,0.0,events/second
1781381221,5,0.07127312321954839,0.0,0.0,0.0,events/second
1781381251,5,0.049908249522518044,0.0,0.0,0.0,events/second
1781381281,5,0.03840153594346822,0.0,0.0,0.0,events/second
1781381311,5,0.031206442554587,0.0,0.0,0.0,events/second
1781381341,5,0.026282713909366925,0.0,0.0,0.0,events/second
1781381371,5,0.022701850812928553,0.0,0.0,0.0,events/second
1781381401,5,0.01997859309732496,0.0,0.0,0.0,events/second
1781381431,5,0.017838783111483587,0.0,0.0,0.0,events/second
1781381461,5,0.016113341133249626,0.0,0.0,0.0,events/second
1781381491,5,0.01469206226888914,0.0,0.0,0.0,events/second
1781381521,5,0.013500821409550747,0.0,0.0,0.0,events/second
1781381551,5,0.01248878034200513,0.0,0.0,0.0,events/second
1781381581,5,0.011617972472799382,0.0,0.0,0.0,events/second
1781381611,5,0.010860527148084257,0.0,0.0,0.0,events/second
1781381641,5,0.010195746364469889,0.0,0.0,0.0,events/second
1781381671,5,0.009607536715646868,0.0,0.0,0.0,events/second
1781381701,5,0.009083460082209463,0.0,0.0,0.0,events/second
1781381731,5,0.008613636542251862,0.0,0.0,0.0,events/second
1781381761,5,0.008190052345189663,0.0,0.0,0.0,events/second
1781381791,5,0.007806230491845544,0.0,0.0,0.0,events/second
1781381821,5,0.007456765962879611,0.0,0.0,0.0,events/second
1781381851,5,0.0071372268914632235,0.0,0.0,0.0,events/second
1781381882,5,0.006843892543678529,0.0,0.0,0.0,events/second
1781381912,5,0.006573842989529662,0.0,0.0,0.0,events/second
1781381942,5,0.006324236230373233,0.0,0.0,0.0,events/second
1781381972,5,0.0060929162177743145,0.0,0.0,0.0,events/second
1781382002,5,0.005877943513335028,0.0,0.0,0.0,events/second
1781382032,5,0.00567763643161202,0.0,0.0,0.0,events/second
1781382062,5,0.005490472067021859,0.0,0.0,0.0,events/second
1781382092,5,0.005315207760506084,0.0,0.0,0.0,events/second
1781382122,5,0.0051508543434166665,0.0,0.0,0.0,events/second
1781382152,5,0.0049963479594298385,0.0,0.0,0.0,events/second
1781382182,5,0.0048508504350225495,0.0,0.0,0.0,events/second
1781382510,5,0.43915309080512505,0.0,0.0,0.0,events/second
1781382541,5,0.12028499682419944,0.0,0.0,0.0,events/second
1781382571,5,0.06985211614080002,0.0,0.0,0.0,events/second
1781382601,5,0.04920328108655377,0.0,0.0,0.0,events/second
1781382631,5,0.037981335499247856,0.0,0.0,0.0,events/second
1781382661,5,0.03093061518452343,0.0,0.0,0.0,events/second
1781382691,5,0.026086217238342594,0.0,0.0,0.0,events/second
1781382721,5,0.02255386042073817,0.0,0.0,0.0,events/second
1781382751,5,0.01986345452174589,0.0,0.0,0.0,events/second
1781382781,5,0.01774702142927956,0.0,0.0,0.0,events/second
1781382811,5,0.0160386121812745,0.0,0.0,0.0,events/second
1781382841,5,0.014630323124014417,0.0,0.0,0.0,events/second
1781382871,5,0.013449184414209074,0.0,0.0,0.0,events/second
1781382901,5,0.012444471650603675,0.0,0.0,0.0,events/second
1781382931,5,0.011579657229931772,0.0,0.0,0.0,events/second
1781382961,5,0.010826993781469132,0.0,0.0,0.0,events/second
1781382991,5,0.010166137948095828,0.0,0.0,0.0,events/second
1781383021,5,0.009581464148331071,0.0,0.0,0.0,events/second
1781383051,5,0.009060274213341424,0.0,0.0,0.0,events/second
1781383081,5,0.008592987763451203,0.0,0.0,0.0,events/second
