t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,1,0.03775232345825296,0.0,0.0,0.0,events/second
1781371290,1,0.01768492681872057,0.0,0.0,0.0,events/second
1781371320,1,0.011551524588928717,0.0,0.0,0.0,events/second
1781371350,1,0.008576668830317206,0.0,0.0,0.0,events/second
1781371380,1,0.006821160746201316,0.0,0.0,0.0,events/second
1781371410,1,0.005661810203481422,0.0,0.0,0.0,events/second
1781371440,1,0.004839380295324325,0.0,0.0,0.0,events/second
1781371470,1,0.004225051544889463,0.0,0.0,0.0,events/second
1781371500,1,0.00374904873839878,0.0,0.0,0.0,events/second
1781371530,1,0.003369850695684884,0.0,0.0,0.0,events/second
1781371560,1,0.0030603521429754606,0.0,0.0,0.0,events/second
1781371590,1,0.0028028757880049137,0.0,0.0,0.0,events/second
1781371620,1,0.002585384538106477,0.0,0.0,0.0,events/second
1781371650,1,0.002399210474918577,0.0,0.0,0.0,events/second
1781371680,1,0.0022380116290074224,0.0,0.0,0.0,events/second
1781371710,1,0.002097179753373922,0.0,0.0,0.0,events/second
1781371740,1,0.0019729683842377725,0.0,0.0,0.0,events/second
1781371770,1,0.0018626382117506708,0.0,0.0,0.0,events/second
1781371800,1,0.001763984419988631,0.0,0.0,0.0,events/second
1781371830,1,0.0016752720573051144,0.0,0.0,0.0,events/second
1781371860,1,0.001595054514592062,0.0,0.0,0.0,events/second
1781371890,1,0.0015221477432202605,0.0,0.0,0.0,events/second
1781371920,1,0.001455640722453047,0.0,0.0,0.0,events/second
1781371950,1,0.0013947138228380968,0.0,0.0,0.0,events/second
1781371980,1,0.001338665964713786,0.0,0.0,0.0,events/second
1781372010,1,0.0012869506382887344,0.0,0.0,0.0,events/second
1781372040,1,0.0012391002185291396,0.0,0.0,0.0,events/second
1781372070,1,0.001194672747587907,0.0,0.0,0.0,events/second
1781372100,1,0.001153303096686283,0.0,0.0,0.0,events/second
1781372130,1,0.0011147082168096415,0.0,0.0,0.0,events/second
1781372160,1,0.0010786144163129222,0.0,0.0,0.0,events/second
1781372190,1,0.0010447879682185818,0.0,0.0,0.0,events/second
1781372220,1,0.001013010676574362,0.0,0.0,0.0,events/second
1781372250,1,9.831209335424437E-4,0.0,0.0,0.0,events/second
1781372280,1,9.549471423654826E-4,0.0,0.0,0.0,events/second
1781372580,1,0.04078430618919017,0.0,0.0,0.0,events/second
1781372611,1,0.018280339907565096,0.0,0.0,0.0,events/second
1781372641,1,0.01180086964738736,0.0,0.0,0.0,events/second
1781372671,1,0.008714822061909138,0.0,0.0,0.0,events/second
1781372701,1,0.006908152250715552,0.0,0.0,0.0,events/second
1781372731,1,0.005721557254478276,0.0,0.0,0.0,events/second
1781372761,1,0.004882633742678031,0.0,0.0,0.0,events/second
1781372791,1,0.004258261758209274,0.0,0.0,0.0,events/second
1781372821,1,0.003775795212007807,0.0,0.0,0.0,events/second
1781372851,1,0.0033912558510095993,0.0,0.0,0.0,events/second
1781372881,1,0.003077892841405712,0.0,0.0,0.0,events/second
1781373780,1,0.052717637716327814,0.0,0.0,0.0,events/second
1781373810,1,0.020395640175743197,0.0,0.0,0.0,events/second
1781373840,1,0.012649928486222537,0.0,0.0,0.0,events/second
1781373870,1,0.009168589498672034,0.0,0.0,0.0,events/second
1781373900,1,0.007189618214305321,0.0,0.0,0.0,events/second
1781373930,1,0.005913762855937943,0.0,0.0,0.0,events/second
1781373960,1,0.005021883870876946,0.0,0.0,0.0,events/second
1781373990,1,0.004363808613794175,0.0,0.0,0.0,events/second
1781374020,1,0.0038583961364150924,0.0,0.0,0.0,events/second
1781374050,1,0.00345774773602022,0.0,0.0,0.0,events/second
1781374080,1,0.0031326231395366446,0.0,0.0,0.0,events/second
1781374110,1,0.002863391845786466,0.0,0.0,0.0,events/second
1781374200,1,0.037487445641891756,0.0,0.0,0.0,events/second
1781379210,1,0.2847224996289354,0.0,0.0,0.0,events/second
1781379240,1,0.029794044111589885,0.0,0.0,0.0,events/second
1781379270,1,0.015724853458282263,0.0,0.0,0.0,events/second
1781379300,1,0.010681572319455608,0.0,0.0,0.0,events/second
1781379330,1,0.008088344600958156,0.0,0.0,0.0,events/second
1781379360,1,0.0065079314503440665,0.0,0.0,0.0,events/second
1781381160,1,0.10133668149729,0.0,0.0,0.0,events/second
1781381191,1,0.02492486368685518,0.0,0.0,0.0,events/second
1781381221,1,0.014254652867657125,0.0,0.0,0.0,events/second
1781381251,1,0.009981691332216165,0.0,0.0,0.0,events/second
1781381281,1,0.0076803223661092304,0.0,0.0,0.0,events/second
1781381311,1,0.006241308396835562,0.0,0.0,0.0,events/second
1781381341,1,0.005256556868318314,0.0,0.0,0.0,events/second
1781381371,1,0.004540380175294453,0.0,0.0,0.0,events/second
1781381401,1,0.003995724522017877,0.0,0.0,0.0,events/second
1781381431,1,0.0035677632031435977,0.0,0.0,0.0,events/second
1781381461,1,0.0032226735710836588,0.0,0.0,0.0,events/second
1781381491,1,0.0029384163357497367,0.0,0.0,0.0,events/second
1781381521,1,0.002700168029431345,0.0,0.0,0.0,events/second
1781381551,1,0.0024977595565108014,0.0,0.0,0.0,events/second
