t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,5,0.18875093074971463,0.0,0.0,0.0,events/second
1781371290,5,0.08842426441680393,0.0,0.0,0.0,events/second
1781371320,5,0.05775746335357104,0.0,0.0,0.0,events/second
1781371350,5,0.042883264560627174,0.0,0.0,0.0,events/second
1781371380,5,0.034105760250427414,0.0,0.0,0.0,events/second
1781371410,5,0.028309016973875393,0.0,0.0,0.0,events/second
1781371440,5,0.024196870316881766,0.0,0.0,0.0,events/second
1781371470,5,0.021125194799646287,0.0,0.0,0.0,events/second
1781371500,5,0.018745229496084544,0.0,0.0,0.0,events/second
1781371530,5,0.016849238937215075,0.0,0.0,0.0,events/second
1781371560,5,0.015301747822926079,0.0,0.0,0.0,events/second
1781371590,5,0.014014372608000607,0.0,0.0,0.0,events/second
1781371620,5,0.012926917102532557,0.0,0.0,0.0,events/second
1781371650,5,0.011996047608452149,0.0,0.0,0.0,events/second
1781371680,5,0.011190053544551682,0.0,0.0,0.0,events/second
1781371710,5,0.010485893255974368,0.0,0.0,0.0,events/second
1781371740,5,0.009864827214951948,0.0,0.0,0.0,events/second
1781371770,5,0.009313188127093442,0.0,0.0,0.0,events/second
1781371800,5,0.008819919392816287,0.0,0.0,0.0,events/second
1781371830,5,0.008376358306514564,0.0,0.0,0.0,events/second
1781371860,5,0.00797527078438888,0.0,0.0,0.0,events/second
1781371890,5,0.007610736582205915,0.0,0.0,0.0,events/second
1781371920,5,0.007278201884310922,0.0,0.0,0.0,events/second
1781371950,5,0.006973567490899224,0.0,0.0,0.0,events/second
1781371980,5,0.006693328340667276,0.0,0.0,0.0,events/second
1781372010,5,0.00643475200971526,0.0,0.0,0.0,events/second
1781372040,5,0.0061954998351784535,0.0,0.0,0.0,events/second
1781372070,5,0.0059733623485188235,0.0,0.0,0.0,events/second
1781372100,5,0.005766514139357561,0.0,0.0,0.0,events/second
1781372130,5,0.005573540078184405,0.0,0.0,0.0,events/second
1781372160,5,0.005393070569714963,0.0,0.0,0.0,events/second
1781372190,5,0.005223938370186715,0.0,0.0,0.0,events/second
1781372220,5,0.0050650521468254975,0.0,0.0,0.0,events/second
1781372250,5,0.0049156038983570296,0.0,0.0,0.0,events/second
1781372280,5,0.00477473505980181,0.0,0.0,0.0,events/second
1781372580,5,0.2037776147502519,0.0,0.0,0.0,events/second
1781372611,5,0.09140088466952832,0.0,0.0,0.0,events/second
1781372641,5,0.05900386918462217,0.0,0.0,0.0,events/second
1781372671,5,0.04357393050310511,0.0,0.0,0.0,events/second
1781372701,5,0.03454062398015785,0.0,0.0,0.0,events/second
1781372731,5,0.02860770456302609,0.0,0.0,0.0,events/second
1781372761,5,0.024413108374215144,0.0,0.0,0.0,events/second
1781372791,5,0.021291264111937682,0.0,0.0,0.0,events/second
1781372821,5,0.018878940489815494,0.0,0.0,0.0,events/second
1781372851,5,0.01695624835294846,0.0,0.0,0.0,events/second
1781372881,5,0.01538943636942148,0.0,0.0,0.0,events/second
1781373780,5,0.2634528051935695,0.0,0.0,0.0,events/second
1781373810,5,0.10196610721643182,0.0,0.0,0.0,events/second
1781373840,5,0.0632443457897862,0.0,0.0,0.0,events/second
1781373870,5,0.04584053522140058,0.0,0.0,0.0,events/second
1781373900,5,0.035946602288545036,0.0,0.0,0.0,events/second
1781373930,5,0.029567811789381997,0.0,0.0,0.0,events/second
1781373960,5,0.02510868664110295,0.0,0.0,0.0,events/second
1781373990,5,0.021818495430094533,0.0,0.0,0.0,events/second
1781374020,5,0.019291552438346262,0.0,0.0,0.0,events/second
1781374050,5,0.01728838079004694,0.0,0.0,0.0,events/second
1781374080,5,0.015662833780571664,0.0,0.0,0.0,events/second
1781374110,5,0.014316723552187221,0.0,0.0,0.0,events/second
1781374200,5,0.18729564850738087,0.0,0.0,0.0,events/second
1781379210,0,0.0,0.0,0.0,0.0,events/second
1781379240,5,0.1489686404952938,0.0,0.0,0.0,events/second
1781379270,5,0.07862378462135064,0.0,0.0,0.0,events/second
1781379300,5,0.05340764624197055,0.0,0.0,0.0,events/second
1781379330,5,0.04044159841027377,0.0,0.0,0.0,events/second
1781379360,5,0.03253958398089817,0.0,0.0,0.0,events/second
1781381160,5,0.5059169568277485,0.0,0.0,0.0,events/second
1781381191,5,0.12462257958306336,0.0,0.0,0.0,events/second
1781381221,5,0.07127285866152089,0.0,0.0,0.0,events/second
1781381251,5,0.04990829356049089,0.0,0.0,0.0,events/second
1781381281,5,0.03840146627980763,0.0,0.0,0.0,events/second
1781381311,5,0.03120648160570235,0.0,0.0,0.0,events/second
1781381341,5,0.02628274196892315,0.0,0.0,0.0,events/second
1781381371,5,0.022701868871648944,0.0,0.0,0.0,events/second
