t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,5,0.18872371286275907,0.0,0.0,0.0,events/second
1781371290,5,0.08842310818030558,0.0,0.0,0.0,events/second
1781371320,5,0.057756957498399236,0.0,0.0,0.0,events/second
1781371350,5,0.04288299695474545,0.0,0.0,0.0,events/second
1781371380,5,0.03410560535903505,0.0,0.0,0.0,events/second
1781371410,5,0.028308900771288288,0.0,0.0,0.0,events/second
1781371440,5,0.0241967778685956,0.0,0.0,0.0,events/second
1781371470,5,0.02112510494725043,0.0,0.0,0.0,events/second
1781371500,5,0.01874517851748631,0.0,0.0,0.0,events/second
1781371530,5,0.01684919293469465,0.0,0.0,0.0,events/second
1781371560,5,0.015301706787048695,0.0,0.0,0.0,events/second
1781371590,5,0.014014346667187984,0.0,0.0,0.0,events/second
1781371620,5,0.012926894252609846,0.0,0.0,0.0,events/second
1781371650,5,0.011996028391388105,0.0,0.0,0.0,events/second
1781371680,5,0.01119003685561505,0.0,0.0,0.0,events/second
1781371710,5,0.010485876312096918,0.0,0.0,0.0,events/second
1781371740,5,0.009864811627089356,0.0,0.0,0.0,events/second
1781371770,5,0.009313176482003385,0.0,0.0,0.0,events/second
1781371800,5,0.008819908852151353,0.0,0.0,0.0,events/second
1781371830,5,0.008376349366306421,0.0,0.0,0.0,events/second
1781371860,5,0.007975262692576104,0.0,0.0,0.0,events/second
1781371890,5,0.00761072863861129,0.0,0.0,0.0,events/second
1781371920,5,0.007278194815704394,0.0,0.0,0.0,events/second
1781371950,5,0.006973561012330909,0.0,0.0,0.0,events/second
1781371980,5,0.006693322410859253,0.0,0.0,0.0,events/second
1781372010,5,0.00643474671885666,0.0,0.0,0.0,events/second
1781372040,5,0.006195494735455421,0.0,0.0,0.0,events/second
1781372070,5,0.005973357356029396,0.0,0.0,0.0,events/second
1781372100,5,0.005766509380237165,0.0,0.0,0.0,events/second
1781372130,5,0.005573535965888918,0.0,0.0,0.0,events/second
1781372160,5,0.005393066107465711,0.0,0.0,0.0,events/second
1781372190,5,0.0052239340426163,0.0,0.0,0.0,events/second
1781372220,5,0.005065048446899687,0.0,0.0,0.0,events/second
1781372250,5,0.004915600727185736,0.0,0.0,0.0,events/second
1781372280,5,0.004774732145295138,0.0,0.0,0.0,events/second
1781372580,5,0.20369601614061159,0.0,0.0,0.0,events/second
1781372611,5,0.09139806774650353,0.0,0.0,0.0,events/second
1781372641,5,0.05900246096904603,0.0,0.0,0.0,events/second
1781372671,5,0.04357329821139585,0.0,0.0,0.0,events/second
1781372701,5,0.03454019622762131,0.0,0.0,0.0,events/second
1781372731,5,0.02860742609669397,0.0,0.0,0.0,events/second
1781372761,5,0.024412906010099957,0.0,0.0,0.0,events/second
1781372791,5,0.02129111058332908,0.0,0.0,0.0,events/second
1781372821,5,0.018878818746571865,0.0,0.0,0.0,events/second
1781372851,5,0.01695614748776132,0.0,0.0,0.0,events/second
1781372881,5,0.015389354382403901,0.0,0.0,0.0,events/second
1781373780,5,0.263388562122015,0.0,0.0,0.0,events/second
1781373810,5,0.10196333979492012,0.0,0.0,0.0,events/second
1781373840,5,0.06324304114651579,0.0,0.0,0.0,events/second
1781373870,5,0.04583999152334211,0.0,0.0,0.0,events/second
1781373900,5,0.03594626012830632,0.0,0.0,0.0,events/second
1781373930,5,0.029567586005882232,0.0,0.0,0.0,events/second
1781373960,5,0.025108511340471817,0.0,0.0,0.0,events/second
1781373990,5,0.021818370220998768,0.0,0.0,0.0,events/second
1781374020,5,0.019291454529939234,0.0,0.0,0.0,events/second
1781374050,5,0.017288292092466382,0.0,0.0,0.0,events/second
1781374080,5,0.015662766404978698,0.0,0.0,0.0,events/second
1781374110,5,0.014316669768635645,0.0,0.0,0.0,events/second
1781374200,5,0.18721845246635074,0.0,0.0,0.0,events/second
1781379210,1,0.28416457391298167,0.0,0.0,0.0,events/second
1781379240,5,0.14896240578861475,0.0,0.0,0.0,events/second
1781379270,5,0.0786218282857695,0.0,0.0,0.0,events/second
1781379300,5,0.05340682722309152,0.0,0.0,0.0,events/second
1781379330,5,0.04044112002548968,0.0,0.0,0.0,events/second
1781379360,5,0.0325392889103551,0.0,0.0,0.0,events/second
1781381160,5,0.505311352895856,0.0,0.0,0.0,events/second
1781381191,5,0.12461969806740769,0.0,0.0,0.0,events/second
1781381221,5,0.07127187115812096,0.0,0.0,0.0,events/second
1781381251,5,0.04990783395533883,0.0,0.0,0.0,events/second
1781381281,5,0.03840115058449009,0.0,0.0,0.0,events/second
1781381311,5,0.03120630475654442,0.0,0.0,0.0,events/second
1781381341,5,0.026282616785910134,0.0,0.0,0.0,events/second
1781381371,5,0.022701774723361746,0.0,0.0,0.0,events/second
1781381401,5,0.01997850170969105,0.0,0.0,0.0,events/second
1781381431,5,0.017838739330583112,0.0,0.0,0.0,events/second
1781381461,5,0.016113304882427543,0.0,0.0,0.0,events/second
1781381491,5,0.014692026972087385,0.0,0.0,0.0,events/second
