t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781371260,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371290,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371320,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371350,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371380,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371410,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371440,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371470,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371500,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371530,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371560,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371590,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371620,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371650,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371680,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371710,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371740,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371770,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371800,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371830,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371860,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371890,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371920,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371950,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781371980,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372010,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372040,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372070,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372100,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372130,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372160,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372190,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372220,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372250,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372280,5,2172,600.8,62,897.6690370064014,187.0,1344.5,2172.0,2172.0,2172.0,2172.0
1781372580,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372611,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372641,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372671,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372701,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372731,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372761,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372791,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
1781372821,5,2696,659.0,49,1146.9291608464753,113.0,1539.5,2696.0,2696.0,2696.0,2696.0
