t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781371260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371320,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371350,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371380,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371410,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371440,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371470,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371500,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371530,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371560,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371590,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371620,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371650,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371680,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371710,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371740,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371770,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371800,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371830,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371860,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371890,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371920,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371950,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781371980,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372010,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372040,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372070,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372100,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372130,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372160,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372190,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372220,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372250,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372280,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372580,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372611,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372641,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372671,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372701,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372731,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372761,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372791,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372821,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372851,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781372881,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373780,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373810,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373840,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373870,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373900,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373930,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373960,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781373990,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374020,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374050,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374080,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374110,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781374200,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379210,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379240,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379270,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379300,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379330,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781379360,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381160,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381191,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381221,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381251,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381281,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381311,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381341,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381371,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381401,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381431,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381461,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381491,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381521,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381551,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381581,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381611,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381641,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381671,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381701,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381731,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381761,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381791,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381821,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381851,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381882,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381912,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
