t,value
1781371260,919029
1781371290,919029
1781371320,919029
1781371350,919029
1781371380,919029
1781371410,919029
1781371440,919029
1781371470,919029
1781371500,919029
1781371530,919029
1781371560,919029
1781371590,919029
1781371620,919029
1781371650,919029
1781371680,919029
1781371710,919029
1781371740,919029
1781371770,919029
1781371800,919029
1781371830,919029
1781371860,919071
1781371890,919071
1781371920,919071
1781371950,919071
1781371980,919071
1781372010,919071
1781372040,919071
1781372070,919071
1781372100,919071
1781372130,919071
1781372160,919071
1781372190,919071
1781372220,919071
1781372250,919071
1781372280,919071
1781372580,919071
1781372611,919071
1781372641,919071
1781372671,919071
1781372701,919071
1781372731,919071
1781372761,919071
1781372791,919071
1781372821,919071
1781372851,919071
1781372881,919071
1781373780,919071
1781373810,919071
1781373840,919071
1781373870,919071
1781373900,919071
1781373930,919071
1781373960,919071
1781373990,919071
1781374020,919071
1781374050,919071
1781374080,919071
1781374110,919071
1781374200,919071
1781379210,919071
1781379240,919071
1781379270,919071
1781379300,919071
1781379330,919071
1781379360,919071
1781381160,919071
1781381191,919071
1781381221,919071
1781381251,919071
1781381281,919071
1781381311,919071
1781381341,919071
1781381371,919071
1781381401,919071
1781381431,919071
1781381461,919071
1781381491,919071
1781381521,919071
1781381551,919071
1781381581,919071
1781381611,919071
1781381641,919071
1781381671,919071
1781381701,919071
1781381731,919071
1781381761,919071
1781381791,919071
1781381821,919071
1781381851,919071
1781381882,919071
1781381912,919071
1781381942,919071
1781381972,919071
1781382002,919071
1781382032,919071
1781382062,919071
1781382092,919071
1781382122,919071
1781382152,919071
1781382182,919071
1781382510,919071
1781382541,919071
1781382571,919071
1781382601,919071
1781382631,919071
1781382661,919071
1781382691,919071
1781382721,919071
1781382751,919071
1781382781,919071
1781382811,919071
1781382841,919071
1781382871,919071
1781382901,919071
1781382931,919071
1781382961,919071
1781382991,919071
1781383021,919071
1781383051,919071
1781383081,919071
1781383111,919071
1781383141,919071
1781383171,919071
1781383201,919071
1781383231,919071
1781383261,919071
1781383291,919071
1781383321,919071
1781383351,919071
1781383381,919071
1781383411,919071
1781383441,919071
1781383471,919071
1781383501,919071
1781398740,919071
1781398772,919071
1781398802,919071
1781398832,919071
1781398862,919071
1781398892,919071
1781398922,919071
1781398952,919071
1781398982,919071
1781399012,919071
1781399042,919071
1781399072,919071
1781399102,919071
1781399132,919071
1781399162,919071
1781399192,919071
1781399222,919071
1781399252,919071
1781399282,919071
1781399312,919071
1781399342,919071
1781399372,919071
1781399670,919071
1781399702,919071
1781399732,919071
1781399762,919071
1781399792,919071
1781399822,919071
1781399852,919071
1781399882,919071
1781399912,919071
1781399942,919071
1781399972,919071
1781400002,919071
1781400032,919071
1781400062,919071
1781400092,919071
1781400122,919071
1781400152,919071
1781400182,919071
1781400212,919071
1781400242,919071
1781400272,919071
1781400302,919071
1781400332,919071
1781400362,919071
1781400392,919071
1781400422,919071
1781400452,919071
1781400482,919071
1781400512,919071
1781400542,919071
1781400572,919071
1781400602,919071
1781400632,919071
1781400662,919071
1781400693,919071
1781400723,919071
1781400753,919071
1781400783,919071
1781400813,919071
1781400843,919071
1781400873,919071
1781400903,919071
1781400933,919071
1781400963,919071
1781400993,919071
1781401023,919071
1781401053,919071
1781401083,919071
1781401113,919071
1781401143,919071
1781401173,919071
1781401203,919071
1781401233,919071
1781401263,919071
1781401293,919071
1781401323,919071
1781401353,919071
1781401383,919071
1781401413,919071
1781401443,919071
1781401473,919071
1781401503,919071
1781401533,919071
1781401563,919071
1781401593,919071
1781401623,919071
1781401653,919071
1781401683,919071
1781401713,919071
1781401743,919071
1781401773,919071
1781401803,919071
1781401833,919071
1781401863,919071
1781401893,919071
1781401923,919071
1781401953,919071
1781401983,919071
1781402013,919071
1781402043,919071
1781402073,919071
1781402103,919071
1781402133,919071
1781402163,919071
1781402193,919071
1781402223,919071
1781402253,919071
1781402283,919071
1781402313,919071
1781402343,919071
1781402373,919071
1781402403,919071
1781402433,919071
1781402463,919071
1781402493,919071
1781402523,919071
1781402700,919071
1781402732,919071
1781402762,919071
1781402792,919071
1781402822,919071
1781402852,919071
1781402882,919071
1781402913,919071
1781402943,919071
1781402973,919071
1781403003,919071
1781403033,919071
1781403063,919071
1781403093,919071
1781403123,919071
1781403153,919071
1781403183,919071
1781403213,919071
1781403243,919071
1781403273,919071
1781403303,919071
1781403333,919071
1781403363,919071
1781403393,919071
1781403423,919071
1781403453,919071
1781403483,919071
1781403513,919071
1781403543,919071
1781403573,919071
1781403603,919071
1781403633,919071
1781403663,919071
1781403693,919071
1781403723,919071
1781403753,919071
1781403783,919071
1781444820,919071
1781444851,919071
1781444881,919071
1781444911,919071
1781444941,919071
1781444971,919071
1781445001,919071
1781445031,919071
1781445061,919071
1781445091,919071
1781445121,919071
1781445152,919071
