t,value
1781371260,920913
1781371290,920913
1781371320,920913
1781371350,920913
1781371380,920913
1781371410,920913
1781371440,920913
1781371470,920913
1781371500,920913
1781371530,920913
1781371560,920913
1781371590,920913
1781371620,920913
1781371650,920913
1781371680,920913
1781371710,920913
1781371740,920913
1781371770,920913
1781371800,920913
1781371830,920913
1781371860,920955
1781371890,920955
1781371920,920955
1781371950,920955
1781371980,920955
1781372010,920955
1781372040,920955
1781372070,920955
1781372100,920955
1781372130,920955
1781372160,920955
1781372190,920955
1781372220,920955
1781372250,920955
1781372280,920955
1781372580,921187
1781372611,921187
1781372641,921187
1781372671,921187
1781372701,921187
1781372731,921187
1781372761,921187
1781372791,921187
1781372821,921187
1781372851,921187
1781372881,921187
1781373780,921419
1781373810,921419
1781373840,921419
1781373870,921419
1781373900,921419
1781373930,921419
1781373960,921419
1781373990,921419
1781374020,921419
1781374050,921419
1781374080,921419
1781374110,921419
1781374200,921651
1781379210,921883
1781379240,921883
1781379270,921883
1781379300,921883
1781379330,921883
1781379360,921883
1781381160,922115
1781381191,922115
1781381221,922115
1781381251,922115
1781381281,922115
1781381311,922115
1781381341,922115
1781381371,922115
1781381401,922115
1781381431,922115
1781381461,922115
1781381491,922115
1781381521,922115
1781381551,922115
1781381581,922115
1781381611,922115
1781381641,922115
1781381671,922115
1781381701,922115
1781381731,922115
1781381761,922115
1781381791,922115
1781381821,922115
1781381851,922115
1781381882,922115
1781381912,922115
1781381942,922115
1781381972,922115
1781382002,922115
1781382032,922115
1781382062,922115
1781382092,922115
1781382122,922115
1781382152,922115
1781382182,922115
1781382510,922347
1781382541,922347
1781382571,922347
1781382601,922347
1781382631,922347
1781382661,922347
1781382691,922347
1781382721,922347
1781382751,922347
1781382781,922347
1781382811,922347
1781382841,922347
1781382871,922347
1781382901,922347
1781382931,922347
1781382961,922347
1781382991,922347
1781383021,922347
1781383051,922347
1781383081,922347
1781383111,922347
1781383141,922347
1781383171,922347
1781383201,922347
1781383231,922347
1781383261,922347
1781383291,922347
1781383321,922347
1781383351,922347
1781383381,922347
1781383411,922347
1781383441,922347
1781383471,922347
1781383501,922347
1781398740,922579
1781398772,922579
1781398802,922579
1781398832,922579
1781398862,922579
1781398892,922579
1781398922,922579
1781398952,922579
1781398982,922579
1781399012,922579
1781399042,922579
1781399072,922579
1781399102,922579
1781399132,922579
1781399162,922579
1781399192,922579
1781399222,922579
1781399252,922579
1781399282,922579
1781399312,922579
1781399342,922579
1781399372,922579
1781399670,922811
1781399702,922811
1781399732,922811
1781399762,922811
1781399792,922811
1781399822,922811
1781399852,922811
1781399882,922811
1781399912,922811
1781399942,922811
1781399972,922811
1781400002,922811
1781400032,922811
1781400062,922811
1781400092,922811
1781400122,922811
1781400152,922811
1781400182,922811
1781400212,922811
1781400242,922811
1781400272,922811
1781400302,922811
1781400332,922811
1781400362,922811
1781400392,922811
1781400422,922811
1781400452,922811
1781400482,922811
1781400512,922811
1781400542,922811
1781400572,922811
1781400602,922811
1781400632,922811
1781400662,922811
1781400693,922811
1781400723,922811
1781400753,922811
1781400783,922811
1781400813,922811
1781400843,922811
1781400873,922811
1781400903,922811
1781400933,922811
1781400963,922811
1781400993,922811
1781401023,922811
1781401053,922811
1781401083,922811
1781401113,922811
1781401143,922811
1781401173,922811
1781401203,922811
1781401233,922811
1781401263,922811
1781401293,922811
1781401323,922811
1781401353,922811
1781401383,922811
1781401413,922811
1781401443,922811
1781401473,922811
1781401503,922811
1781401533,922811
1781401563,922811
1781401593,922811
1781401623,922811
1781401653,922811
1781401683,922811
1781401713,922811
1781401743,922811
1781401773,922811
1781401803,922811
1781401833,922811
1781401863,922811
1781401893,922811
1781401923,922811
1781401953,922811
1781401983,922811
1781402013,922811
1781402043,922811
1781402073,922811
1781402103,922811
1781402133,922811
1781402163,922811
1781402193,922811
1781402223,922811
1781402253,922811
1781402283,922811
1781402313,922811
1781402343,922811
1781402373,922811
1781402403,922811
1781402433,922811
1781402463,922811
1781402493,922811
1781402523,922811
1781402700,923043
1781402732,923043
1781402762,923043
1781402792,923043
1781402822,923043
1781402852,923043
1781402882,923043
1781402913,923043
1781402943,923043
1781402973,923043
1781403003,923043
1781403033,923043
1781403063,923043
1781403093,923043
1781403123,923043
1781403153,923043
1781403183,923043
1781403213,923043
1781403243,923043
1781403273,923043
1781403303,923043
1781403333,923043
1781403363,923043
1781403393,923043
1781403423,923043
1781403453,923043
1781403483,923043
1781403513,923043
1781403543,923043
1781403573,923043
1781403603,923043
1781403633,923043
1781403663,923043
1781403693,923043
1781403723,923043
1781403753,923043
1781403783,923043
1781444820,923275
1781444851,923275
1781444881,923275
1781444911,923275
1781444941,923275
1781444971,923275
1781445001,923275
1781445031,923275
1781445061,923275
1781445091,923275
1781445121,923275
1781445152,923275
