t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,1,0.037747060788308334,0.0,0.0,0.0,events/second
1781371290,1,0.017686991722728418,0.0,0.0,0.0,events/second
1781371320,1,0.011552413432596446,0.0,0.0,0.0,events/second
1781371350,1,0.008577165023507426,0.0,0.0,0.0,events/second
1781371380,1,0.0068214791491151856,0.0,0.0,0.0,events/second
1781371410,1,0.005662028956312512,0.0,0.0,0.0,events/second
1781371440,1,0.004839534202131062,0.0,0.0,0.0,events/second
1781371470,1,0.00422515057953942,0.0,0.0,0.0,events/second
1781371500,1,0.003749144359495486,0.0,0.0,0.0,events/second
1781371530,1,0.0033699206051524414,0.0,0.0,0.0,events/second
1781371560,1,0.0030604107512478195,0.0,0.0,0.0,events/second
1781371590,1,0.0028029313420356084,0.0,0.0,0.0,events/second
1781371620,1,0.002585431530316305,0.0,0.0,0.0,events/second
1781371650,1,0.002399251047681615,0.0,0.0,0.0,events/second
1781371680,1,0.0022380460472925198,0.0,0.0,0.0,events/second
1781371710,1,0.0020972054561132036,0.0,0.0,0.0,events/second
1781371740,1,0.001972991840571299,0.0,0.0,0.0,events/second
1781371770,1,0.0018626625209138584,0.0,0.0,0.0,events/second
1781371800,1,0.0017640061289306323,0.0,0.0,0.0,events/second
1781371830,1,0.0016752921857458357,0.0,0.0,0.0,events/second
1781371860,1,0.0015950727353350746,0.0,0.0,0.0,events/second
1781371890,1,0.0015221638863956906,0.0,0.0,0.0,events/second
1781371920,1,0.0014556556790030614,0.0,0.0,0.0,events/second
1781371950,1,0.0013947274494784199,0.0,0.0,0.0,events/second
1781371980,1,0.0013386786185121742,0.0,0.0,0.0,events/second
1781372010,1,0.0012869625111686532,0.0,0.0,0.0,events/second
1781372040,1,0.00123911104973337,0.0,0.0,0.0,events/second
1781372070,1,0.0011946826156273378,0.0,0.0,0.0,events/second
1781372100,1,0.0011533121313828602,0.0,0.0,0.0,events/second
1781372130,1,0.0011147169996432763,0.0,0.0,0.0,events/second
1781372160,1,0.0010786221088284825,0.0,0.0,0.0,events/second
1781372190,1,0.0010447941318721338,0.0,0.0,0.0,events/second
1781372220,1,0.0010130176476379079,0.0,0.0,0.0,events/second
1781372250,1,9.831276997596641E-4,0.0,0.0,0.0,events/second
1781372280,1,9.549536795377476E-4,0.0,0.0,0.0,events/second
1781372580,1,0.04073761729709453,0.0,0.0,0.0,events/second
1781372611,1,0.01829360206878687,0.0,0.0,0.0,events/second
1781372641,1,0.011806152477904326,0.0,0.0,0.0,events/second
1781372671,1,0.008717840389169904,0.0,0.0,0.0,events/second
1781372701,1,0.006910032740522869,0.0,0.0,0.0,events/second
1781372731,1,0.005722853882823618,0.0,0.0,0.0,events/second
1781372761,1,0.004883576813155085,0.0,0.0,0.0,events/second
1781372791,1,0.004258980306144568,0.0,0.0,0.0,events/second
1781372821,1,0.003776359649327062,0.0,0.0,0.0,events/second
1781372851,1,0.003391708481364464,0.0,0.0,0.0,events/second
1781372881,1,0.0030782673401688223,0.0,0.0,0.0,events/second
1781373780,1,0.05273255012418726,0.0,0.0,0.0,events/second
1781373810,1,0.02040384135694229,0.0,0.0,0.0,events/second
1781373840,1,0.012652785356585327,0.0,0.0,0.0,events/second
1781373870,1,0.009170272118865772,0.0,0.0,0.0,events/second
