t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,2
1781369461,2
1781369491,2
1781369521,2
1781369551,0
1781371260,2
1781371290,2
1781371320,2
1781371350,2
1781371380,2
1781371410,2
1781371440,3
1781371470,3
1781371500,3
1781371530,3
1781371560,3
1781371590,3
1781371620,3
1781371650,3
1781371680,3
1781371710,3
1781371740,3
1781371770,3
1781371800,3
1781371830,3
1781371860,3
1781371890,3
1781371920,3
1781371950,3
1781371980,3
1781372010,3
1781372040,3
1781372070,5
1781372100,5
1781372130,5
1781372160,5
1781372190,5
1781372220,5
1781372250,5
1781372280,0
1781372580,2
1781372611,2
1781372641,3
1781372671,3
1781372701,3
1781372731,3
1781372761,3
1781372791,3
1781372821,3
1781372851,3
1781372881,3
1781373780,0
1781373810,0
1781373840,2
1781373870,2
1781373900,3
1781373930,3
1781373960,3
1781373990,3
1781374020,2
1781374050,3
1781374080,3
1781374110,3
1781374200,3
1781374231,0
1781379210,0
1781379240,9
1781379270,9
1781379300,9
1781379330,9
1781379360,9
1781381160,0
1781381191,0
1781381221,9
1781381251,9
1781381281,9
1781381311,9
1781381341,9
1781381371,9
1781381401,9
1781381431,9
1781381461,9
1781381491,9
1781381521,9
1781381551,9
1781381581,9
1781381611,9
1781381641,9
1781381671,9
1781381701,9
1781381731,9
1781381761,9
1781381791,9
1781381821,9
1781381851,9
1781381882,9
1781381912,9
1781381942,9
1781381972,9
1781382002,9
1781382032,9
1781382062,9
1781382092,9
1781382122,9
1781382152,9
1781382182,9
1781382510,0
1781382541,0
1781382571,9
1781382601,9
1781382631,9
1781382661,9
1781382691,9
1781382721,9
1781382751,9
1781382781,9
1781382811,9
1781382841,9
1781382871,9
1781382901,9
1781382931,9
1781382961,9
1781382991,9
1781383021,9
1781383051,9
1781383081,9
1781383111,9
1781383141,9
1781383171,9
1781383201,9
1781383231,9
1781383261,9
1781383291,9
1781383321,9
1781383351,9
1781383381,9
1781383411,9
1781383441,9
1781383471,9
1781383501,9
1781398740,0
1781398772,2
1781398802,3
1781398832,3
1781398862,3
1781398892,0
1781398922,3
1781398952,3
1781398982,3
1781399012,3
1781399042,3
1781399072,3
1781399102,3
1781399132,3
1781399162,3
1781399192,3
1781399222,3
1781399252,3
1781399282,3
1781399312,0
1781399342,0
1781399372,0
1781399402,0
1781399670,0
1781399702,5
1781399732,5
1781399762,5
1781399792,0
1781399822,0
1781399852,3
1781399882,3
1781399912,3
1781399942,6
1781399972,12
1781400002,12
1781400032,12
1781400062,12
1781400092,12
1781400122,12
1781400152,12
1781400182,12
1781400212,12
1781400242,12
1781400272,12
1781400302,12
1781400332,12
1781400362,12
1781400392,12
1781400422,12
1781400452,12
1781400482,12
1781400512,12
1781400542,12
1781400572,12
1781400602,12
1781400632,12
1781400662,12
1781400693,12
1781400723,12
1781400753,14
1781400783,14
1781400813,14
1781400843,14
1781400873,14
1781400903,14
1781400933,14
1781400963,14
1781400993,14
1781401023,14
1781401053,14
1781401083,14
1781401113,14
1781401143,14
1781401173,14
1781401203,14
1781401233,14
1781401263,14
1781401293,14
1781401323,14
1781401353,14
1781401383,14
1781401413,14
1781401443,14
1781401473,14
1781401503,14
1781401533,14
1781401563,14
1781401593,14
1781401623,14
1781401653,14
1781401683,14
1781401713,14
1781401743,14
1781401773,14
1781401803,14
1781401833,14
1781401863,14
1781401893,14
1781401923,14
1781401953,14
1781401983,14
1781402013,14
1781402043,14
1781402073,5
1781402103,5
1781402133,5
1781402163,5
1781402193,5
1781402223,5
1781402253,5
1781402283,5
1781402313,5
1781402343,5
1781402373,5
1781402403,5
1781402433,5
1781402463,5
1781402493,5
1781402523,5
1781402553,0
1781402700,5
1781402732,5
1781402762,5
1781402792,13
1781402822,13
1781402852,13
1781402882,13
1781402913,13
1781402943,13
1781402973,13
1781403003,13
1781403033,13
1781403063,13
1781403093,13
1781403123,13
1781403153,13
1781403183,13
1781403213,13
1781403243,13
1781403273,13
1781403303,13
1781403333,13
1781403363,13
1781403393,13
1781403423,13
1781403453,13
1781403483,13
1781403513,13
1781403543,13
1781403573,13
1781403603,13
1781403633,11
1781403663,11
1781403693,11
1781403723,11
1781403753,11
1781403783,11
1781444820,2
1781444851,3
1781444881,3
1781444911,12
1781444941,12
1781444971,12
1781445001,12
1781445031,12
1781445061,12
1781445091,12
1781445121,12
1781445152,12
