t,value
1781367150,0.0
1781367180,1.0
1781367210,1.0
1781367240,1.0
1781367270,1.0
1781367300,1.0
1781367330,1.0
1781367360,1.0
1781367390,1.0
1781367420,1.0
1781367450,1.0
1781367480,1.0
1781367510,1.0
1781367540,1.0
1781367570,1.0
1781367600,1.0
1781367630,1.0
1781367660,1.0
1781367690,1.0
1781367720,1.0
1781367750,1.0
1781367780,1.0
1781367810,1.0
1781367840,1.0
1781367870,1.0
1781367900,1.0
1781367930,1.0
1781367960,1.0
1781367990,1.0
1781368020,1.0
1781368050,0.9733333333333334
1781368080,1.0
1781368110,1.0
1781368140,1.0
1781368170,1.0
1781368200,1.0
1781368230,1.0
1781368260,1.0
1781368290,1.0
1781368320,1.0
1781368350,1.0
1781368380,1.0
1781368410,1.0
1781368440,1.0
1781368470,1.0
1781368500,1.0
1781368530,1.0
1781368560,1.0
1781368590,1.0
1781368621,1.0
1781368651,1.0
1781368681,1.0
1781368711,1.0
1781368741,1.0
1781368771,1.0
1781368801,1.0
1781368831,1.0
1781368861,1.0
1781368891,1.0
1781368921,1.0
1781368951,1.0
1781368981,1.0
1781369011,1.0
1781369041,1.0
1781369071,1.0
1781369101,1.0
1781369131,1.0
1781369161,1.0
1781369191,1.0
1781369221,1.0
1781369251,1.0
1781369281,1.0
1781369311,1.0
1781369341,1.0
1781369371,1.0
1781369401,1.0
1781369431,0.9977678571428571
1781369461,1.0
1781369491,1.0
1781369521,1.0
1781369551,0.9359708485163977
1781371260,0.0
1781371290,1.0
1781371320,1.0
1781371350,1.0
1781371380,1.0
1781371410,1.0
1781371440,1.0
1781371470,1.0
1781371500,1.0
1781371530,1.0
1781371560,1.0
1781371590,1.0
1781371620,1.0
1781371650,1.0
1781371680,1.0
1781371710,1.0
1781371740,1.0
1781371770,1.0
1781371800,1.0
1781371830,1.0
1781371860,1.0
1781371890,1.0
1781371920,1.0
1781371950,1.0
1781371980,1.0
1781372010,1.0
1781372040,1.0
1781372070,1.0
1781372100,1.0
1781372130,1.0
1781372160,1.0
1781372190,1.0
1781372220,1.0
1781372250,1.0
1781372280,1.0
1781372580,0.0
1781372611,1.0
1781372641,1.0
1781372671,1.0
1781372701,1.0
1781372731,1.0
1781372761,1.0
1781372791,1.0
1781372821,1.0
1781372851,1.0
1781372881,1.0
1781373780,0.0
1781373810,1.0
1781373840,1.0
1781373870,1.0
1781373900,1.0
1781373930,1.0
1781373960,1.0
1781373990,1.0
1781374020,1.0
1781374050,1.0
1781374080,1.0
1781374110,1.0
1781374200,0.0
1781374231,1.0
1781379210,0.0
1781379240,1.0
1781379270,1.0
1781379300,1.0
1781379330,1.0
1781379360,1.0
1781381160,0.0
1781381191,1.0
1781381221,1.0
1781381251,1.0
1781381281,1.0
1781381311,1.0
1781381341,1.0
1781381371,1.0
1781381401,1.0
1781381431,1.0
1781381461,1.0
1781381491,1.0
1781381521,1.0
1781381551,1.0
1781381581,1.0
1781381611,1.0
1781381641,1.0
1781381671,1.0
1781381701,1.0
1781381731,1.0
1781381761,1.0
1781381791,1.0
1781381821,1.0
1781381851,1.0
1781381882,1.0
1781381912,1.0
1781381942,1.0
1781381972,1.0
1781382002,1.0
1781382032,1.0
1781382062,1.0
1781382092,1.0
1781382122,1.0
1781382152,1.0
1781382182,1.0
1781382510,0.0
1781382541,1.0
1781382571,1.0
1781382601,1.0
1781382631,1.0
1781382661,1.0
1781382691,1.0
1781382721,1.0
1781382751,1.0
1781382781,1.0
1781382811,1.0
1781382841,1.0
