t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,2384,112.33648509269162,0.0,0.0,0.0,events/second
1781367180,2465,48.08576931288943,0.0,0.0,0.0,events/second
1781367210,2847,35.02604523559733,0.0,0.0,0.0,events/second
1781367240,2928,26.307331046332582,0.0,0.0,0.0,events/second
1781367270,3310,23.423419289691335,0.0,0.0,0.0,events/second
1781367300,3391,19.790976206990166,0.0,0.0,0.0,events/second
1781367330,3746,18.60378890088637,0.0,0.0,0.0,events/second
1781367360,3827,16.54045803750821,0.0,0.0,0.0,events/second
1781367390,4209,16.102507480705057,0.0,0.0,0.0,events/second
1781367420,4290,14.721443562711341,0.0,0.0,0.0,events/second
1781367450,4672,14.533669504160116,0.0,0.0,0.0,events/second
1781367480,4753,13.522785404047712,0.0,0.0,0.0,events/second
1781367510,5135,13.460228433287721,0.0,0.0,0.0,events/second
1781367540,5216,12.675541378757444,0.0,0.0,0.0,events/second
1781367570,5598,12.678825597148547,0.0,0.0,0.0,events/second
1781367600,5679,12.043489075953552,0.0,0.0,0.0,events/second
1781367630,6061,12.084367582702257,0.0,0.0,0.0,events/second
1781367660,6142,11.554298644844998,0.0,0.0,0.0,events/second
1781367690,6524,11.617030661609846,0.0,0.0,0.0,events/second
1781367720,6605,11.164537265517412,0.0,0.0,0.0,events/second
1781367750,7015,11.285058191942287,0.0,0.0,0.0,events/second
1781367780,7096,10.889596318493401,0.0,0.0,0.0,events/second
1781367810,7478,10.970398668775246,0.0,0.0,0.0,events/second
1781367840,7559,10.62163022010136,0.0,0.0,0.0,events/second
1781367870,7941,10.706859528624891,0.0,0.0,0.0,events/second
1781367900,8022,10.395360773322349,0.0,0.0,0.0,events/second
1781367930,8404,10.482765612549281,0.0,0.0,0.0,events/second
1781367960,8485,10.20193016185397,0.0,0.0,0.0,events/second
1781367990,8867,10.289792338388867,0.0,0.0,0.0,events/second
1781368020,8948,10.034227764644799,0.0,0.0,0.0,events/second
1781368050,9532,10.340985447434617,0.0,0.0,0.0,events/second
1781368080,9613,10.100035852910375,0.0,0.0,0.0,events/second
1781368110,10011,10.196670871968209,0.0,0.0,0.0,events/second
1781368140,10092,9.974158271377112,0.0,0.0,0.0,events/second
1781368170,10490,10.068848183640483,0.0,0.0,0.0,events/second
1781368200,10571,9.862479182862563,0.0,0.0,0.0,events/second
1781368230,10969,9.954984445206115,0.0,0.0,0.0,events/second
1781368260,11050,9.7625402807481,0.0,0.0,0.0,events/second
1781368290,11448,9.852886744253055,0.0,0.0,0.0,events/second
1781368320,11529,9.672704673504857,0.0,0.0,0.0,events/second
1781368350,11927,9.760854074846122,0.0,0.0,0.0,events/second
1781368380,12008,9.591558242230825,0.0,0.0,0.0,events/second
1781368410,12406,9.677444592097162,0.0,0.0,0.0,events/second
1781368440,12487,9.517752189768633,0.0,0.0,0.0,events/second
1781368470,12885,9.601495413573543,0.0,0.0,0.0,events/second
1781368500,12966,9.450470769833306,0.0,0.0,0.0,events/second
1781368530,13364,9.532075545551471,0.0,0.0,0.0,events/second
1781368560,13445,9.38890569515035,0.0,0.0,0.0,events/second
1781368590,13843,9.467607680146111,0.0,0.0,0.0,events/second
1781368621,13924,9.331488057885345,0.0,0.0,0.0,events/second
1781368651,14322,9.408966544757805,0.0,0.0,0.0,events/second
1781368681,14403,9.279177442748477,0.0,0.0,0.0,events/second
1781368711,14801,9.354713018475293,0.0,0.0,0.0,events/second
1781368741,14882,9.23078315218687,0.0,0.0,0.0,events/second
1781368771,15280,9.304423932345813,0.0,0.0,0.0,events/second
1781368801,15361,9.185869177318045,0.0,0.0,0.0,events/second
1781368831,15759,9.257737878399428,0.0,0.0,0.0,events/second
1781368861,15813,9.12845651605163,0.0,0.0,0.0,events/second
1781368891,16211,9.198847083045184,0.0,0.0,0.0,events/second
1781368921,16292,9.089991111467796,0.0,0.0,0.0,events/second
1781368951,16690,9.158706472190934,0.0,0.0,0.0,events/second
1781368981,16771,9.054006030565859,0.0,0.0,0.0,events/second
1781369011,17169,9.121084397133613,0.0,0.0,0.0,events/second
1781369041,17250,9.02027077714907,0.0,0.0,0.0,events/second
1781369071,17648,9.085814232559805,0.0,0.0,0.0,events/second
1781369101,17729,8.988632039490835,0.0,0.0,0.0,events/second
1781369131,18127,9.052628905252885,0.0,0.0,0.0,events/second
1781369161,18208,8.958802126345628,0.0,0.0,0.0,events/second
1781369191,18606,9.021414028803802,0.0,0.0,0.0,events/second
1781369221,18687,8.93074044429085,0.0,0.0,0.0,events/second
1781369251,19085,8.991938752397806,0.0,0.0,0.0,events/second
1781369281,19166,8.9042202504135,0.0,0.0,0.0,events/second
1781369311,19564,8.96416902527666,0.0,0.0,0.0,events/second
1781369341,19645,8.879191220094635,0.0,0.0,0.0,events/second
1781369371,20043,8.937839284309577,0.0,0.0,0.0,events/second
1781369401,20124,8.85542281505138,0.0,0.0,0.0,events/second
1781369431,20571,8.934098465525736,0.0,0.0,0.0,events/second
1781369461,20652,8.8538842660297,0.0,0.0,0.0,events/second
1781369491,21051,8.910294708987955,0.0,0.0,0.0,events/second
1781369521,21132,8.832362872154645,0.0,0.0,0.0,events/second
1781369551,22930,9.465137519270728,0.0,0.0,0.0,events/second
1781371260,1693,62.39733716912702,0.0,0.0,0.0,events/second
1781371290,1774,31.027789528974907,0.0,0.0,0.0,events/second
1781371320,2300,26.376658895453094,0.0,0.0,0.0,events/second
1781371350,2381,20.31147067879514,0.0,0.0,0.0,events/second
1781371380,2907,19.74443227963128,0.0,0.0,0.0,events/second
1781371410,2988,16.857461204768825,0.0,0.0,0.0,events/second
1781371440,3544,17.09867709465192,0.0,0.0,0.0,events/second
1781371470,3625,15.275009527012907,0.0,0.0,0.0,events/second
1781371500,4158,15.551873264108876,0.0,0.0,0.0,events/second
1781371530,4269,14.355424554977644,0.0,0.0,0.0,events/second
1781371560,4795,14.646167767266409,0.0,0.0,0.0,events/second
1781371590,4876,13.642786966002985,0.0,0.0,0.0,events/second
1781371620,5402,13.94358658157019,0.0,0.0,0.0,events/second
1781371650,5483,13.135062178553955,0.0,0.0,0.0,events/second
1781371680,6016,13.444958678405689,0.0,0.0,0.0,events/second
1781371710,6127,12.832442204696703,0.0,0.0,0.0,events/second
1781371740,6713,13.228090313127632,0.0,0.0,0.0,events/second
1781371770,6799,12.649265693307948,0.0,0.0,0.0,events/second
1781371800,7325,12.906865670459915,0.0,0.0,0.0,events/second
1781371830,7406,12.394017517392752,0.0,0.0,0.0,events/second
1781371860,7974,12.706229162304039,0.0,0.0,0.0,events/second
1781371890,8055,12.249178010887928,0.0,0.0,0.0,events/second
1781371920,8630,12.550696142911292,0.0,0.0,0.0,events/second
1781371950,8714,12.14289005604538,0.0,0.0,0.0,events/second
1781371980,9255,12.378937513861777,0.0,0.0,0.0,events/second
1781372010,9336,12.005262604077348,0.0,0.0,0.0,events/second
1781372040,9870,12.22040119053377,0.0,0.0,0.0,events/second
1781372070,10141,12.106082237691995,0.0,0.0,0.0,events/second
1781372100,10667,12.293366942609499,0.0,0.0,0.0,events/second
1781372130,10759,11.984748685806306,0.0,0.0,0.0,events/second
1781372160,11295,12.174685759444554,0.0,0.0,0.0,events/second
1781372190,11380,11.881856347681016,0.0,0.0,0.0,events/second
1781372220,11940,12.087645651411211,0.0,0.0,0.0,events/second
1781372250,12040,11.829465509899483,0.0,0.0,0.0,events/second
1781372280,12626,12.049931411305586,0.0,0.0,0.0,events/second
1781372580,1615,62.523503417290804,0.0,0.0,0.0,events/second
1781372611,1696,30.33976609600262,0.0,0.0,0.0,events/second
1781372641,2351,27.356815645806673,0.0,0.0,0.0,events/second
1781372671,2432,20.975721206445517,0.0,0.0,0.0,events/second
1781372701,2962,20.29413736204308,0.0,0.0,0.0,events/second
1781372731,3057,17.371816377327793,0.0,0.0,0.0,events/second
1781372761,3610,17.52390582471072,0.0,0.0,0.0,events/second
1781372791,3712,15.72652609611866,0.0,0.0,0.0,events/second
1781372821,4262,16.02004752506096,0.0,0.0,0.0,events/second
1781372851,4375,14.776754398875129,0.0,0.0,0.0,events/second
1781372881,4906,15.044725035864866,0.0,0.0,0.0,events/second
1781373780,1654,80.67819082269094,0.0,0.0,0.0,events/second
1781373810,1735,34.32994156214883,0.0,0.0,0.0,events/second
1781373840,2243,27.841771545583615,0.0,0.0,0.0,events/second
1781373870,2324,21.01715437865697,0.0,0.0,0.0,events/second
1781373900,2950,20.981771214980043,0.0,0.0,0.0,events/second
1781373930,3045,17.848209478703296,0.0,0.0,0.0,events/second
1781373960,3598,17.93284488510332,0.0,0.0,0.0,events/second
1781373990,3708,16.07518618103539,0.0,0.0,0.0,events/second
1781374020,4271,16.383851286708794,0.0,0.0,0.0,events/second
1781374050,4392,15.107562797745077,0.0,0.0,0.0,events/second
1781374080,4926,15.358707984627552,0.0,0.0,0.0,events/second
1781374110,5007,14.275345568139851,0.0,0.0,0.0,events/second
1781374200,1749,62.15310862877258,0.0,0.0,0.0,events/second
1781374231,2580,44.32018309581526,0.0,0.0,0.0,events/second
1781379210,1582,332.076034412649,0.0,0.0,0.0,events/second
1781379240,2614,75.1284570155436,0.0,0.0,0.0,events/second
1781379270,3167,48.85501274112354,0.0,0.0,0.0,events/second
1781379300,3275,34.52849488869577,0.0,0.0,0.0,events/second
1781379330,3828,30.657156254054712,0.0,0.0,0.0,events/second
1781379360,3929,25.366655523824665,0.0,0.0,0.0,events/second
1781381160,1591,140.06692839784785,0.0,0.0,0.0,events/second
1781381191,1672,40.327494177488894,0.0,0.0,0.0,events/second
1781381221,3143,43.96207730782628,0.0,0.0,0.0,events/second
1781381251,3244,31.9532671608422,0.0,0.0,0.0,events/second
1781381281,3806,28.93294864259156,0.0,0.0,0.0,events/second
1781381311,3913,24.219704606864056,0.0,0.0,0.0,events/second
1781381341,4466,23.311616601564968,0.0,0.0,0.0,events/second
1781381371,4540,20.48869055172533,0.0,0.0,0.0,events/second
1781381401,5093,20.241812250237704,0.0,0.0,0.0,events/second
1781381431,5194,18.442802619332188,0.0,0.0,0.0,events/second
1781381461,5747,18.441088089400495,0.0,0.0,0.0,events/second
1781381491,5848,17.1164769890181,0.0,0.0,0.0,events/second
1781381521,6401,17.221478807013035,0.0,0.0,0.0,events/second
1781381551,6502,16.186278508137168,0.0,0.0,0.0,events/second
1781381581,7055,16.34211164604205,0.0,0.0,0.0,events/second
1781381611,7156,15.498493989507732,0.0,0.0,0.0,events/second
1781381641,7709,15.676991375447274,0.0,0.0,0.0,events/second
1781381671,7818,14.98377914486966,0.0,0.0,0.0,events/second
1781381701,8378,15.183291120059781,0.0,0.0,0.0,events/second
1781381731,8488,14.588841778403628,0.0,0.0,0.0,events/second
1781381761,9093,14.861829990709758,0.0,0.0,0.0,events/second
1781381791,9194,14.324144060366596,0.0,0.0,0.0,events/second
1781381821,9778,14.553377891593097,0.0,0.0,0.0,events/second
1781381851,9879,14.07481965119994,0.0,0.0,0.0,events/second
1781381882,10432,14.252961906756873,0.0,0.0,0.0,events/second
1781381912,10533,13.824101737073061,0.0,0.0,0.0,events/second
1781381942,11086,13.998364921528305,0.0,0.0,0.0,events/second
1781381972,11187,13.610079991827208,0.0,0.0,0.0,events/second
1781382002,11740,13.779715297717738,0.0,0.0,0.0,events/second
1781382032,11841,13.425363856000367,0.0,0.0,0.0,events/second
1781382062,12394,13.589764396647173,0.0,0.0,0.0,events/second
1781382092,12475,13.242572016364988,0.0,0.0,0.0,events/second
1781382122,13028,13.40257407059971,0.0,0.0,0.0,events/second
1781382152,13129,13.101873834556377,0.0,0.0,0.0,events/second
1781382182,13682,13.256630473290516,0.0,0.0,0.0,events/second
1781382510,1591,122.37587115794472,0.0,0.0,0.0,events/second
1781382541,1672,38.83126702260152,0.0,0.0,0.0,events/second
1781382571,3136,42.917767077096876,0.0,0.0,0.0,events/second
1781382601,3237,31.39377100875617,0.0,0.0,0.0,events/second
1781382631,3790,28.467728138364038,0.0,0.0,0.0,events/second
1781382661,3891,23.850506832648573,0.0,0.0,0.0,events/second
1781382691,4444,23.006654314440215,0.0,0.0,0.0,events/second
1781382721,4552,20.395939664690065,0.0,0.0,0.0,events/second
1781382751,5110,20.181014187302736,0.0,0.0,0.0,events/second
1781382781,5211,18.398686690092617,0.0,0.0,0.0,events/second
1781382811,5764,18.40140237994199,0.0,0.0,0.0,events/second
1781382841,5865,17.08690343119305,0.0,0.0,0.0,events/second
1781382871,6418,17.194437268835937,0.0,0.0,0.0,events/second
1781382901,6519,16.165178629035154,0.0,0.0,0.0,events/second
1781382931,7072,16.321980696212687,0.0,0.0,0.0,events/second
1781382961,7146,15.424171965194041,0.0,0.0,0.0,events/second
1781382991,7699,15.606562173395528,0.0,0.0,0.0,events/second
1781383021,7800,14.904542772368757,0.0,0.0,0.0,events/second
1781383051,8353,15.095356876935627,0.0,0.0,0.0,events/second
1781383081,8434,14.457644157565449,0.0,0.0,0.0,events/second
1781383111,9029,14.720235560810035,0.0,0.0,0.0,events/second
1781383141,9140,14.206099206906153,0.0,0.0,0.0,events/second
1781383171,9693,14.394160939250373,0.0,0.0,0.0,events/second
1781383201,9825,13.96757450509632,0.0,0.0,0.0,events/second
1781383231,10378,14.149960199426076,0.0,0.0,0.0,events/second
1781383261,10479,13.725923630496327,0.0,0.0,0.0,events/second
1781383291,11032,13.903751206402951,0.0,0.0,0.0,events/second
1781383321,11133,13.51952863724899,0.0,0.0,0.0,events/second
1781383351,11686,13.692052670233432,0.0,0.0,0.0,events/second
1781383381,11787,13.341294824685523,0.0,0.0,0.0,events/second
1781383411,12340,13.50827120783621,0.0,0.0,0.0,events/second
