t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,417,19.647904185624125,0.0,0.0,0.0,events/second
1781367180,417,8.134354552845352,0.0,0.0,0.0,events/second
1781367210,417,5.130175244202801,0.0,0.0,0.0,events/second
1781367240,417,3.746590393848967,0.0,0.0,0.0,events/second
1781367270,417,2.950896665511182,0.0,0.0,0.0,events/second
1781367300,417,2.4337271440410984,0.0,0.0,0.0,events/second
1781367330,417,2.070935804846857,0.0,0.0,0.0,events/second
1781367360,417,1.8022809600406815,0.0,0.0,0.0,events/second
1781367390,417,1.5952987255070874,0.0,0.0,0.0,events/second
1781367420,417,1.4309586450624983,0.0,0.0,0.0,events/second
1781367450,417,1.2971989468663285,0.0,0.0,0.0,events/second
1781367480,417,1.1864041326392412,0.0,0.0,0.0,events/second
1781367510,417,1.0930661417711678,0.0,0.0,0.0,events/second
1781367540,417,1.0133594439140428,0.0,0.0,0.0,events/second
1781367570,417,0.9444539757667637,0.0,0.0,0.0,events/second
1781367600,417,0.8843317652340558,0.0,0.0,0.0,events/second
1781367630,417,0.831407808135367,0.0,0.0,0.0,events/second
1781367660,417,0.7844561777450771,0.0,0.0,0.0,events/second
1781367690,417,0.7425336853037258,0.0,0.0,0.0,events/second
1781367720,417,0.704860086870101,0.0,0.0,0.0,events/second
1781367750,417,0.670828033996974,0.0,0.0,0.0,events/second
1781367780,417,0.6399312235682268,0.0,0.0,0.0,events/second
1781367810,417,0.6117473728295623,0.0,0.0,0.0,events/second
1781367840,417,0.5859519779571667,0.0,0.0,0.0,events/second
1781367870,417,0.5622405205138928,0.0,0.0,0.0,events/second
1781367900,417,0.5403711761169719,0.0,0.0,0.0,events/second
1781367930,417,0.5201458431815553,0.0,0.0,0.0,events/second
1781367960,417,0.5013786344587329,0.0,0.0,0.0,events/second
1781367990,417,0.4839106967090632,0.0,0.0,0.0,events/second
1781368020,417,0.46762029895409335,0.0,0.0,0.0,events/second
1781368050,433,0.46974818733564044,0.0,0.0,0.0,events/second
1781368080,433,0.4549369732760014,0.0,0.0,0.0,events/second
1781368110,433,0.44103008926551573,0.0,0.0,0.0,events/second
1781368140,433,0.4279433747378303,0.0,0.0,0.0,events/second
1781368170,433,0.4156153839504148,0.0,0.0,0.0,events/second
1781368200,433,0.4039776455896597,0.0,0.0,0.0,events/second
1781368230,433,0.39297135104414754,0.0,0.0,0.0,events/second
1781368260,433,0.3825497456912968,0.0,0.0,0.0,events/second
1781368290,433,0.3726672646206166,0.0,0.0,0.0,events/second
