t,value
1781367150,0
1781367180,0
1781367210,0
1781367240,0
1781367270,0
1781367300,0
1781367330,0
1781367360,0
1781367390,0
1781367420,0
1781367450,0
1781367480,0
1781367510,0
1781367540,0
1781367570,0
1781367600,0
1781367630,0
1781367660,0
1781367690,0
1781367720,0
1781367750,0
1781367780,0
1781367810,0
1781367840,0
1781367870,0
1781367900,0
1781367930,0
1781367960,0
1781367990,0
1781368020,0
1781368050,0
1781368080,0
1781368110,0
1781368140,0
1781368170,0
1781368200,0
1781368230,0
1781368260,0
1781368290,0
1781368320,0
1781368350,0
1781368380,0
1781368410,0
1781368440,0
1781368470,0
1781368500,0
1781368530,0
1781368560,0
1781368590,0
1781368621,0
1781368651,0
1781368681,0
1781368711,0
1781368741,0
1781368771,0
1781368801,0
1781368831,0
1781368861,0
1781368891,0
1781368921,0
1781368951,0
1781368981,0
1781369011,0
1781369041,0
1781369071,0
1781369101,0
1781369131,0
1781369161,0
1781369191,0
1781369221,0
1781369251,0
1781369281,0
1781369311,0
1781369341,0
1781369371,0
1781369401,0
1781369431,0
1781369461,0
1781369491,0
1781369521,0
1781369551,0
1781371260,9223372036854773143
1781371290,9223372036854773239
1781371320,9223372036854773359
1781371350,9223372036854773455
1781371380,9223372036854773551
1781371410,9223372036854773647
1781371440,9223372036854772487
1781371470,9223372036854772583
1781371500,9223372036854772639
1781371530,9223372036854772607
1781371560,9223372036854772727
1781371590,9223372036854772871
1781371620,9223372036854772967
1781371650,9223372036854773087
1781371680,9223372036854773119
1781371710,9223372036854773087
1781371740,9223372036854772863
1781371770,9223372036854772919
1781371800,9223372036854773015
1781371830,9223372036854773111
1781371860,9223372036854773231
1781371890,9223372036854773327
1781371920,9223372036854773295
1781371950,9223372036854773199
1781371980,9223372036854773191
1781372010,9223372036854773287
1781372040,9223372036854773407
1781372070,9223372036854770303
1781372100,9223372036854770399
1781372130,9223372036854770303
1781372160,9223372036854769975
1781372190,9223372036854769303
1781372220,9223372036854768055
1781372250,9223372036854767663
1781372280,0
1781372580,9223372036854773207
1781372611,9223372036854773351
1781372641,9223372036854772039
1781372671,9223372036854772063
1781372701,9223372036854772087
1781372731,9223372036854772023
1781372761,9223372036854771895
1781372791,9223372036854771767
1781372821,9223372036854770871
1781372851,9223372036854769399
1781372881,9223372036854769519
1781373780,9223372036854775375
1781373810,9223372036854775471
1781373840,9223372036854773351
1781373870,9223372036854773471
1781373900,9223372036854772335
1781373930,9223372036854772367
1781373960,9223372036854772359
1781373990,9223372036854772199
1781374020,9223372036854771719
1781374050,9223372036854771239
1781374080,9223372036854771295
1781374110,9223372036854771391
1781374200,9223372036854771903
1781374231,9223372036854774583
1781379210,9223372036854772863
1781379240,9223372036854761647
1781379270,9223372036854762343
1781379300,9223372036854762375
1781379330,9223372036854762495
1781379360,9223372036854762527
1781381160,9223372036854775351
1781381191,9223372036854775471
1781381221,9223372036854762295
1781381251,9223372036854762415
1781381281,9223372036854762383
1781381311,9223372036854762351
1781381341,9223372036854762447
1781381371,9223372036854762503
1781381401,9223372036854762535
1781381431,9223372036854762631
1781381461,9223372036854762687
1781381491,9223372036854762783
1781381521,9223372036854762815
1781381551,9223372036854762847
1781381581,9223372036854762967
