t,value
1781367150,16777120
1781367180,37748520
1781367210,54525640
1781367240,75497040
1781367270,92274160
1781367300,109051280
1781367330,125828400
1781367360,134216888
1781367390,134216792
1781367420,134216696
1781367450,134216600
1781367480,134216480
1781367510,134216384
1781367540,134216288
1781367570,134216168
1781367600,134216072
1781367630,134215976
1781367660,134215880
1781367690,134215760
1781367720,134215664
1781367750,134215568
1781367780,134215448
1781367810,134215352
1781367840,134215256
1781367870,134215160
1781367900,134215040
1781367930,134214944
1781367960,134214848
1781367990,134214728
1781368020,134214632
1781368050,134214536
1781368080,134214440
1781368110,134214320
1781368140,134214224
1781368170,134214128
1781368200,134214008
1781368230,134213912
1781368260,134213816
1781368290,134213720
1781368320,134213600
1781368350,134213504
1781368380,134213408
1781368410,134213288
1781368440,134213192
1781368470,134213096
1781368500,134213000
1781368530,134212880
1781368560,134212784
1781368590,134212688
1781368621,134212592
1781368651,134212472
1781368681,134212376
1781368711,134212280
1781368741,134212160
1781368771,134212064
1781368801,134211968
1781368831,134211848
1781368861,134211752
1781368891,134211656
1781368921,134211536
1781368951,134211440
1781368981,134211344
1781369011,134211224
1781369041,134211128
1781369071,134211032
1781369101,134210936
1781369131,134210816
1781369161,134210720
1781369191,134210624
1781369221,134210504
1781369251,134210408
1781369281,134210312
1781369311,134210216
1781369341,134210096
1781369371,134210000
1781369401,134209904
1781369431,134212024
1781369461,134211928
1781369491,134211808
1781369521,134211664
1781369551,134210168
1781371260,46140008
1781371290,62917128
1781371320,83888528
1781371350,100665648
1781371380,117442768
1781371410,134219888
1781371440,134221048
1781371470,134220952
1781371500,134220896
1781371530,134220928
1781371560,134220808
1781371590,134220664
1781371620,134220568
1781371650,134220448
1781371680,134220416
1781371710,134220448
1781371740,134220672
1781371770,134220616
1781371800,134220520
1781371830,134220424
1781371860,134220304
1781371890,134220208
1781371920,134220240
1781371950,134220336
1781371980,134220344
1781372010,134220248
1781372040,134220128
1781372070,134223232
1781372100,134223136
1781372130,134223232
1781372160,134223560
1781372190,134224232
1781372220,134225480
1781372250,134225872
1781372280,134215712
1781372580,46139944
1781372611,71305624
1781372641,92278456
1781372671,96472736
1781372701,100667016
1781372731,100667080
1781372761,100667208
1781372791,100667336
1781372821,100668232
1781372851,100669704
1781372881,121641104
1781373780,25166256
1781373810,41943376
1781373840,71305624
1781373870,92277024
1781373900,121638288
1781373930,134221168
1781373960,134221176
1781373990,134221336
1781374020,134221816
1781374050,134222296
1781374080,134222240
1781374110,134222144
1781374200,50335552
1781374231,75498696
1781379210,8391552
1781379240,113260368
1781379270,130036888
1781379300,134231160
1781379330,134231040
1781379360,134231008
1781381160,20971976
1781381191,41943376
1781381221,125842632
1781381251,134231120
1781381281,134231152
1781381311,134231184
1781381341,134231088
1781381371,134231032
1781381401,134231000
1781381431,134230904
1781381461,134230848
1781381491,134230752
1781381521,134230720
1781381551,134230688
1781381581,134230568
1781381611,134230536
1781381641,134230504
1781381671,134230448
1781381701,134230480
1781381731,134230512
1781381761,134230480
1781381791,134230360
1781381821,134230328
1781381851,134230296
1781381882,134230176
1781381912,134230144
1781381942,134230112
1781381972,134230016
1781382002,134229960
1781382032,134229864
1781382062,134229832
1781382092,134229712
1781382122,134229680
1781382152,134229584
1781382182,134229552
1781382510,25166256
1781382541,46137656
1781382571,134231680
1781382601,134230984
1781382631,134230888
1781382661,134230832
1781382691,134230736
1781382721,134230768
1781382751,134230776
1781382781,134230680
1781382811,134230648
1781382841,134230552
1781382871,134230496
1781382901,134230464
1781382931,134230368
1781382961,134230312
1781382991,134230280
1781383021,134230184
1781383051,134230152
1781383081,134230032
1781383111,134229936
1781383141,134229904
1781383171,134229848
1781383201,134229752
1781383231,134229720
1781383261,134229664
1781383291,134229568
1781383321,134229536
1781383351,134229440
1781383381,134229384
1781383411,134229352
1781383441,134229256
1781383471,134229520
1781383501,134229424
1781398740,8390376
1781398772,54528504
1781398802,79695488
1781398832,100666888
1781398862,117444008
1781398892,134218328
1781398922,134221752
1781398952,134221608
1781398982,134221616
1781399012,134221496
1781399042,134221400
1781399072,134221304
1781399102,134221184
1781399132,134221088
1781399162,134220968
1781399192,134220872
1781399222,134220776
1781399252,134220656
1781399282,134220560
1781399312,134217536
1781399342,134217440
1781399372,134217320
1781399402,134217416
1781399670,20971976
1781399702,67115112
1781399732,88086832
1781399762,104864144
1781399792,125830344
1781399822,134218856
1781399852,134222280
1781399882,134222288
1781399912,134222384
1781399942,134236024
1781399972,134235368
1781400002,134235336
1781400032,134235240
1781400062,134235208
1781400092,134235152
1781400122,134235056
1781400152,134234960
1781400182,134234904
1781400212,134234872
1781400242,134234776
1781400272,134234744
1781400302,134234624
1781400332,134234592
1781400362,134234560
1781400392,134234440
1781400422,134234408
1781400452,134234376
1781400482,134234280
1781400512,134234224
1781400542,134234128
1781400572,134234096
1781400602,134234040
1781400632,134233944
1781400662,134234040
1781400693,134234008
1781400723,134234080
1781400753,134236736
1781400783,134236832
1781400813,134236904
1781400843,134237000
1781400873,134236904
1781400903,134237040
1781400933,134237200
1781400963,134237104
1781400993,134237072
1781401023,134236952
1781401053,134236920
1781401083,134236888
1781401113,134236768
1781401143,134236672
1781401173,134236640
1781401203,134236608
1781401233,134236488
1781401263,134236456
1781401293,134236360
1781401323,134236304
1781401353,134236272
1781401383,134236176
1781401413,134236144
1781401443,134236216
1781401473,134236120
1781401503,134236088
1781401533,134235968
1781401563,134235936
1781401593,134235904
1781401623,134236192
1781401653,134236136
1781401683,134236104
1781401713,134236008
1781401743,134235952
1781401773,134235856
1781401803,134235824
1781401833,134235792
1781401863,134235672
1781401893,134235640
1781401923,134235608
1781401953,134235488
1781401983,134235456
1781402013,134235360
1781402043,134235264
1781402073,134221560
1781402103,134221464
1781402133,134221368
1781402163,134221248
1781402193,134221152
1781402223,134221056
1781402253,134220960
1781402283,134221096
1781402313,134221000
1781402343,134220904
1781402373,134220784
1781402403,134220688
