t,value
1781367150,-96
1781367180,-216
1781367210,-312
1781367240,-432
1781367270,-528
1781367300,-624
1781367330,-720
1781367360,-840
1781367390,-936
1781367420,-1032
1781367450,-1128
1781367480,-1248
1781367510,-1344
1781367540,-1440
1781367570,-1560
1781367600,-1656
1781367630,-1752
1781367660,-1848
1781367690,-1968
1781367720,-2064
1781367750,-2160
1781367780,-2280
1781367810,-2376
1781367840,-2472
1781367870,-2568
1781367900,-2688
1781367930,-2784
1781367960,-2880
1781367990,-3000
1781368020,-3096
1781368050,-3192
1781368080,-3288
1781368110,-3408
1781368140,-3504
1781368170,-3600
1781368200,-3720
1781368230,-3816
1781368260,-3912
1781368290,-4008
1781368320,-4128
1781368350,-4224
1781368380,-4320
1781368410,-4440
1781368440,-4536
1781368470,-4632
1781368500,-4728
1781368530,-4848
1781368560,-4944
1781368590,-5040
1781368621,-5136
1781368651,-5256
1781368681,-5352
1781368711,-5448
1781368741,-5568
1781368771,-5664
1781368801,-5760
1781368831,-5880
1781368861,-5976
1781368891,-6072
1781368921,-6192
1781368951,-6288
1781368981,-6384
1781369011,-6504
1781369041,-6600
1781369071,-6696
1781369101,-6792
1781369131,-6912
1781369161,-7008
1781369191,-7104
1781369221,-7224
1781369251,-7320
1781369281,-7416
1781369311,-7512
1781369341,-7632
1781369371,-7728
1781369401,-7824
1781369431,-5704
1781369461,-5800
1781369491,-5920
1781369521,-6064
1781369551,-7560
1781371260,2664
1781371290,2568
1781371320,2448
1781371350,2352
1781371380,2256
1781371410,2160
1781371440,3320
1781371470,3224
1781371500,3168
1781371530,3200
1781371560,3080
1781371590,2936
1781371620,2840
1781371650,2720
1781371680,2688
1781371710,2720
1781371740,2944
1781371770,2888
1781371800,2792
1781371830,2696
1781371860,2576
1781371890,2480
1781371920,2512
1781371950,2608
1781371980,2616
1781372010,2520
1781372040,2400
1781372070,5504
1781372100,5408
1781372130,5504
1781372160,5832
1781372190,6504
1781372220,7752
1781372250,8144
1781372280,-2016
1781372580,2600
1781372611,2456
1781372641,3768
1781372671,3744
1781372701,3720
1781372731,3784
1781372761,3912
1781372791,4040
1781372821,4936
1781372851,6408
1781372881,6288
1781373780,432
1781373810,336
1781373840,2456
1781373870,2336
1781373900,3472
1781373930,3440
1781373960,3448
1781373990,3608
1781374020,4088
1781374050,4568
1781374080,4512
1781374110,4416
1781374200,3904
1781374231,1224
1781379210,2944
1781379240,14160
1781379270,13464
1781379300,13432
1781379330,13312
1781379360,13280
1781381160,456
1781381191,336
1781381221,13512
1781381251,13392
1781381281,13424
1781381311,13456
1781381341,13360
1781381371,13304
1781381401,13272
1781381431,13176
1781381461,13120
1781381491,13024
1781381521,12992
1781381551,12960
1781381581,12840
1781381611,12808
1781381641,12776
1781381671,12720
1781381701,12752
1781381731,12784
1781381761,12752
1781381791,12632
1781381821,12600
1781381851,12568
1781381882,12448
1781381912,12416
1781381942,12384
1781381972,12288
1781382002,12232
1781382032,12136
1781382062,12104
1781382092,11984
1781382122,11952
1781382152,11856
1781382182,11824
1781382510,432
1781382541,312
1781382571,13952
1781382601,13256
1781382631,13160
1781382661,13104
1781382691,13008
1781382721,13040
1781382751,13048
1781382781,12952
1781382811,12920
1781382841,12824
1781382871,12768
1781382901,12736
1781382931,12640
1781382961,12584
1781382991,12552
1781383021,12456
1781383051,12424
1781383081,12304
1781383111,12208
1781383141,12176
1781383171,12120
1781383201,12024
1781383231,11992
1781383261,11936
1781383291,11840
1781383321,11808
1781383351,11712
1781383381,11656
1781383411,11624
1781383441,11528
