t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781367150,10,0.4715821240250328,0.0,0.0,0.0,events/second
1781367180,10,0.19513937059720088,0.0,0.0,0.0,events/second
1781367210,10,0.1230539260019769,0.0,0.0,0.0,events/second
1781367240,10,0.08986137871392866,0.0,0.0,0.0,events/second
1781367270,10,0.07077426752124057,0.0,0.0,0.0,events/second
1781367300,10,0.058369127164514964,0.0,0.0,0.0,events/second
1781367330,10,0.04966733953362454,0.0,0.0,0.0,events/second
1781367360,10,0.043223661289189357,0.0,0.0,0.0,events/second
1781367390,10,0.03825925473323193,0.0,0.0,0.0,events/second
1781367420,10,0.03431775830623633,0.0,0.0,0.0,events/second
1781367450,10,0.031109698274533876,0.0,0.0,0.0,events/second
1781367480,10,0.02845245025276077,0.0,0.0,0.0,events/second
1781367510,10,0.02621390238165047,0.0,0.0,0.0,events/second
1781367540,10,0.024302290770624495,0.0,0.0,0.0,events/second
1781367570,10,0.022649735881282662,0.0,0.0,0.0,events/second
1781367600,10,0.02120783833544102,0.0,0.0,0.0,events/second
1781367630,10,0.01993857399491456,0.0,0.0,0.0,events/second
1781367660,10,0.01881256072034985,0.0,0.0,0.0,events/second
1781367690,10,0.017807156489915196,0.0,0.0,0.0,events/second
1781367720,10,0.016903653691123968,0.0,0.0,0.0,events/second
1781367750,10,0.016087487305510562,0.0,0.0,0.0,events/second
1781367780,10,0.015346513212714985,0.0,0.0,0.0,events/second
1781367810,10,0.0146706033748114,0.0,0.0,0.0,events/second
1781367840,10,0.014051975296432387,0.0,0.0,0.0,events/second
1781367870,10,0.01348332505022338,0.0,0.0,0.0,events/second
1781367900,10,0.012958855517878566,0.0,0.0,0.0,events/second
1781367930,10,0.01247381257299707,0.0,0.0,0.0,events/second
1781367960,10,0.012023738849002583,0.0,0.0,0.0,events/second
1781367990,10,0.011604824508507394,0.0,0.0,0.0,events/second
1781368020,10,0.011214151336375848,0.0,0.0,0.0,events/second
1781368050,10,0.010848907783778713,0.0,0.0,0.0,events/second
1781368080,10,0.01050683411829595,0.0,0.0,0.0,events/second
1781368110,10,0.01018564654263066,0.0,0.0,0.0,events/second
1781368140,10,0.009883401468587195,0.0,0.0,0.0,events/second
1781368170,10,0.009598679975400527,0.0,0.0,0.0,events/second
1781368200,10,0.009329900507653956,0.0,0.0,0.0,events/second
1781368230,10,0.0090757047920388,0.0,0.0,0.0,events/second
1781368260,10,0.008835013033598089,0.0,0.0,0.0,events/second
1781368290,10,0.00860677289589827,0.0,0.0,0.0,events/second
1781368320,10,0.008390012256197862,0.0,0.0,0.0,events/second
1781368350,10,0.008183945899575187,0.0,0.0,0.0,events/second
1781368380,10,0.00798775062147186,0.0,0.0,0.0,events/second
1781368410,10,0.0078007215150681635,0.0,0.0,0.0,events/second
1781368440,10,0.007622229331538191,0.0,0.0,0.0,events/second
1781368470,10,0.007451780617077219,0.0,0.0,0.0,events/second
1781368500,10,0.007288747178345115,0.0,0.0,0.0,events/second
1781368530,10,0.007132739483854975,0.0,0.0,0.0,events/second
1781368560,10,0.0069832793990759244,0.0,0.0,0.0,events/second
1781368590,10,0.006839355249915278,0.0,0.0,0.0,events/second
1781368621,10,0.006701807145647727,0.0,0.0,0.0,events/second
1781368651,10,0.006569664540479048,0.0,0.0,0.0,events/second
1781368681,10,0.006442602677730795,0.0,0.0,0.0,events/second
1781368711,10,0.006320393948536791,0.0,0.0,0.0,events/second
1781368741,10,0.006202716021609572,0.0,0.0,0.0,events/second
1781368771,10,0.006089346874415657,0.0,0.0,0.0,events/second
1781368801,10,0.005980056162863564,0.0,0.0,0.0,events/second
1781368831,10,0.00587463165568987,0.0,0.0,0.0,events/second
1781368861,10,0.005772811851799605,0.0,0.0,0.0,events/second
1781368891,10,0.005674503393577059,0.0,0.0,0.0,events/second
1781368921,10,0.005579473924589063,0.0,0.0,0.0,events/second
1781368951,10,0.005487593319548062,0.0,0.0,0.0,events/second
1781368981,10,0.005398658789062532,0.0,0.0,0.0,events/second
1781369011,10,0.005312579717433498,0.0,0.0,0.0,events/second
1781369041,10,0.0052291898089985,0.0,0.0,0.0,events/second
1781369071,10,0.005148399373335778,0.0,0.0,0.0,events/second
1781369101,10,0.005070060821533594,0.0,0.0,0.0,events/second
1781369131,10,0.004994045939370719,0.0,0.0,0.0,events/second
1781369161,10,0.004920297879972413,0.0,0.0,0.0,events/second
1781369191,10,0.004848699213649904,0.0,0.0,0.0,events/second
1781369221,10,0.004779158918611986,0.0,0.0,0.0,events/second
1781369251,10,0.0047115598843715375,0.0,0.0,0.0,events/second
1781369281,10,0.004645879039812667,0.0,0.0,0.0,events/second
1781369311,10,0.004582007782041145,0.0,0.0,0.0,events/second
1781369341,10,0.00451985780813533,0.0,0.0,0.0,events/second
1781369371,72,0.03210743861173826,0.0,0.0,0.0,events/second
1781369401,72,0.03168332762854997,0.0,0.0,0.0,events/second
1781369431,72,0.031270230504994515,0.0,0.0,0.0,events/second
1781369461,72,0.030867924891016186,0.0,0.0,0.0,events/second
1781369491,72,0.030475793187945563,0.0,0.0,0.0,events/second
1781369521,72,0.030093447381562697,0.0,0.0,0.0,events/second
1781369551,72,0.029720661632441504,0.0,0.0,0.0,events/second
1781371260,17,0.6271293577881811,0.0,0.0,0.0,events/second
1781371290,17,0.2974687269639999,0.0,0.0,0.0,events/second
1781371320,17,0.19501535252627017,0.0,0.0,0.0,events/second
1781371350,17,0.1450527961845012,0.0,0.0,0.0,events/second
1781371380,17,0.11548468184244938,0.0,0.0,0.0,events/second
1781371410,17,0.0959231559011252,0.0,0.0,0.0,events/second
1781371440,17,0.08202977691710721,0.0,0.0,0.0,events/second
1781371470,17,0.0716422734973063,0.0,0.0,0.0,events/second
1781371500,17,0.06359000758859959,0.0,0.0,0.0,events/second
1781371530,17,0.057171065980978604,0.0,0.0,0.0,events/second
1781371560,17,0.051930011882442034,0.0,0.0,0.0,events/second
1781371590,17,0.04756851060686217,0.0,0.0,0.0,events/second
1781371620,17,0.04388313556716811,0.0,0.0,0.0,events/second
1781371650,17,0.040727668468836284,0.0,0.0,0.0,events/second
1781371680,17,0.037994917999576945,0.0,0.0,0.0,events/second
1781371710,17,0.03560686063858672,0.0,0.0,0.0,events/second
1781371740,17,0.033500506331677775,0.0,0.0,0.0,events/second
1781371770,17,0.031629327554294984,0.0,0.0,0.0,events/second
1781371800,17,0.029955854064912975,0.0,0.0,0.0,events/second
1781371830,17,0.0284509000344405,0.0,0.0,0.0,events/second
1781371860,49,0.07808261121367227,0.0,0.0,0.0,events/second
1781371890,49,0.07451684138510327,0.0,0.0,0.0,events/second
1781371920,49,0.07126385867987053,0.0,0.0,0.0,events/second
1781371950,49,0.06828355790234296,0.0,0.0,0.0,events/second
1781371980,49,0.06554173858423423,0.0,0.0,0.0,events/second
1781372010,49,0.06301170946867107,0.0,0.0,0.0,events/second
1781372040,49,0.06067058901157903,0.0,0.0,0.0,events/second
1781372070,49,0.05849681693641541,0.0,0.0,0.0,events/second
1781372100,49,0.056472561133029835,0.0,0.0,0.0,events/second
1781372130,49,0.054584022655832475,0.0,0.0,0.0,events/second
1781372160,49,0.052817715674609,0.0,0.0,0.0,events/second
1781372190,49,0.05116226174010749,0.0,0.0,0.0,events/second
1781372220,49,0.04960720274278807,0.0,0.0,0.0,events/second
1781372250,49,0.04814438951711416,0.0,0.0,0.0,events/second
1781372280,49,0.04676549411879847,0.0,0.0,0.0,events/second
1781372580,17,0.6582204566237152,0.0,0.0,0.0,events/second
1781372611,17,0.3042431741383967,0.0,0.0,0.0,events/second
1781372641,23,0.26770793039652474,0.0,0.0,0.0,events/second
1781372671,23,0.1984132425428727,0.0,0.0,0.0,events/second
1781372701,23,0.15761022873938232,0.0,0.0,0.0,events/second
1781372731,23,0.1307183268449729,0.0,0.0,0.0,events/second
1781372761,23,0.11166109302391282,0.0,0.0,0.0,events/second
1781372791,23,0.09745331080414474,0.0,0.0,0.0,events/second
1781372821,23,0.08646037068347191,0.0,0.0,0.0,events/second
1781372851,23,0.07768976851109351,0.0,0.0,0.0,events/second
1781372881,23,0.07053689824371778,0.0,0.0,0.0,events/second
1781373780,14,0.6841944379722908,0.0,0.0,0.0,events/second
1781373810,14,0.27725901131444713,0.0,0.0,0.0,events/second
1781373840,14,0.17387434919979908,0.0,0.0,0.0,events/second
1781373870,14,0.12666064477328617,0.0,0.0,0.0,events/second
1781373900,25,0.1778680959399336,0.0,0.0,0.0,events/second
