t,value
1781367150,220868232
1781367180,226111112
1781367210,232402568
1781367240,236596872
1781367270,241839752
1781367300,246034056
1781367330,252325512
1781367360,255471240
1781367390,259665544
1781367420,262811272
1781367450,267005576
1781367480,269102728
1781367510,274345608
1781367540,276442760
1781367570,280637064
1781367600,282734216
1781367630,287977096
1781367660,290074248
1781367690,294268552
1781367720,296365704
1781367750,234768064
1781367780,237913792
1781367810,243156672
1781367840,246302400
1781367870,250496704
1781367900,253642432
1781367930,257836736
1781367960,259933888
1781367990,265176768
1781368020,267273920
1781368050,287196864
1781368080,289294016
1781368110,293488320
1781368140,295585472
1781368170,299779776
1781368200,301876928
1781368230,307119808
1781368260,308168384
1781368290,313411264
1781368320,315508416
1781368350,320751296
1781368380,322848448
1781368410,327042752
1781368440,330188480
1781368470,334382784
1781368500,336479936
1781368530,340674240
1781368560,342771392
1781368590,346965696
1781368621,349062848
1781368651,353257152
1781368681,355354304
1781368711,89486048
1781368741,93680352
1781368771,98923232
1781368801,101020384
1781368831,105214688
1781368861,108360416
1781368891,112554720
1781368921,115700448
1781368951,120943328
1781368981,123040480
1781369011,127234784
1781369041,129331936
1781369071,133526240
1781369101,135623392
1781369131,139817696
1781369161,141914848
1781369191,146109152
1781369221,149254880
1781369251,153449184
1781369281,155546336
1781369311,159740640
1781369341,161837792
1781369371,93727304
1781369401,95824456
1781369431,175516232
1781369461,177613384
1781369491,182856264
1781369521,186001992
1781369551,397814344
1781371260,285758768
1781371290,292050224
1781371320,314070320
1781371350,319313200
1781371380,328750384
1781371410,332944688
1781371440,180470968
1781371470,183616696
1781371500,192005304
1781371530,202491064
1781371560,208782520
1781371590,212976824
1781371620,220316856
1781371650,223462584
1781371680,230802616
1781371710,237094072
1781371740,261211320
1781371770,264357048
1781371800,271697080
1781371830,274842808
1781371860,107999736
1781371890,112194040
1781371920,125825528
1781371950,186642936
1781371980,192934392
1781372010,197128696
1781372040,203420152
1781372070,240120312
1781372100,246411768
1781372130,253751800
1781372160,262140408
1781372190,282063352
1781372220,301986296
1781372250,336589304
1781372280,350220792
1781372580,185669264
1781372611,193009296
1781372641,205152976
1781372671,209347280
1781372701,216687312
1781372731,262824656
1781372761,286941904
1781372791,353002192
1781372821,366633680
1781372851,94896128
1781372881,104333312
1781373780,125013936
1781373810,132353968
1781373840,174297008
1781373870,178491312
1781373900,112413456
1781373930,161696528
1781373960,188959504
1781373990,257116944
1781374020,298011408
1781374050,355683088
1781374080,371411728
1781374110,375606032
1781374200,167731760
1781374231,285172272
1781379210,240908368
1781379240,207231080
1781379270,230299752
1781379300,243931240
1781379330,252319848
1781379360,265951336
1781381160,121935856
1781381191,131373040
1781381221,232783872
1781381251,240123904
1781381281,256901120
1781381311,271581184
1781381341,278921216
1781381371,284164096
1781381401,290455552
1781381431,294649856
