t,value
1781367150,38485
1781367180,38890
1781367210,38890
1781367240,38890
1781367270,38890
1781367300,38890
1781367330,38890
1781367360,38890
1781367390,38890
1781367420,38890
1781367450,38890
1781367480,38890
1781367510,38890
1781367540,38890
1781367570,38890
1781367600,38890
1781367630,38890
1781367660,38890
1781367690,38890
1781367720,38890
1781367750,55290
1781367780,55290
1781367810,55290
1781367840,55290
1781367870,55290
1781367900,55290
1781367930,55290
1781367960,55290
1781367990,55290
1781368020,55290
1781368050,55290
1781368080,55290
1781368110,55290
1781368140,55290
1781368170,55290
1781368200,55290
1781368230,55290
1781368260,55290
1781368290,55290
1781368320,55290
1781368350,55290
1781368380,55290
1781368410,55290
1781368440,55290
1781368470,55290
1781368500,55290
1781368530,55290
1781368560,55290
1781368590,55290
1781368621,55290
1781368651,55290
1781368681,55290
1781368711,55290
1781368741,55290
1781368771,55290
1781368801,55290
1781368831,55290
1781368861,55290
1781368891,55290
1781368921,55290
1781368951,55290
1781368981,55290
1781369011,55290
1781369041,55290
1781369071,55290
1781369101,55290
1781369131,55290
1781369161,55290
1781369191,55290
1781369221,55290
1781369251,55290
1781369281,55290
1781369311,55290
1781369341,55290
1781369371,38906
1781369401,38906
1781369431,38906
1781369461,38906
1781369491,38906
1781369521,38906
1781369551,36881
1781371260,38753
1781371290,39158
1781371320,38892
1781371350,38892
1781371380,38892
1781371410,38892
1781371440,38892
1781371470,38892
1781371500,38892
1781371530,38892
1781371560,38892
1781371590,38892
1781371620,38892
1781371650,38892
1781371680,38892
1781371710,38892
1781371740,38892
1781371770,38892
1781371800,38892
1781371830,38892
1781371860,55292
1781371890,55292
1781371920,55292
1781371950,55292
1781371980,55292
1781372010,55292
1781372040,55292
1781372070,55292
1781372100,55292
1781372130,55292
1781372160,55292
1781372190,55292
1781372220,55292
1781372250,55292
1781372280,55292
1781372580,39158
1781372611,39968
1781372641,39702
1781372671,40107
1781372701,40107
1781372731,40107
1781372761,40107
1781372791,40107
1781372821,40107
1781372851,40107
1781372881,40107
1781373780,37943
1781373810,39158
1781373840,38892
1781373870,38892
1781373900,38892
1781373930,38892
1781373960,38892
1781373990,38892
1781374020,38892
1781374050,38892
1781374080,38892
1781374110,38892
1781374200,38753
1781374231,37133
1781379210,6744503
1781379240,29462708
1781379270,29462442
1781379300,29613756
1781379330,29613756
1781379360,34665373
1781381160,37538
1781381191,39563
1781381221,195350
1781381251,195350
1781381281,195350
1781381311,195350
1781381341,195350
1781381371,195350
1781381401,195350
1781381431,195350
1781381461,195350
1781381491,195350
1781381521,195350
1781381551,195350
1781381581,195350
1781381611,195350
1781381641,195350
1781381671,195350
1781381701,195350
1781381731,195350
1781381761,211750
1781381791,211750
1781381821,211750
1781381851,211750
1781381882,211750
1781381912,211750
1781381942,211750
1781381972,211750
1781382002,211750
1781382032,211750
1781382062,211750
1781382092,211750
1781382122,211750
1781382152,211750
1781382182,211750
1781382510,37943
1781382541,39563
1781382571,29302810
1781382601,29302810
1781382631,29302810
1781382661,29302810
1781382691,34354427
1781382721,34505741
1781382751,34505711
1781382781,34505711
1781382811,34505711
1781382841,34505711
1781382871,34505711
1781382901,34505711
1781382931,34505711
1781382961,34505711
1781382991,34505711
1781383021,34505711
1781383051,34505711
1781383081,34505711
1781383111,34522111
1781383141,34522111
1781383171,34522111
