t,value
1781367150,148897792
1781367180,154140672
1781367210,160432128
1781367240,164626432
1781367270,169869312
1781367300,174063616
1781367330,180355072
1781367360,183500800
1781367390,187695104
1781367420,190840832
1781367450,195035136
1781367480,197132288
1781367510,202375168
1781367540,204472320
1781367570,208666624
1781367600,210763776
1781367630,216006656
1781367660,218103808
1781367690,222298112
1781367720,224395264
1781367750,154140672
1781367780,157286400
1781367810,162529280
1781367840,165675008
1781367870,169869312
1781367900,173015040
1781367930,177209344
1781367960,179306496
1781367990,184549376
1781368020,186646528
1781368050,206569472
1781368080,208666624
1781368110,212860928
1781368140,214958080
1781368170,219152384
1781368200,221249536
1781368230,226492416
1781368260,227540992
1781368290,232783872
1781368320,234881024
1781368350,240123904
1781368380,242221056
1781368410,246415360
1781368440,249561088
1781368470,253755392
1781368500,255852544
1781368530,260046848
1781368560,262144000
1781368590,266338304
1781368621,268435456
1781368651,272629760
1781368681,274726912
1781368711,2097152
1781368741,6291456
1781368771,11534336
1781368801,13631488
1781368831,17825792
1781368861,20971520
1781368891,25165824
1781368921,28311552
1781368951,33554432
1781368981,35651584
1781369011,39845888
1781369041,41943040
1781369071,46137344
1781369101,48234496
1781369131,52428800
1781369161,54525952
1781369191,58720256
1781369221,61865984
1781369251,66060288
1781369281,68157440
1781369311,72351744
1781369341,74448896
1781369371,4194304
1781369401,6291456
1781369431,84934656
1781369461,87031808
1781369491,92274688
1781369521,95420416
1781369551,307232768
1781371260,188743680
1781371290,195035136
1781371320,217055232
1781371350,222298112
1781371380,231735296
1781371410,235929600
1781371440,87031808
1781371470,90177536
1781371500,98566144
1781371530,109051904
1781371560,115343360
1781371590,119537664
1781371620,126877696
1781371650,130023424
1781371680,137363456
1781371710,143654912
1781371740,167772160
1781371770,170917888
1781371800,178257920
1781371830,181403648
1781371860,11534336
1781371890,15728640
1781371920,29360128
1781371950,90177536
1781371980,96468992
1781372010,100663296
1781372040,106954752
1781372070,143654912
1781372100,149946368
1781372130,157286400
1781372160,165675008
1781372190,185597952
1781372220,205520896
1781372250,240123904
1781372280,253755392
1781372580,103809024
1781372611,111149056
1781372641,116391936
1781372671,120586240
1781372701,127926272
1781372731,174063616
