t,value
1781367150,49481216
1781367180,49481216
1781367210,49481216
1781367240,49481216
1781367270,49481216
1781367300,49481216
1781367330,49481216
1781367360,49481216
1781367390,49481216
1781367420,49481216
1781367450,49481216
1781367480,49481216
1781367510,49481216
1781367540,49481216
1781367570,49481216
1781367600,49481216
1781367630,49481216
1781367660,49481216
1781367690,49481216
1781367720,49481216
1781367750,39732928
1781367780,39732928
1781367810,39732928
1781367840,39732928
1781367870,39732928
1781367900,39732928
1781367930,39732928
1781367960,39732928
1781367990,39732928
1781368020,39732928
1781368050,39732928
1781368080,39732928
1781368110,39732928
1781368140,39732928
1781368170,39732928
1781368200,39732928
1781368230,39732928
1781368260,39732928
1781368290,39732928
1781368320,39732928
1781368350,39732928
1781368380,39732928
1781368410,39732928
1781368440,39732928
1781368470,39732928
1781368500,39732928
1781368530,39732928
1781368560,39732928
1781368590,39732928
1781368621,39732928
1781368651,39732928
1781368681,39732928
1781368711,60147648
1781368741,60147648
1781368771,60147648
1781368801,60147648
1781368831,60147648
1781368861,60147648
1781368891,60147648
1781368921,60147648
1781368951,60147648
1781368981,60147648
1781369011,60147648
1781369041,60147648
1781369071,60147648
1781369101,60147648
1781369131,60147648
1781369161,60147648
1781369191,60147648
1781369221,60147648
1781369251,60147648
1781369281,60147648
1781369311,60147648
1781369341,60147648
1781369371,81788928
1781369401,81788928
1781369431,82837504
1781369461,82837504
1781369491,82837504
1781369521,82837504
1781369551,82837504
1781371260,77418336
1781371290,77418336
1781371320,77418336
1781371350,77418336
1781371380,77418336
1781371410,77418336
1781371440,66932576
1781371470,66932576
1781371500,66932576
1781371530,66932576
1781371560,66932576
1781371590,66932576
1781371620,66932576
1781371650,66932576
1781371680,66932576
1781371710,66932576
1781371740,66932576
1781371770,66932576
1781371800,66932576
1781371830,66932576
1781371860,81788928
1781371890,81788928
1781371920,81788928
1781371950,81788928
1781371980,81788928
1781372010,81788928
1781372040,81788928
1781372070,81788928
1781372100,81788928
1781372130,81788928
1781372160,81788928
1781372190,81788928
1781372220,81788928
1781372250,81788928
1781372280,81788928
1781372580,56306560
1781372611,56306560
1781372641,67108864
1781372671,67108864
1781372701,67108864
1781372731,67108864
1781372761,67108864
1781372791,67108864
1781372821,67108864
1781372851,67108864
1781372881,67108864
1781373780,55933520
1781373810,55933520
1781373840,55933520
1781373870,55933520
1781373900,67324688
1781373930,67324688
1781373960,67324688
1781373990,67324688
1781374020,67324688
1781374050,67324688
1781374080,67324688
1781374110,67324688
1781374200,66795056
1781374231,66795056
1781379210,44872144
1781379240,67770472
1781379270,67770472
1781379300,67770472
1781379330,67770472
1781379360,74061928
1781381160,56131376
1781381191,56131376
1781381221,67108864
1781381251,67108864
1781381281,67108864
1781381311,67108864
1781381341,67108864
1781381371,67108864
1781381401,67108864
1781381431,67108864
1781381461,67108864
1781381491,67108864
1781381521,67108864
1781381551,67108864
1781381581,67108864
1781381611,67108864
1781381641,67108864
1781381671,67108864
1781381701,81101392
1781381731,81101392
1781381761,81101392
1781381791,81101392
1781381821,81101392
1781381851,81101392
1781381882,81101392
1781381912,81101392
1781381942,81101392
1781381972,81101392
1781382002,81101392
1781382032,81101392
1781382062,81101392
1781382092,81101392
1781382122,81101392
1781382152,81101392
1781382182,81101392
1781382510,56623096
1781382541,56623096
1781382571,66506680
1781382601,66506680
1781382631,66506680
1781382661,66506680
1781382691,72798136
1781382721,72798136
1781382751,72798136
1781382781,72798136
1781382811,72798136
1781382841,72798136
1781382871,72798136
1781382901,72798136
1781382931,72798136
1781382961,72798136
1781382991,72798136
1781383021,72798136
1781383051,72798136
1781383081,72798136
1781383111,80892600
1781383141,80892600
1781383171,80892600
1781383201,80892600
1781383231,80892600
1781383261,80892600
1781383291,80892600
1781383321,80892600
1781383351,80892600
1781383381,80892600
1781383411,80892600
1781383441,80892600
1781383471,80892600
1781383501,80892600
1781398740,39575656
1781398772,56986400
1781398802,67976704
1781398832,67976704
1781398862,67976704
1781398892,67976704
1781398922,67976704
1781398952,67976704
1781398982,67976704
1781399012,67976704
1781399042,67976704
1781399072,67976704
1781399102,67976704
1781399132,67976704
1781399162,67976704
1781399192,67976704
1781399222,67976704
1781399252,67976704
1781399282,67976704
1781399312,67976704
1781399342,67976704
1781399372,67976704
1781399402,67976704
1781399670,56133344
1781399702,66060288
1781399732,66060288
1781399762,66060288
1781399792,66060288
1781399822,66060288
1781399852,66060288
1781399882,66060288
1781399912,66060288
1781399942,66060288
1781399972,86657920
1781400002,86657920
1781400032,86657920
1781400062,86657920
1781400092,86657920
1781400122,86657920
1781400152,86657920
1781400182,86657920
1781400212,86657920
1781400242,86657920
1781400272,86657920
1781400302,86657920
1781400332,86657920
1781400362,86657920
1781400392,86657920
1781400422,86657920
1781400452,86657920
1781400482,86657920
1781400512,86657920
1781400542,86657920
1781400572,86657920
1781400602,86657920
1781400632,86657920
