t,value
1781367150,106
1781367180,111
1781367210,98
1781367240,103
1781367270,107
1781367300,111
1781367330,117
1781367360,119
1781367390,117
1781367420,117
1781367450,117
1781367480,117
1781367510,117
1781367540,117
1781367570,117
1781367600,117
1781367630,117
1781367660,117
1781367690,117
1781367720,117
1781367750,124
1781367780,124
1781367810,121
1781367840,121
1781367870,121
1781367900,121
1781367930,121
1781367960,121
1781367990,121
1781368020,121
1781368050,121
1781368080,121
1781368110,121
1781368140,121
1781368170,121
1781368200,121
1781368230,121
1781368260,121
1781368290,121
1781368320,121
1781368350,123
1781368380,123
1781368410,121
1781368440,121
1781368470,121
1781368500,121
1781368530,121
1781368560,121
1781368590,123
1781368621,123
1781368651,122
1781368681,121
1781368711,121
1781368741,121
1781368771,121
1781368801,120
1781368831,121
1781368861,121
1781368891,121
1781368921,121
1781368951,122
1781368981,123
1781369011,121
1781369041,120
1781369071,120
1781369101,121
1781369131,121
1781369161,121
1781369191,121
1781369221,121
1781369251,121
1781369281,121
1781369311,121
1781369341,121
1781369371,121
1781369401,121
1781369431,124
1781369461,124
1781369491,121
1781369521,121
1781369551,219
1781371260,143
1781371290,147
1781371320,92
1781371350,97
1781371380,100
1781371410,104
1781371440,113
1781371470,111
1781371500,109
1781371530,111
1781371560,110
1781371590,107
1781371620,108
1781371650,108
1781371680,106
1781371710,106
1781371740,107
1781371770,107
1781371800,106
1781371830,106
1781371860,123
1781371890,123
1781371920,120
1781371950,122
1781371980,121
1781372010,119
1781372040,118
1781372070,118
1781372100,118
1781372130,117
1781372160,116
1781372190,117
1781372220,118
1781372250,119
1781372280,119
1781372580,146
1781372611,152
1781372641,100
1781372671,101
1781372701,100
1781372731,100
1781372761,102
1781372791,102
1781372821,101
1781372851,101
1781372881,106
1781373780,142
1781373810,147
1781373840,93
1781373870,97
1781373900,108
1781373930,113
1781373960,116
1781373990,116
1781374020,115
1781374050,115
1781374080,116
1781374110,115
1781374200,146
1781374231,294
1781379210,131
1781379240,159
1781379270,106
1781379300,109
1781379330,113
1781379360,112
1781381160,141
1781381191,146
1781381221,106
1781381251,110
1781381281,114
1781381311,115
1781381341,114
1781381371,112
1781381401,112
1781381431,110
1781381461,110
1781381491,109
1781381521,106
1781381551,105
1781381581,105
1781381611,106
1781381641,106
1781381671,109
1781381701,109
1781381731,109
1781381761,121
1781381791,120
1781381821,117
1781381851,116
1781381882,114
1781381912,114
1781381942,114
1781381972,114
1781382002,114
1781382032,114
1781382062,114
1781382092,115
1781382122,114
1781382152,113
1781382182,113
1781382510,138
1781382541,146
1781382571,114
1781382601,118
1781382631,118
1781382661,118
1781382691,116
1781382721,117
1781382751,116
1781382781,116
1781382811,113
1781382841,114
1781382871,110
1781382901,108
1781382931,108
1781382961,108
1781382991,108
1781383021,106
1781383051,107
1781383081,107
1781383111,116
1781383141,117
1781383171,116
1781383201,116
1781383231,115
1781383261,114
1781383291,114
1781383321,113
1781383351,113
1781383381,114
1781383411,114
1781383441,114
1781383471,119
1781383501,119
1781398740,133
1781398772,147
1781398802,96
1781398832,100
1781398862,104
1781398892,108
1781398922,108
1781398952,108
1781398982,106
1781399012,108
1781399042,106
1781399072,107
1781399102,107
1781399132,107
1781399162,107
1781399192,107
1781399222,107
1781399252,107
1781399282,105
1781399312,107
1781399342,122
1781399372,122
1781399402,295
1781399670,138
1781399702,156
1781399732,102
1781399762,104
1781399792,109
1781399822,111
1781399852,114
1781399882,113
1781399912,112
1781399942,118
1781399972,118
1781400002,116
1781400032,115
1781400062,115
1781400092,113
1781400122,113
1781400152,111
1781400182,111
1781400212,111
1781400242,109
1781400272,120
1781400302,122
1781400332,121
1781400362,120
1781400392,119
1781400422,118
1781400452,118
1781400482,118
1781400512,117
1781400542,117
1781400572,118
1781400602,118
1781400632,117
1781400662,118
1781400693,118
1781400723,117
1781400753,118
1781400783,118
1781400813,117
1781400843,117
1781400873,118
1781400903,119
1781400933,118
1781400963,117
1781400993,117
1781401023,117
1781401053,117
1781401083,116
1781401113,117
1781401143,117
1781401173,117
1781401203,118
1781401233,118
1781401263,117
1781401293,117
1781401323,117
1781401353,117
1781401383,117
1781401413,117
1781401443,118
1781401473,119
1781401503,118
1781401533,119
1781401563,119
1781401593,118
1781401623,118
1781401653,117
1781401683,117
1781401713,117
1781401743,117
1781401773,117
1781401803,118
1781401833,118
1781401863,117
1781401893,117
1781401923,117
1781401953,117
1781401983,117
1781402013,117
1781402043,117
1781402073,119
1781402103,119
1781402133,117
1781402163,117
1781402193,117
1781402223,117
1781402253,117
1781402283,119
1781402313,119
1781402343,118
1781402373,118
1781402403,117
1781402433,117
1781402463,117
1781402493,117
1781402523,117
1781402553,230
1781402700,148
1781402732,156
1781402762,102
1781402792,119
1781402822,119
1781402852,118
1781402882,116
1781402913,116
1781402943,114
1781402973,114
1781403003,112
1781403033,113
1781403063,113
1781403093,110
1781403123,110
1781403153,110
1781403183,108
1781403213,108
1781403243,106
1781403273,106
1781403303,125
1781403333,125
1781403363,122
1781403393,121
1781403423,124
1781403453,124
1781403483,121
1781403513,121
1781403543,119
1781403573,119
1781403603,119
1781403633,120
1781403663,120
1781403693,118
1781403723,118
1781403753,118
1781403783,118
1781444820,142
1781444851,150
1781444881,95
1781444911,115
1781444941,118
1781444971,115
1781445001,115
1781445031,113
1781445061,113
1781445091,112
1781445121,111
1781445152,111
